,Nauru
0,0.00793457
1,-0.1484375
2,0.16503906
3,0.28515625
4,-0.114746094
5,-0.2109375
6,-0.13476562
7,0.16699219
8,-0.17578125
9,0.46679688
10,0.07910156
11,0.19335938
12,0.3203125
13,-0.055419922
14,0.11035156
15,0.3203125
16,0.08935547
17,0.25976562
18,0.0018310547
19,0.36523438
20,0.3125
21,-0.15136719
22,0.12695312
23,-0.010131836
24,0.36328125
25,0.1953125
26,-0.16503906
27,-0.09326172
28,-0.016479492
29,-0.25195312
30,0.12988281
31,-0.13378906
32,-0.20410156
33,0.23535156
34,0.29296875
35,-0.11230469
36,-0.28710938
37,0.096191406
38,-0.15429688
39,-0.19238281
40,-0.27148438
41,0.0859375
42,0.29492188
43,0.45898438
44,0.17480469
45,-0.03515625
46,-0.24609375
47,-0.059570312
48,-0.22167969
49,-0.32617188
50,-0.15917969
51,-0.34765625
52,-0.049560547
53,-0.48242188
54,-0.099609375
55,-0.42382812
56,-0.60546875
57,0.10498047
58,-0.265625
59,-0.27148438
60,0.08203125
61,-0.09423828
62,-0.088378906
63,0.23242188
64,0.5
65,-0.3359375
66,0.0037078857
67,-0.10205078
68,0.123535156
69,-0.04736328
70,0.009338379
71,0.036865234
72,-0.01159668
73,0.17089844
74,-0.59765625
75,-0.47265625
76,0.19628906
77,-0.06225586
78,0.28320312
79,0.53125
80,-0.19140625
81,-0.091796875
82,-0.14746094
83,-0.020385742
84,-0.12011719
85,0.0029907227
86,-0.10253906
87,-0.091796875
88,-0.3046875
89,-0.18066406
90,0.36132812
91,-0.11279297
92,-0.08203125
93,0.26953125
94,0.053710938
95,0.037109375
96,0.3984375
97,-0.0390625
98,0.061279297
99,-0.22753906
100,-0.064453125
101,0.25585938
102,0.23242188
103,0.12988281
104,-0.296875
105,0.328125
106,0.31445312
107,-0.20703125
108,0.18261719
109,0.58203125
110,0.18261719
111,0.4921875
112,-0.15039062
113,0.59765625
114,-0.24023438
115,-0.12597656
116,-8.2969666e-05
117,0.027954102
118,0.09423828
119,0.15332031
120,-0.40039062
121,0.375
122,0.026367188
123,0.15917969
124,-0.24023438
125,0.2421875
126,-0.123535156
127,0.36132812
128,-0.0030822754
129,0.10498047
130,0.23730469
131,0.18457031
132,-0.03125
133,-0.25195312
134,-0.10546875
135,-0.17871094
136,-0.38476562
137,-0.021972656
138,-0.012939453
139,0.37890625
140,-0.31445312
141,-0.07763672
142,0.23632812
143,0.35546875
144,0.36328125
145,0.11425781
146,-0.359375
147,0.328125
148,-0.12109375
149,0.421875
150,0.5859375
151,-0.08496094
152,-0.075683594
153,0.20703125
154,0.015625
155,-0.03955078
156,-0.002319336
157,-0.37695312
158,0.16210938
159,0.10546875
160,-0.27539062
161,0.13671875
162,0.25
163,-0.07861328
164,0.041503906
165,-0.18847656
166,0.078125
167,-0.039794922
168,0.20703125
169,0.24511719
170,0.08691406
171,0.37890625
172,0.34570312
173,0.16503906
174,0.015991211
175,0.01953125
176,0.46875
177,0.0006713867
178,0.09765625
179,0.13769531
180,0.43945312
181,-0.27929688
182,-0.12695312
183,0.15722656
184,-0.12207031
185,-0.14941406
186,-0.234375
187,-0.11035156
188,0.3671875
189,0.050048828
190,-0.30078125
191,-0.20605469
192,-0.21386719
193,-0.36132812
194,0.28515625
195,0.125
196,-0.359375
197,0.096191406
198,0.15039062
199,-0.32226562
200,0.13085938
201,0.12695312
202,-0.096191406
203,0.14257812
204,0.21875
205,0.16601562
206,0.060058594
207,-0.013549805
208,0.026977539
209,-0.26757812
210,0.30664062
211,-0.045654297
212,0.33789062
213,-0.051513672
214,0.11035156
215,0.14453125
216,-0.04638672
217,0.21191406
218,-0.072265625
219,-0.022216797
220,0.2421875
221,0.44335938
222,-0.38671875
223,0.359375
224,-0.0154418945
225,0.09375
226,0.22851562
227,0.55859375
228,0.08544922
229,0.013366699
230,0.38867188
231,-0.17285156
232,0.110839844
233,-0.46875
234,0.24316406
235,0.057373047
236,-0.053955078
237,0.44726562
238,0.06738281
239,0.080078125
240,0.39648438
241,-0.03100586
242,-0.10449219
243,-0.21679688
244,0.44335938
245,-0.26367188
246,-0.171875
247,0.07910156
248,0.54296875
249,-0.375
250,-0.46875
251,-0.5703125
252,0.103515625
253,0.18066406
254,0.3359375
255,0.07763672
256,0.41992188
257,-0.021240234
258,0.14453125
259,-0.095214844
260,0.38085938
261,0.045898438
262,0.040283203
263,0.13574219
264,0.0138549805
265,-0.5
266,-0.27734375
267,0.025390625
268,0.018188477
269,-0.041259766
270,-0.28320312
271,0.48046875
272,0.32421875
273,-0.2890625
274,-0.21191406
275,0.118652344
276,-0.15527344
277,-0.24511719
278,-0.041259766
279,0.19628906
280,-0.26953125
281,-0.19433594
282,0.375
283,0.10253906
284,-0.07373047
285,0.06738281
286,0.004425049
287,0.35546875
288,0.16503906
289,0.43554688
290,-0.18554688
291,0.24707031
292,0.10107422
293,-0.020996094
294,0.076660156
295,0.13085938
296,-0.6640625
297,0.20605469
298,0.14355469
299,0.23730469
