,Sint_Maarten
0,0.027954102
1,-0.19824219
2,-0.19433594
3,0.071777344
4,0.06591797
5,-0.118652344
6,-0.31835938
7,0.0047302246
8,0.20117188
9,-0.006134033
10,0.111816406
11,-0.060546875
12,0.07080078
13,-0.12402344
14,0.099609375
15,0.06542969
16,-0.096191406
17,0.19042969
18,0.14550781
19,0.33007812
20,0.16601562
21,0.06225586
22,0.13378906
23,0.10449219
24,0.106933594
25,0.16308594
26,0.08300781
27,0.071777344
28,-0.0016326904
29,0.17578125
30,0.21777344
31,0.0032043457
32,-0.043945312
33,0.25585938
34,-0.033935547
35,-0.21484375
36,-0.13671875
37,-0.05444336
38,-0.08935547
39,-0.03930664
40,-0.092285156
41,0.123046875
42,0.048828125
43,0.33789062
44,-0.032226562
45,-0.28515625
46,-0.3671875
47,-0.17089844
48,0.072753906
49,0.33398438
50,0.017089844
51,-0.020019531
52,0.33398438
53,-0.21582031
54,-0.42773438
55,0.05102539
56,-0.3671875
57,-0.06982422
58,-0.25585938
59,-0.18652344
60,0.25585938
61,-0.13964844
62,-0.09033203
63,-0.15820312
64,0.14746094
65,-0.20019531
66,-0.064941406
67,-0.22265625
68,-0.10888672
69,0.049072266
70,0.12988281
71,0.028808594
72,0.071777344
73,-0.04321289
74,0.09765625
75,-0.072753906
76,0.02319336
77,-0.046875
78,0.19042969
79,-0.16210938
80,-0.17089844
81,-0.16015625
82,-0.24414062
83,-0.16503906
84,0.17089844
85,0.08154297
86,-0.1015625
87,-0.17480469
88,0.53125
89,0.21289062
90,0.09423828
91,-0.17675781
92,0.026245117
93,-0.010009766
94,-0.049316406
95,0.18652344
96,0.08105469
97,-0.33984375
98,-0.045410156
99,0.12158203
100,0.11279297
101,0.068359375
102,0.05883789
103,-0.072753906
104,0.1953125
105,-0.11816406
106,0.12792969
107,-0.28515625
108,0.20996094
109,0.33007812
110,-0.22851562
111,0.14453125
112,-0.048583984
113,-0.16699219
114,-0.052490234
115,-0.19238281
116,-0.020019531
117,-0.30664062
118,0.21582031
119,-0.06298828
120,-0.1484375
121,-0.036865234
122,0.030761719
123,0.045654297
124,0.123535156
125,-0.14550781
126,-0.20214844
127,0.076660156
128,-0.16308594
129,0.34765625
130,-0.07128906
131,0.27734375
132,-0.015991211
133,-0.06933594
134,-0.15917969
135,-0.27539062
136,-0.011413574
137,-0.07470703
138,0.10888672
139,-0.11376953
140,0.07763672
141,0.23632812
142,0.024658203
143,0.06640625
144,-0.13476562
145,0.04248047
146,0.050048828
147,0.018432617
148,-0.28710938
149,-0.056640625
150,-0.088378906
151,-0.08691406
152,-0.38671875
153,-0.12695312
154,0.3828125
155,0.04272461
156,0.21777344
157,0.15234375
158,0.11328125
159,0.00491333
160,-0.12402344
161,0.359375
162,-0.10205078
163,0.024169922
164,0.06933594
165,-0.088378906
166,0.037109375
167,0.15136719
168,0.08691406
169,-0.04272461
170,-0.104003906
171,0.16992188
172,0.023071289
173,-0.16992188
174,-0.17675781
175,0.1171875
176,0.030761719
177,0.20214844
178,-0.06640625
179,-0.35742188
180,-0.06738281
181,0.028320312
182,-0.13867188
183,-0.122558594
184,-0.18847656
185,-0.0115356445
186,0.30273438
187,-0.45703125
188,0.28125
189,-0.23339844
190,-0.04321289
191,-0.057861328
192,-0.28710938
193,0.13574219
194,0.0703125
195,0.25
196,-0.008728027
197,0.20117188
198,0.29882812
199,-0.14746094
200,-0.040283203
201,-0.03564453
202,0.08154297
203,-0.3984375
204,-0.15039062
205,0.025878906
206,0.0020751953
207,0.12695312
208,-0.08642578
209,0.10253906
210,0.00088882446
211,-0.020996094
212,-0.2265625
213,0.20605469
214,-0.26757812
215,-0.047851562
216,-0.07519531
217,-0.24609375
218,0.013122559
219,0.027709961
220,0.10595703
221,0.060791016
222,0.107910156
223,-0.048095703
224,-0.375
225,-0.091308594
226,0.515625
227,0.26953125
228,-0.16210938
229,0.110839844
230,-0.10839844
231,-0.03112793
232,-0.078125
233,-0.17773438
234,-0.048095703
235,-0.048095703
236,0.2734375
237,-0.0012512207
238,0.1171875
239,0.14648438
240,0.15332031
241,-0.12988281
242,0.13183594
243,0.017700195
244,-0.0064697266
245,-0.046142578
246,-0.20019531
247,0.21875
248,0.016235352
249,-0.2578125
250,-0.09423828
251,0.038085938
252,-0.052001953
253,0.08642578
254,0.19433594
255,-0.09472656
256,0.16992188
257,0.118652344
258,0.2578125
259,0.19921875
260,0.49414062
261,-0.031982422
262,-0.14160156
263,0.03515625
264,0.045166016
265,-0.171875
266,-0.18554688
267,-0.26953125
268,-0.3203125
269,-0.00093460083
270,-0.15820312
271,-0.038085938
272,0.084472656
273,0.39648438
274,-0.064453125
275,0.048095703
276,-0.15917969
277,-0.171875
278,-0.46875
279,0.02746582
280,-0.19238281
281,-0.11279297
282,-0.06298828
283,-0.10498047
284,0.14648438
285,-0.042236328
286,-0.017456055
287,0.14648438
288,-0.2734375
289,0.09667969
290,0.0042419434
291,0.28710938
292,0.072753906
293,-0.029541016
294,0.009765625
295,0.08496094
296,-0.11669922
297,-0.21484375
298,0.13183594
299,0.033203125
