,Afghanistan
0,-0.057373047
1,0.038330078
2,0.026000977
3,0.20605469
4,-0.20703125
5,0.036132812
6,0.091308594
7,-0.21875
8,-0.1171875
9,-0.045654297
10,0.20214844
11,0.025024414
12,0.03564453
13,-0.0546875
14,-0.0049438477
15,-0.21582031
16,-0.17089844
17,0.016601562
18,0.0073547363
19,-0.19824219
20,-0.19042969
21,0.15136719
22,0.24121094
23,-0.076171875
24,-0.008056641
25,-0.050048828
26,-0.07324219
27,0.045410156
28,0.10107422
29,-0.0625
30,-0.05029297
31,-0.1796875
32,-0.28515625
33,-0.019042969
34,-0.10058594
35,-0.18261719
36,0.080566406
37,0.044433594
38,0.006652832
39,-0.016235352
40,0.107421875
41,0.11328125
42,0.02331543
43,0.018310547
44,0.18945312
45,0.15625
46,0.15234375
47,0.022949219
48,0.037109375
49,0.17480469
50,-0.022827148
51,-0.12597656
52,-0.17480469
53,-0.083496094
54,-0.20996094
55,-0.27734375
56,-0.13671875
57,0.30273438
58,-0.21484375
59,-0.44726562
60,-0.040527344
61,-0.059570312
62,0.080078125
63,0.010131836
64,-0.1328125
65,0.08496094
66,0.12011719
67,-0.34375
68,0.05126953
69,-0.096191406
70,-0.028320312
71,0.09423828
72,-0.27734375
73,0.12207031
74,-0.12060547
75,-0.63671875
76,0.25195312
77,-0.05053711
78,-0.0703125
79,0.08886719
80,-0.28125
81,-0.265625
82,-0.18066406
83,0.20507812
84,-0.19238281
85,-0.30273438
86,0.18066406
87,0.0051879883
88,0.091308594
89,0.12060547
90,0.010009766
91,-0.029785156
92,-0.16308594
93,-0.14550781
94,-0.0625
95,-0.4296875
96,0.171875
97,-0.0011749268
98,0.119140625
99,-0.16503906
100,-0.053710938
101,0.12890625
102,0.0703125
103,-0.026855469
104,-0.11328125
105,-0.12597656
106,-0.32421875
107,0.083496094
108,0.07861328
109,0.12792969
110,0.20507812
111,-0.15820312
112,-0.076660156
113,0.099609375
114,0.2578125
115,-0.111328125
116,0.07128906
117,0.34179688
118,0.24902344
119,0.39648438
120,-0.26757812
121,0.04711914
122,0.12597656
123,0.13867188
124,-0.038085938
125,-0.12158203
126,-0.45507812
127,-0.0234375
128,-0.18164062
129,0.24511719
130,-0.031982422
131,-0.23828125
132,-0.20800781
133,0.06689453
134,0.099121094
135,0.079589844
136,-0.13867188
137,-0.15527344
138,0.3359375
139,0.47460938
140,-0.16992188
141,-0.001449585
142,0.023925781
143,0.08642578
144,-0.15820312
145,-0.06738281
146,-0.06298828
147,0.13867188
148,-0.0025939941
149,-0.020263672
150,0.3046875
151,-0.42578125
152,0.060058594
153,-0.20996094
154,-0.08105469
155,-0.48632812
156,0.0390625
157,0.016845703
158,-0.0625
159,-0.025512695
160,-0.31054688
161,0.068359375
162,0.15332031
163,0.021484375
164,0.057128906
165,-0.35742188
166,0.049560547
167,-0.04345703
168,0.39453125
169,0.32226562
170,0.083496094
171,0.0703125
172,-0.28710938
173,-0.3515625
174,0.032226562
175,-0.048339844
176,0.06689453
177,-0.15234375
178,-0.22363281
179,-0.22167969
180,-0.09863281
181,0.078125
182,-0.23730469
183,-0.026489258
184,0.13378906
185,0.064941406
186,0.11767578
187,0.27734375
188,0.004638672
189,0.3125
190,0.15332031
191,-0.051513672
192,0.09667969
193,-0.091308594
194,-0.031982422
195,0.2578125
196,0.032714844
197,-0.10107422
198,0.09863281
199,0.091308594
200,-0.06542969
201,0.033203125
202,0.12109375
203,-0.076660156
204,-0.19433594
205,0.00982666
206,-0.043945312
207,-0.091796875
208,-0.27929688
209,0.104003906
210,-0.15039062
211,-0.087402344
212,-0.05419922
213,-0.25
214,-0.12890625
215,-0.08642578
216,-0.06542969
217,0.2734375
218,-0.30859375
219,-0.1640625
220,0.056396484
221,-0.24902344
222,0.080566406
223,-0.33203125
224,-0.20117188
225,-0.13867188
226,-0.13769531
227,0.24023438
228,0.62890625
229,-0.30273438
230,-0.23144531
231,0.012451172
232,0.19433594
233,0.021972656
234,0.20019531
235,0.25585938
236,-0.015625
237,0.08203125
238,0.08935547
239,-0.20117188
240,0.032226562
241,0.1171875
242,-0.07128906
243,-0.018676758
244,0.064941406
245,0.16308594
246,-0.0859375
247,-0.2890625
248,0.09423828
249,0.111816406
250,-0.30859375
251,-0.29492188
252,0.02319336
253,0.15820312
254,0.072265625
255,-0.11621094
256,0.26953125
257,0.0060424805
258,-0.010559082
259,-0.08154297
260,-0.12890625
261,0.100097656
262,0.25195312
263,0.006713867
264,-0.0074768066
265,0.013427734
266,-0.28125
267,-0.38085938
268,-0.119140625
269,0.057128906
270,0.16503906
271,0.31640625
272,0.21191406
273,-0.39453125
274,0.22167969
275,0.23242188
276,0.29101562
277,0.095703125
278,-0.25585938
279,-0.1484375
280,0.14453125
281,-0.012390137
282,0.021850586
283,0.03466797
284,-0.140625
285,-0.15820312
286,-0.21582031
287,-0.071777344
288,0.34179688
289,0.12060547
290,-0.07519531
291,-0.114746094
292,-0.021972656
293,0.15527344
294,-0.11425781
295,0.09814453
296,-0.104003906
297,0.04345703
298,0.41015625
299,0.038085938
