,Tajikistan
0,-0.15625
1,-0.049316406
2,0.17382812
3,0.29882812
4,0.0053710938
5,0.18164062
6,0.05419922
7,-0.11230469
8,-0.14550781
9,0.075683594
10,-0.034423828
11,-0.026977539
12,0.122558594
13,0.17382812
14,-0.24414062
15,-0.25585938
16,-0.38085938
17,0.03540039
18,0.045410156
19,0.02319336
20,0.12597656
21,-0.21386719
22,-0.07519531
23,0.107421875
24,0.15820312
25,-0.20117188
26,-0.17089844
27,-0.0625
28,-0.25976562
29,0.028808594
30,-0.52734375
31,-0.39453125
32,-0.030883789
33,-0.13183594
34,0.20703125
35,-0.0040283203
36,-0.28125
37,-0.032958984
38,0.24121094
39,-0.13769531
40,-0.13671875
41,0.08203125
42,0.25390625
43,0.1640625
44,0.34375
45,-0.08203125
46,-0.07470703
47,-0.13867188
48,0.076660156
49,-0.016479492
50,0.0020446777
51,-0.41015625
52,0.010192871
53,-0.14648438
54,-0.27539062
55,0.1796875
56,-0.5703125
57,0.3984375
58,-0.07910156
59,-0.23046875
60,0.26367188
61,-0.4140625
62,0.103515625
63,0.12451172
64,0.36914062
65,0.04248047
66,0.37695312
67,-0.22851562
68,-0.02355957
69,0.24316406
70,-0.22558594
71,0.09863281
72,-0.22753906
73,-0.010620117
74,-0.076171875
75,-0.51171875
76,0.0056152344
77,0.09863281
78,-0.028686523
79,0.28710938
80,-0.25976562
81,-0.32226562
82,-0.051757812
83,0.00065612793
84,-0.19433594
85,-0.25390625
86,0.12451172
87,-0.15429688
88,-0.115722656
89,0.18554688
90,-0.071777344
91,-0.23632812
92,-0.17382812
93,-0.080078125
94,-0.16503906
95,-0.43945312
96,-0.013977051
97,0.068359375
98,0.031982422
99,0.12988281
100,-0.13476562
101,0.125
102,-0.359375
103,0.16113281
104,0.203125
105,0.103027344
106,0.032470703
107,0.12890625
108,-0.037841797
109,0.103027344
110,0.06225586
111,-0.037841797
112,-0.009399414
113,-0.39257812
114,-0.100097656
115,0.033935547
116,0.17089844
117,0.28515625
118,0.31835938
119,0.060058594
120,-0.29492188
121,0.05517578
122,-0.28515625
123,-0.009887695
124,-0.06640625
125,0.3984375
126,-0.33789062
127,0.296875
128,-0.34570312
129,0.03955078
130,-0.01184082
131,0.18847656
132,0.107910156
133,0.040283203
134,-0.21582031
135,0.013977051
136,-0.265625
137,-0.034423828
138,-0.15820312
139,0.17382812
140,0.109375
141,-0.13574219
142,-0.04663086
143,0.3125
144,-0.114746094
145,-0.078125
146,-0.44335938
147,0.16015625
148,-0.114746094
149,-0.033447266
150,0.35546875
151,-0.17871094
152,0.100097656
153,-0.100097656
154,0.375
155,-0.31054688
156,-0.21875
157,0.045410156
158,0.06347656
159,-0.07519531
160,-0.4921875
161,0.14648438
162,0.025268555
163,0.061767578
164,0.15234375
165,-0.24609375
166,0.27539062
167,0.17773438
168,0.25390625
169,0.25195312
170,-0.4921875
171,0.18945312
172,-0.15136719
173,0.057128906
174,0.38476562
175,-0.14160156
176,0.20800781
177,-0.38085938
178,-0.076171875
179,-0.41015625
180,0.09814453
181,-0.107910156
182,-0.24707031
183,0.07519531
184,0.08203125
185,-0.032714844
186,0.103027344
187,0.024780273
188,0.115722656
189,0.23632812
190,-0.23339844
191,0.0059509277
192,-0.22753906
193,0.026367188
194,0.036621094
195,0.11376953
196,-0.18945312
197,-0.111328125
198,-0.140625
199,-0.15429688
200,0.22460938
201,0.061279297
202,0.17773438
203,-0.17773438
204,-0.015319824
205,-0.068847656
206,-0.068359375
207,-0.1484375
208,-0.24804688
209,0.3359375
210,-0.30859375
211,-0.04321289
212,-0.16601562
213,-0.18066406
214,-0.0028381348
215,0.05834961
216,-0.26953125
217,0.24316406
218,0.08154297
219,-0.21875
220,-0.12402344
221,-0.0065612793
222,-0.04638672
223,-0.104003906
224,0.13183594
225,-0.19921875
226,0.234375
227,0.18164062
228,0.359375
229,-0.17773438
230,-0.079589844
231,0.33789062
232,0.21191406
233,0.076660156
234,-0.03491211
235,0.43945312
236,-0.20898438
237,-0.017700195
238,0.20703125
239,-0.17871094
240,-0.16308594
241,0.017578125
242,-0.14355469
243,0.18945312
244,0.15722656
245,0.078125
246,-0.17285156
247,-0.3203125
248,0.09277344
249,-0.23535156
250,0.13183594
251,0.08691406
252,0.16113281
253,0.15136719
254,0.04663086
255,0.25390625
256,0.19433594
257,0.096191406
258,0.00045394897
259,0.11279297
260,0.16699219
261,0.1328125
262,0.14160156
263,0.07324219
264,0.296875
265,0.18359375
266,-0.19628906
267,-0.21972656
268,0.064941406
269,0.20800781
270,0.033935547
271,0.10839844
272,0.17871094
273,-0.1640625
274,0.18554688
275,0.26171875
276,0.22558594
277,-0.14355469
278,-0.20996094
279,0.17675781
280,0.09814453
281,0.037353516
282,0.06933594
283,0.041015625
284,-0.114746094
285,-0.21582031
286,-0.23046875
287,0.14160156
288,0.16601562
289,0.26757812
290,-0.047851562
291,0.12109375
292,0.041259766
293,-0.04736328
294,-0.011474609
295,-0.042236328
296,-0.37109375
297,-0.00062942505
298,0.079589844
299,0.36328125
