,Tokelau
0,0.41015625
1,-0.5078125
2,-0.01953125
3,-0.1953125
4,-0.40039062
5,-0.546875
6,-0.06347656
7,-0.3828125
8,0.16308594
9,0.16015625
10,0.20898438
11,0.10498047
12,0.17675781
13,-0.15820312
14,0.34179688
15,0.19042969
16,0.061523438
17,0.38476562
18,0.23339844
19,0.2109375
20,0.036376953
21,-0.23242188
22,0.27734375
23,0.06933594
24,0.24902344
25,0.0107421875
26,0.05834961
27,0.10839844
28,0.104003906
29,-0.125
30,0.046142578
31,-0.04248047
32,-0.30664062
33,0.045166016
34,0.49023438
35,-0.28125
36,0.03564453
37,-0.19824219
38,-0.076171875
39,0.140625
40,-0.33203125
41,0.7109375
42,-0.004638672
43,0.63671875
44,0.16308594
45,0.13867188
46,-0.07080078
47,-0.052246094
48,-0.072753906
49,-0.06591797
50,0.0107421875
51,-0.21484375
52,0.15722656
53,-0.44140625
54,-0.4609375
55,0.23242188
56,-0.64453125
57,-0.029174805
58,-0.55859375
59,-0.13867188
60,-0.30859375
61,0.006439209
62,0.06542969
63,-0.0546875
64,0.32421875
65,-0.39648438
66,-0.13769531
67,-0.11425781
68,-0.18261719
69,-0.18847656
70,-0.29296875
71,-0.084472656
72,-0.32226562
73,0.079589844
74,-0.28125
75,-0.34375
76,0.265625
77,-0.27148438
78,0.34570312
79,0.25
80,-0.26367188
81,-0.31445312
82,-0.203125
83,0.3125
84,0.060302734
85,-0.100097656
86,0.18652344
87,-0.14355469
88,0.123535156
89,0.41796875
90,0.33203125
91,0.13867188
92,-0.12402344
93,0.19042969
94,0.12402344
95,0.25585938
96,0.26757812
97,0.20605469
98,0.25585938
99,0.068359375
100,0.009033203
101,0.171875
102,0.359375
103,-0.0029754639
104,-0.075683594
105,0.08642578
106,-0.36328125
107,-0.064941406
108,0.13378906
109,0.2890625
110,0.10546875
111,0.3828125
112,-0.390625
113,0.171875
114,-0.107421875
115,-0.09863281
116,-0.11621094
117,0.11621094
118,0.16308594
119,-0.08154297
120,-0.44140625
121,0.22851562
122,-0.27929688
123,0.41601562
124,-0.25976562
125,0.37304688
126,-0.23144531
127,0.5234375
128,-0.42382812
129,0.3671875
130,-0.010192871
131,0.34960938
132,-0.3359375
133,0.47070312
134,-0.22949219
135,0.12109375
136,-0.046875
137,0.027832031
138,0.20019531
139,0.18945312
140,-0.1484375
141,-0.10449219
142,0.19335938
143,0.091308594
144,0.21386719
145,-0.0703125
146,-0.14355469
147,-0.328125
148,0.001449585
149,-0.022949219
150,0.421875
151,-0.38476562
152,-0.009765625
153,0.52734375
154,0.049316406
155,-0.43359375
156,0.25390625
157,0.042236328
158,0.20898438
159,0.34570312
160,-0.47460938
161,0.48632812
162,0.0023498535
163,0.06225586
164,-0.13574219
165,-0.8125
166,0.12792969
167,0.4375
168,-0.18652344
169,0.32421875
170,0.25976562
171,0.21191406
172,0.57421875
173,0.27734375
174,0.18066406
175,0.07519531
176,-0.030883789
177,-0.01361084
178,0.06933594
179,0.09765625
180,0.26757812
181,-0.22460938
182,-0.123046875
183,-0.04711914
184,-0.18261719
185,-0.109375
186,-0.39257812
187,-0.25195312
188,0.390625
189,-0.0005722046
190,-0.34375
191,-0.22070312
192,-0.33007812
193,-0.29296875
194,0.15039062
195,0.11230469
196,0.31640625
197,0.20410156
198,-0.12011719
199,-0.28515625
200,0.03515625
201,-0.58984375
202,0.14257812
203,-0.55078125
204,-0.12109375
205,0.024658203
206,0.026367188
207,-0.5078125
208,0.091796875
209,-0.70703125
210,0.07519531
211,-0.328125
212,-0.5625
213,-0.14160156
214,-0.078125
215,-0.11376953
216,0.24609375
217,0.08251953
218,0.10644531
219,-0.36523438
220,-0.008666992
221,0.061523438
222,-0.018066406
223,-0.16113281
224,0.0703125
225,-0.03173828
226,0.50390625
227,0.087890625
228,0.140625
229,0.16308594
230,0.1484375
231,-0.039794922
232,0.026855469
233,-0.26171875
234,0.23144531
235,0.28125
236,0.03930664
237,-0.13671875
238,0.09277344
239,0.37304688
240,0.27148438
241,-0.052246094
242,0.26171875
243,-0.118652344
244,0.091796875
245,-0.03112793
246,-0.15527344
247,0.20703125
248,0.41992188
249,-0.3046875
250,-0.9453125
251,0.09375
252,0.3515625
253,0.26757812
254,0.19238281
255,-0.28515625
256,0.43164062
257,0.14355469
258,0.013916016
259,0.296875
260,0.55078125
261,0.18164062
262,0.096191406
263,-0.08642578
264,-0.375
265,-0.16894531
266,-0.21679688
267,0.13476562
268,-0.04272461
269,-0.6015625
270,-0.51171875
271,-0.18652344
272,0.53515625
273,0.40039062
274,-0.021606445
275,0.20019531
276,-0.30664062
277,-0.17578125
278,0.09716797
279,0.18261719
280,0.016723633
281,0.3515625
282,0.38867188
283,0.057617188
284,0.43359375
285,-0.032470703
286,0.12890625
287,0.34765625
288,-0.059326172
289,0.640625
290,0.21582031
291,0.11621094
292,0.07080078
293,-0.37109375
294,-0.13769531
295,0.080566406
296,-0.12695312
297,0.359375
298,0.39648438
299,0.09765625
