,El_Salvador
0,-0.11669922
1,-0.059326172
2,0.33007812
3,0.28710938
4,-0.049560547
5,-0.19140625
6,-0.052001953
7,-0.22265625
8,-0.107421875
9,-0.13378906
10,0.25976562
11,0.021606445
12,0.13378906
13,0.12890625
14,0.33007812
15,-0.04711914
16,-0.06347656
17,0.3828125
18,0.06689453
19,0.22070312
20,0.1171875
21,-0.171875
22,0.011352539
23,-0.025024414
24,-0.07910156
25,0.1015625
26,0.03540039
27,-0.34179688
28,-0.203125
29,0.19140625
30,0.3359375
31,-0.33984375
32,-0.11669922
33,-0.15136719
34,-0.032958984
35,0.0019989014
36,-0.20996094
37,-0.19433594
38,-0.107910156
39,0.029296875
40,0.002243042
41,0.28515625
42,0.421875
43,0.080078125
44,-0.010009766
45,0.12597656
46,-0.00793457
47,-0.265625
48,0.265625
49,0.36328125
50,0.043945312
51,-0.20019531
52,0.09667969
53,-0.107421875
54,-0.05810547
55,-0.087402344
56,-0.21289062
57,0.056640625
58,-0.12890625
59,0.099609375
60,-0.055908203
61,0.15429688
62,-0.11669922
63,-0.0007324219
64,0.010192871
65,-0.375
66,-0.0029754639
67,-0.15332031
68,-0.076171875
69,0.13671875
70,-0.25
71,0.10205078
72,-0.17285156
73,0.08154297
74,0.010253906
75,-0.16503906
76,0.3671875
77,-0.03515625
78,0.07910156
79,0.122558594
80,-0.021362305
81,-0.026611328
82,-0.22363281
83,-0.13769531
84,-0.265625
85,-0.31835938
86,-0.119628906
87,0.104003906
88,0.12792969
89,-0.064941406
90,0.11376953
91,-0.03491211
92,-0.36132812
93,-0.064941406
94,-0.06347656
95,-0.076171875
96,0.03149414
97,-0.0034637451
98,0.20898438
99,0.18164062
100,-0.24609375
101,0.171875
102,-0.08203125
103,-0.16992188
104,0.125
105,-0.1328125
106,0.14257812
107,-0.33007812
108,-0.0625
109,0.059570312
110,0.038085938
111,-0.03491211
112,-0.061523438
113,-0.48242188
114,-0.17871094
115,0.421875
116,0.052246094
117,0.079589844
118,0.4140625
119,0.22753906
120,-0.171875
121,-0.39453125
122,-0.080078125
123,-0.06298828
124,-0.09423828
125,0.38085938
126,0.0005455017
127,0.075683594
128,-0.31835938
129,0.21875
130,-0.11621094
131,-0.080078125
132,-0.11376953
133,-0.15136719
134,0.025878906
135,-0.24609375
136,-0.453125
137,-0.039794922
138,0.16308594
139,0.034423828
140,-0.18066406
141,-0.06982422
142,0.072265625
143,-0.02355957
144,0.15039062
145,0.23730469
146,-0.09033203
147,-0.12792969
148,0.08984375
149,0.020629883
150,0.31640625
151,-0.47265625
152,-0.05029297
153,0.26953125
154,0.045898438
155,-0.088378906
156,-0.69140625
157,0.24511719
158,0.055419922
159,0.0859375
160,-0.099609375
161,0.0859375
162,-0.20605469
163,0.171875
164,-0.022216797
165,0.048828125
166,0.14648438
167,-0.07470703
168,0.2109375
169,-0.111328125
170,-0.09863281
171,0.34570312
172,0.12792969
173,-0.109375
174,0.084472656
175,-0.17578125
176,0.051757812
177,-0.114746094
178,0.03173828
179,0.04272461
180,-0.35546875
181,-0.39257812
182,0.04663086
183,-0.043945312
184,0.08691406
185,-0.13671875
186,0.21484375
187,-0.13574219
188,-0.11328125
189,0.079589844
190,0.09277344
191,-0.009643555
192,-0.13378906
193,-0.31640625
194,-0.024047852
195,0.26953125
196,-0.0018310547
197,-0.076171875
198,-0.34375
199,-0.111328125
200,0.12988281
201,0.08154297
202,0.07714844
203,-0.11279297
204,0.05078125
205,-0.119140625
206,-0.06640625
207,0.015014648
208,-0.29882812
209,-0.17675781
210,-0.027954102
211,-0.080566406
212,-0.11621094
213,0.21289062
214,-0.030517578
215,0.15429688
216,-0.13769531
217,-0.01928711
218,-0.20996094
219,-0.106933594
220,-0.06640625
221,-0.13964844
222,-0.13964844
223,-0.0044555664
224,-0.099121094
225,-0.296875
226,0.091308594
227,0.51953125
228,0.375
229,-0.064453125
230,-0.114746094
231,-0.05102539
232,-0.0034942627
233,-0.05859375
234,-0.18847656
235,0.10595703
236,-0.25585938
237,-0.12060547
238,0.034179688
239,0.03564453
240,-0.15136719
241,-0.05517578
242,-0.1953125
243,0.25976562
244,-0.3203125
245,0.16113281
246,-0.16113281
247,-0.078125
248,-0.09082031
249,-0.084472656
250,0.040771484
251,0.03149414
252,0.16308594
253,-0.029663086
254,0.23339844
255,-0.061523438
256,0.39257812
257,-0.079589844
258,0.16796875
259,0.064941406
260,0.29296875
261,0.15820312
262,0.38867188
263,0.059814453
264,0.1796875
265,-0.17382812
266,-0.37304688
267,-0.16503906
268,0.055419922
269,-0.23925781
270,-0.4296875
271,0.23242188
272,0.20605469
273,-0.03881836
274,0.125
275,0.13964844
276,-0.049316406
277,0.10498047
278,0.076660156
279,0.059326172
280,0.037841797
281,-0.23632812
282,-0.099121094
283,0.18945312
284,-0.31445312
285,-0.3515625
286,-0.19824219
287,0.095703125
288,-0.09765625
289,0.025756836
290,-0.055419922
291,-0.052246094
292,-0.15136719
293,-0.12158203
294,0.11621094
295,0.23925781
296,0.05517578
297,-0.18457031
298,0.18457031
299,0.30078125
