,Peru
0,-0.1953125
1,0.008178711
2,0.15429688
3,0.091308594
4,0.036865234
5,-0.18554688
6,-0.034423828
7,-0.21972656
8,0.01184082
9,0.07128906
10,0.07910156
11,-0.024291992
12,0.03540039
13,-0.014221191
14,0.24902344
15,-0.14941406
16,0.030761719
17,0.26367188
18,0.091796875
19,0.018310547
20,0.19628906
21,-0.22070312
22,0.013916016
23,0.20019531
24,0.04321289
25,-0.16796875
26,-0.13671875
27,-0.115234375
28,-0.13085938
29,0.18554688
30,0.375
31,-0.16210938
32,-0.24707031
33,-0.23339844
34,-0.095214844
35,-0.037109375
36,-0.33789062
37,-0.19238281
38,0.33007812
39,0.0390625
40,-0.015258789
41,0.016113281
42,0.011291504
43,0.15527344
44,-0.048339844
45,0.1953125
46,-0.041748047
47,0.07470703
48,0.10205078
49,0.19335938
50,-0.19335938
51,-0.11621094
52,-0.09667969
53,-0.25
54,-0.20410156
55,0.29492188
56,-0.33984375
57,-0.040771484
58,-0.15332031
59,-0.0022583008
60,0.06689453
61,0.02758789
62,-0.07128906
63,0.08300781
64,0.06298828
65,-0.015319824
66,0.09375
67,-0.46875
68,0.003479004
69,-0.021484375
70,-0.20019531
71,-0.07128906
72,-0.057373047
73,-0.09863281
74,0.10888672
75,-0.09082031
76,0.009765625
77,-0.049072266
78,0.118652344
79,0.19433594
80,-0.15722656
81,-0.055664062
82,-0.1328125
83,-0.296875
84,-0.14550781
85,-0.39257812
86,-0.13085938
87,0.1015625
88,-0.055664062
89,0.060791016
90,0.19335938
91,-0.11425781
92,-0.40429688
93,0.11328125
94,-0.16210938
95,-0.1640625
96,0.12158203
97,-0.123535156
98,0.36523438
99,-0.041992188
100,-0.12890625
101,0.006378174
102,-0.071777344
103,-0.13183594
104,0.14746094
105,0.08984375
106,0.15039062
107,-0.42578125
108,-0.34765625
109,0.18261719
110,-0.017944336
111,0.029663086
112,0.14453125
113,-0.3671875
114,-0.03173828
115,0.2890625
116,-0.10107422
117,-0.0005836487
118,0.1640625
119,0.08642578
120,0.06738281
121,-0.375
122,-0.07910156
123,0.035888672
124,-0.041259766
125,0.20898438
126,-0.0006713867
127,-0.07128906
128,-0.26757812
129,0.13671875
130,-0.16601562
131,-0.07714844
132,0.029907227
133,-0.03515625
134,-0.21289062
135,-0.15722656
136,-0.49804688
137,-0.033447266
138,0.18457031
139,0.16210938
140,-0.22558594
141,-0.38867188
142,0.10546875
143,0.050048828
144,0.296875
145,-0.013305664
146,-0.20117188
147,0.10205078
148,0.10839844
149,-0.12695312
150,0.30664062
151,-0.37695312
152,-0.111328125
153,0.15917969
154,-0.052734375
155,-0.10839844
156,-0.50390625
157,0.26171875
158,-0.009521484
159,0.23828125
160,0.040771484
161,0.09423828
162,-0.047851562
163,0.27539062
164,0.2578125
165,0.021362305
166,0.08203125
167,-0.06738281
168,0.24804688
169,-0.02722168
170,-0.16601562
171,0.31445312
172,0.099609375
173,0.044921875
174,0.06982422
175,-0.13964844
176,-0.095214844
177,-0.15917969
178,-0.076171875
179,0.07470703
180,-0.30273438
181,-0.05834961
182,-0.123046875
183,-0.10888672
184,0.18261719
185,-0.18652344
186,0.119628906
187,0.1015625
188,-0.0078125
189,-0.09033203
190,-0.19921875
191,-0.03857422
192,0.03125
193,-0.17578125
194,-0.028808594
195,0.28515625
196,0.23730469
197,-0.25
198,-0.08886719
199,-0.13964844
200,0.07324219
201,-0.125
202,0.27929688
203,0.008300781
204,-0.17382812
205,-0.040039062
206,0.026733398
207,0.016723633
208,-0.29882812
209,0.026855469
210,-0.047607422
211,0.15820312
212,-0.013061523
213,0.055419922
214,-0.10986328
215,0.13183594
216,-0.022094727
217,-0.08496094
218,-0.080566406
219,-0.15332031
220,-0.17089844
221,-0.19824219
222,-0.22265625
223,0.0073242188
224,-0.096191406
225,-0.1328125
226,0.07763672
227,0.17480469
228,0.14160156
229,0.21289062
230,0.076171875
231,-0.079589844
232,-0.14355469
233,0.08300781
234,-0.040771484
235,0.2421875
236,-0.11816406
237,0.10888672
238,0.096191406
239,0.07324219
240,-0.03930664
241,-0.13671875
242,0.13964844
243,0.13671875
244,-0.08935547
245,0.033935547
246,-0.10449219
247,-0.22167969
248,-0.0018386841
249,-0.07861328
250,-0.06591797
251,0.03857422
252,0.13574219
253,-0.076660156
254,0.22167969
255,-0.087402344
256,0.34179688
257,0.064941406
258,0.27539062
259,-0.12988281
260,0.3203125
261,0.0069885254
262,0.15332031
263,0.17578125
264,-0.095214844
265,0.006134033
266,-0.24121094
267,0.11621094
268,0.28710938
269,-0.15917969
270,-0.30859375
271,0.26171875
272,0.06689453
273,-0.15722656
274,0.18945312
275,0.14550781
276,-0.052246094
277,-0.060302734
278,-0.06689453
279,0.12988281
280,0.37109375
281,0.017700195
282,0.13476562
283,0.1015625
284,-0.17089844
285,0.006500244
286,-0.23144531
287,-0.13574219
288,-0.014221191
289,-0.08251953
290,-0.055664062
291,-0.28515625
292,-0.27148438
293,-0.06982422
294,0.08496094
295,0.27929688
296,0.06689453
297,-0.076171875
298,0.26367188
299,0.008544922
