,Ireland
0,0.20214844
1,0.08544922
2,0.019897461
3,0.25
4,0.05859375
5,-0.1640625
6,-0.11328125
7,-0.123535156
8,-0.0020446777
9,-0.05078125
10,-0.26171875
11,-0.064941406
12,0.22265625
13,-0.25390625
14,0.16992188
15,0.14160156
16,0.068847656
17,0.087890625
18,0.17871094
19,0.051757812
20,0.15136719
21,-0.13964844
22,0.05810547
23,-0.045410156
24,-0.0019454956
25,0.48046875
26,-0.12109375
27,0.08984375
28,0.12451172
29,0.01965332
30,-0.09033203
31,0.05078125
32,-0.09277344
33,0.032714844
34,-0.027954102
35,-0.0859375
36,-0.45117188
37,0.04736328
38,0.080078125
39,0.31835938
40,0.17871094
41,0.10058594
42,0.14160156
43,-0.07470703
44,-0.16699219
45,0.18554688
46,-0.12109375
47,0.18652344
48,0.07763672
49,0.067871094
50,-0.13769531
51,0.053710938
52,0.0015716553
53,0.11669922
54,0.012939453
55,-0.14550781
56,-0.44140625
57,-0.07128906
58,-0.15332031
59,0.08544922
60,-0.265625
61,-0.08935547
62,0.036376953
63,-0.3359375
64,-0.14648438
65,-0.17382812
66,0.15820312
67,0.16992188
68,-0.20996094
69,0.018310547
70,-0.079589844
71,-0.45507812
72,0.115234375
73,-0.007080078
74,0.25
75,0.076660156
76,0.07470703
77,0.080078125
78,0.34570312
79,0.08691406
80,-0.060546875
81,-0.35742188
82,-0.17089844
83,-0.15625
84,0.123046875
85,-0.3671875
86,-0.06689453
87,-0.119140625
88,0.31835938
89,0.025268555
90,0.12792969
91,0.12451172
92,-0.25976562
93,-0.03149414
94,0.046875
95,0.06298828
96,0.22167969
97,-0.27539062
98,0.22949219
99,-0.02355957
100,-0.44921875
101,0.061523438
102,-0.004547119
103,0.07763672
104,0.18457031
105,-0.17382812
106,-0.053466797
107,0.0234375
108,0.09423828
109,-0.2578125
110,0.103515625
111,0.12792969
112,-0.23144531
113,0.12890625
114,0.068359375
115,0.11767578
116,-0.03540039
117,-0.032470703
118,0.6484375
119,0.29101562
120,-0.35351562
121,-0.23046875
122,0.028198242
123,-0.19433594
124,-0.083984375
125,-0.057861328
126,-0.15039062
127,0.013305664
128,-0.35546875
129,0.22949219
130,-0.10888672
131,0.10058594
132,-0.24511719
133,-0.06689453
134,0.033691406
135,-0.07910156
136,-0.048339844
137,0.036132812
138,0.0546875
139,-0.008422852
140,0.09667969
141,-0.08544922
142,0.140625
143,-0.03149414
144,0.115234375
145,0.12792969
146,-0.12890625
147,0.041748047
148,0.05102539
149,0.13964844
150,-0.016967773
151,-0.016845703
152,0.24609375
153,-0.123535156
154,0.20605469
155,-0.24707031
156,-0.24121094
157,-0.024536133
158,0.12109375
159,0.075683594
160,0.119628906
161,0.12207031
162,-0.008483887
163,-0.023803711
164,0.15527344
165,-0.31835938
166,0.049560547
167,-0.080566406
168,-0.0859375
169,-0.123046875
170,-0.1796875
171,0.25585938
172,0.29296875
173,-0.07763672
174,-0.07421875
175,-0.07421875
176,0.19726562
177,0.038330078
178,0.024536133
179,0.05053711
180,0.037353516
181,-0.21875
182,0.12890625
183,-0.087402344
184,0.2890625
185,-0.15234375
186,0.23632812
187,-0.17871094
188,0.07910156
189,0.030273438
190,0.028076172
191,-0.25585938
192,-0.19726562
193,-0.27148438
194,0.041015625
195,0.265625
196,-0.012023926
197,0.27148438
198,-0.041503906
199,-0.26171875
200,0.07128906
201,-0.033203125
202,-0.12109375
203,-0.052978516
204,0.18457031
205,0.23535156
206,-0.107421875
207,0.03100586
208,0.24121094
209,-0.34179688
210,0.07763672
211,-0.18457031
212,0.022949219
213,0.10986328
214,0.14160156
215,-0.13378906
216,0.13964844
217,-0.171875
218,0.13476562
219,-0.15136719
220,-0.009277344
221,-0.22949219
222,-0.034423828
223,-0.084472656
224,-0.14160156
225,0.32226562
226,0.018188477
227,-0.30859375
228,0.13085938
229,-0.35351562
230,-0.23144531
231,-0.0034484863
232,0.099609375
233,-0.095214844
234,0.1328125
235,0.063964844
236,-0.14257812
237,0.036865234
238,-0.1328125
239,-0.15136719
240,0.008178711
241,-0.140625
242,0.17089844
243,0.111328125
244,0.17480469
245,-0.052001953
246,-0.26953125
247,0.21484375
248,0.110839844
249,-0.034179688
250,-0.020385742
251,0.00970459
252,0.021240234
253,0.23925781
254,-0.053710938
255,0.024414062
256,0.21679688
257,0.30859375
258,0.16308594
259,-0.1171875
260,0.024780273
261,0.25976562
262,0.25195312
263,0.26757812
264,0.24316406
265,-0.016845703
266,-0.33203125
267,-0.17382812
268,0.040527344
269,-0.25195312
270,-0.171875
271,-0.009216309
272,0.011779785
273,0.114746094
274,0.020996094
275,-0.053466797
276,0.16503906
277,0.008178711
278,-0.072265625
279,-0.063964844
280,-0.04272461
281,0.17578125
282,0.15527344
283,0.010986328
284,-0.16113281
285,-0.041992188
286,-0.15429688
287,0.14453125
288,-0.107910156
289,0.36328125
290,0.13867188
291,0.14550781
292,-0.14257812
293,0.05102539
294,-0.19726562
295,0.21191406
296,-0.0079956055
297,-0.26953125
298,0.17089844
299,-0.080078125
