,Åland_Islands
0,0.080078125
1,-0.22265625
2,0.056640625
3,0.11816406
4,0.026733398
5,-0.079589844
6,-0.115234375
7,-0.084472656
8,0.047607422
9,0.08203125
10,0.1875
11,-0.08691406
12,-0.17285156
13,-0.16210938
14,-0.12060547
15,0.0005340576
16,-0.12792969
17,0.20898438
18,-0.045898438
19,0.017089844
20,0.1484375
21,0.09375
22,-0.10498047
23,0.14453125
24,-0.012207031
25,0.018798828
26,-0.15527344
27,0.072265625
28,-0.09863281
29,0.10107422
30,-0.028808594
31,-0.18359375
32,0.091796875
33,0.3046875
34,-0.029052734
35,-0.2109375
36,-0.328125
37,-0.046142578
38,0.00077438354
39,-0.123535156
40,-0.11425781
41,0.026245117
42,0.04736328
43,0.09326172
44,0.17578125
45,-0.16113281
46,0.040527344
47,0.030517578
48,-0.011108398
49,0.06982422
50,-0.08544922
51,-0.07861328
52,0.18066406
53,-0.024658203
54,-0.26367188
55,0.123535156
56,-0.15527344
57,-0.037109375
58,-0.12109375
59,-0.06982422
60,-0.10498047
61,-0.060791016
62,0.12890625
63,-0.09033203
64,-0.0126953125
65,-0.1640625
66,0.0859375
67,-0.084472656
68,-0.040527344
69,0.18164062
70,0.020019531
71,-0.017333984
72,0.100097656
73,-0.06933594
74,-0.1328125
75,-0.171875
76,0.05102539
77,-0.123535156
78,0.029174805
79,0.104003906
80,-0.042236328
81,-0.03857422
82,-0.052246094
83,-0.06640625
84,-0.028076172
85,-0.0027618408
86,0.0067443848
87,-0.031982422
88,0.19921875
89,0.37695312
90,0.041992188
91,-0.047851562
92,-0.13378906
93,0.19726562
94,0.111816406
95,0.10205078
96,0.067871094
97,-0.10205078
98,0.19726562
99,0.0054016113
100,-0.0031433105
101,-0.12207031
102,-0.1484375
103,0.3359375
104,0.1796875
105,-0.063964844
106,-0.004119873
107,0.057861328
108,0.04248047
109,0.03125
110,-0.04663086
111,-0.061035156
112,0.10546875
113,-0.1328125
114,-0.043945312
115,-0.040283203
116,0.07373047
117,-0.059570312
118,0.12207031
119,-0.007080078
120,-0.19433594
121,-0.12011719
122,-0.23339844
123,-0.015625
124,0.08935547
125,0.024902344
126,-0.013916016
127,0.064941406
128,-0.3515625
129,0.07714844
130,0.13769531
131,0.19140625
132,-0.04272461
133,0.22753906
134,-0.1640625
135,-0.03125
136,-0.10546875
137,-0.10644531
138,-0.06640625
139,0.014038086
140,0.037109375
141,-0.0390625
142,0.13378906
143,0.15136719
144,0.08154297
145,0.037353516
146,-0.203125
147,0.21679688
148,-0.07910156
149,-0.08984375
150,0.15429688
151,0.09277344
152,-0.16503906
153,-0.17578125
154,0.15039062
155,-0.072753906
156,0.20019531
157,0.14355469
158,0.13964844
159,0.04321289
160,-0.0008049011
161,0.109375
162,0.2734375
163,-0.16699219
164,0.17480469
165,0.083984375
166,-0.07128906
167,0.12988281
168,-0.22558594
169,0.111816406
170,-0.13183594
171,0.063964844
172,0.004425049
173,-0.103027344
174,-0.08935547
175,-0.008361816
176,-0.07373047
177,-0.12060547
178,-0.16113281
179,-0.09472656
180,0.015380859
181,-0.2734375
182,-0.16210938
183,-0.053710938
184,0.041259766
185,0.21679688
186,0.07080078
187,-0.29882812
188,-0.031982422
189,0.053710938
190,-0.13183594
191,-0.096191406
192,-0.08544922
193,0.24121094
194,0.19824219
195,0.10449219
196,-0.0076904297
197,0.100097656
198,-0.025390625
199,-0.018554688
200,0.111328125
201,0.041748047
202,0.12402344
203,-0.13085938
204,-0.064453125
205,0.036865234
206,0.47460938
207,-0.037597656
208,0.12792969
209,-0.09375
210,-0.083984375
211,-0.23046875
212,-0.059814453
213,0.22363281
214,-0.28710938
215,-0.033447266
216,0.030029297
217,-0.0006713867
218,0.16210938
219,0.099609375
220,-0.018066406
221,-0.30273438
222,0.080566406
223,0.09423828
224,0.0012893677
225,-0.12890625
226,0.08886719
227,0.08691406
228,-0.016845703
229,-0.04345703
230,0.30273438
231,-0.17285156
232,-0.20703125
233,0.26367188
234,0.13671875
235,0.15917969
236,-0.14257812
237,0.010620117
238,0.26367188
239,-0.19238281
240,0.016479492
241,-0.3203125
242,-0.046142578
243,-0.15625
244,0.057373047
245,-0.109375
246,-0.028564453
247,0.123046875
248,0.19726562
249,-0.07324219
250,-0.052978516
251,-0.04345703
252,0.296875
253,0.14550781
254,0.024780273
255,-0.16796875
256,-0.079589844
257,-0.005279541
258,0.114746094
259,0.064941406
260,0.27734375
261,-0.0015029907
262,0.051757812
263,0.111328125
264,0.09277344
265,0.05444336
266,-0.17773438
267,-0.21777344
268,-0.16015625
269,-0.17871094
270,0.03857422
271,-0.071777344
272,0.09277344
273,0.15625
274,0.08691406
275,-0.057861328
276,0.029907227
277,-0.00340271
278,-0.22460938
279,0.025390625
280,-0.05493164
281,0.015991211
282,0.26953125
283,0.064453125
284,0.22363281
285,-0.27148438
286,0.018066406
287,-0.036621094
288,-0.026123047
289,0.1640625
290,-0.049316406
291,-0.020141602
292,-0.03857422
293,0.025634766
294,-0.033935547
295,0.123046875
296,-0.053222656
297,0.049316406
298,0.21679688
299,-0.11279297
