,St._Barthélemy
0,-0.04711914
1,-0.07470703
2,-0.033447266
3,0.03491211
4,0.036621094
5,0.076660156
6,-0.052978516
7,-0.092285156
8,0.029296875
9,-0.02746582
10,0.060791016
11,-0.016723633
12,-0.0034179688
13,0.0025939941
14,0.064453125
15,0.04321289
16,0.025268555
17,0.104003906
18,-0.016845703
19,0.11376953
20,-0.022705078
21,-0.009399414
22,0.004119873
23,-0.031982422
24,0.021850586
25,-0.0028381348
26,0.012451172
27,0.026000977
28,-0.045898438
29,0.095214844
30,0.09082031
31,0.04272461
32,-0.033447266
33,0.035888672
34,-0.014953613
35,-0.099121094
36,-0.019165039
37,-0.056396484
38,0.017456055
39,0.020751953
40,-0.012268066
41,-0.00065612793
42,0.022583008
43,0.09375
44,-0.05419922
45,-0.064941406
46,-0.008483887
47,-0.09082031
48,0.021362305
49,0.049804688
50,-2.9206276e-05
51,0.045410156
52,0.09667969
53,-0.083496094
54,-0.063964844
55,0.029663086
56,-0.04321289
57,-0.06347656
58,-0.03857422
59,0.017700195
60,-0.02709961
61,-0.063964844
62,0.032226562
63,-0.033691406
64,0.040771484
65,0.015319824
66,-0.084472656
67,-0.052001953
68,-0.000869751
69,0.01171875
70,0.056884766
71,0.053222656
72,-0.096191406
73,-0.0390625
74,0.056640625
75,0.027832031
76,-0.09277344
77,-0.06298828
78,-0.029663086
79,-0.016845703
80,-0.01928711
81,0.02319336
82,-0.080566406
83,-0.05126953
84,-0.03466797
85,0.064453125
86,-0.0055236816
87,-0.014343262
88,0.04321289
89,0.00982666
90,0.013366699
91,0.040527344
92,-0.04296875
93,0.042236328
94,0.00036239624
95,0.041992188
96,0.056884766
97,-0.072753906
98,0.023803711
99,0.00027656555
100,-0.015380859
101,0.032958984
102,-0.017700195
103,-0.015991211
104,0.041748047
105,-0.003768921
106,0.009643555
107,0.016357422
108,0.06689453
109,0.04345703
110,-0.055419922
111,0.03540039
112,0.052734375
113,-0.026733398
114,-0.018188477
115,0.032226562
116,0.0079956055
117,-0.041992188
118,0.01574707
119,-0.042236328
120,0.004425049
121,-0.055419922
122,0.05078125
123,-0.03173828
124,0.091308594
125,0.0020446777
126,-0.030517578
127,-0.028076172
128,-0.052490234
129,0.091796875
130,-0.020263672
131,0.060791016
132,0.024536133
133,-0.04321289
134,-0.04345703
135,-0.060546875
136,-0.009765625
137,0.011352539
138,-0.025878906
139,0.064941406
140,0.0057373047
141,-0.04736328
142,0.0390625
143,-0.002456665
144,0.0027008057
145,0.032470703
146,-0.017700195
147,0.040527344
148,-0.02734375
149,-0.03125
150,0.022949219
151,-0.025024414
152,-0.008605957
153,0.018554688
154,0.0074768066
155,0.017333984
156,0.021118164
157,0.10839844
158,0.08105469
159,0.021484375
160,0.037597656
161,0.09472656
162,0.04272461
163,0.009765625
164,0.013122559
165,0.023803711
166,0.014465332
167,-0.017456055
168,-0.09033203
169,-0.005706787
170,0.023925781
171,0.09277344
172,0.075683594
173,-0.079589844
174,-0.10986328
175,0.12695312
176,-0.04345703
177,-0.03540039
178,-6.914139e-05
179,-0.042236328
180,-0.06298828
181,0.008178711
182,-0.06982422
183,-0.015319824
184,-0.038085938
185,-0.037597656
186,0.09814453
187,-0.0859375
188,0.09667969
189,-0.040039062
190,0.08105469
191,0.0015716553
192,-0.004638672
193,0.02355957
194,-0.016845703
195,0.12402344
196,-0.0107421875
197,0.05102539
198,0.10253906
199,-0.045654297
200,0.08154297
201,0.0006752014
202,-0.0028076172
203,-0.041748047
204,-0.033691406
205,0.048583984
206,0.03112793
207,0.026611328
208,-0.028930664
209,0.036132812
210,0.056396484
211,-0.03149414
212,-0.04345703
213,0.05053711
214,0.0054016113
215,0.0067749023
216,-0.029541016
217,0.0006637573
218,0.052978516
219,-0.038085938
220,0.087890625
221,-0.011474609
222,0.0234375
223,-0.079589844
224,-0.045166016
225,0.019165039
226,0.05810547
227,0.07421875
228,-0.061279297
229,0.01586914
230,-0.026977539
231,-0.037109375
232,-0.005065918
233,-0.0546875
234,0.015563965
235,0.03112793
236,0.064453125
237,-0.029541016
238,0.015136719
239,0.076660156
240,-0.021362305
241,-0.056396484
242,0.023803711
243,-0.00088119507
244,0.088378906
245,-0.08154297
246,-0.007385254
247,-0.002243042
248,0.049560547
249,-0.09082031
250,-0.03857422
251,0.01586914
252,0.028808594
253,0.0066833496
254,-0.0011749268
255,0.017944336
256,-0.028564453
257,-0.009765625
258,0.033935547
259,-0.0025787354
260,0.0625
261,0.057861328
262,0.01586914
263,0.068359375
264,-0.0024871826
265,-0.04272461
266,0.0069885254
267,-0.06298828
268,0.061523438
269,-0.056152344
270,-0.068847656
271,-0.040283203
272,-0.046142578
273,0.0234375
274,-0.010925293
275,-0.020019531
276,-0.04345703
277,0.045898438
278,-0.09814453
279,-0.052001953
280,-0.11035156
281,-0.023071289
282,0.007537842
283,-0.037353516
284,0.024047852
285,-0.0079956055
286,-0.026611328
287,0.07470703
288,-0.14746094
289,0.03881836
290,0.017700195
291,0.0048828125
292,-0.015136719
293,0.046142578
294,0.049804688
295,0.0027618408
296,-0.020141602
297,0.021240234
298,0.11767578
299,0.047607422
