,Syria
0,0.12792969
1,0.10546875
2,0.061523438
3,0.005340576
4,-0.104003906
5,-0.019165039
6,-0.14746094
7,-0.12451172
8,-0.15722656
9,0.21582031
10,-0.13867188
11,-0.20996094
12,-0.18945312
13,-0.076171875
14,0.122558594
15,-0.005493164
16,-0.2578125
17,-0.09082031
18,0.35546875
19,-0.099609375
20,0.099609375
21,-0.034179688
22,0.11230469
23,0.103027344
24,0.21289062
25,0.25
26,0.025268555
27,0.030151367
28,0.16308594
29,-0.095214844
30,-0.328125
31,-0.23046875
32,-0.16015625
33,0.27929688
34,-0.25976562
35,-0.09082031
36,-0.016357422
37,0.19335938
38,0.21191406
39,-0.03881836
40,0.033935547
41,0.22070312
42,0.11035156
43,-0.12451172
44,0.026977539
45,0.1484375
46,-0.14941406
47,0.1875
48,-0.33007812
49,0.080566406
50,-0.123046875
51,-0.10449219
52,-0.31054688
53,0.18652344
54,-0.203125
55,0.107421875
56,-0.12060547
57,0.44140625
58,-0.009643555
59,0.0024414062
60,0.09082031
61,0.31835938
62,0.28125
63,0.07861328
64,-0.109375
65,-0.076660156
66,0.13476562
67,-0.24609375
68,-0.14550781
69,-0.033203125
70,-0.31445312
71,0.12792969
72,0.34765625
73,0.10644531
74,-0.024536133
75,-0.44335938
76,-0.010009766
77,0.17285156
78,0.052001953
79,0.052978516
80,-0.3203125
81,-0.14257812
82,0.033203125
83,-0.014343262
84,0.057128906
85,-0.07519531
86,-0.18847656
87,0.234375
88,0.16796875
89,0.20410156
90,-0.051513672
91,-0.1640625
92,-0.83203125
93,-0.07080078
94,0.07128906
95,-0.44921875
96,-0.06591797
97,0.18847656
98,-0.018920898
99,-0.06689453
100,-0.18554688
101,-0.10205078
102,0.034423828
103,-0.1953125
104,-0.24316406
105,0.07763672
106,-0.05419922
107,-0.080566406
108,-0.11767578
109,0.061279297
110,-0.1484375
111,0.005493164
112,0.05810547
113,-0.20605469
114,-0.11279297
115,-0.17480469
116,0.12011719
117,0.35742188
118,0.20117188
119,-0.0043945312
120,-0.20996094
121,0.0390625
122,0.07470703
123,0.0024261475
124,-0.14355469
125,-0.025268555
126,0.09375
127,0.01171875
128,-0.59765625
129,0.024291992
130,-0.1484375
131,0.18066406
132,0.34179688
133,-0.359375
134,0.079589844
135,-0.1328125
136,0.0234375
137,-0.32421875
138,0.10205078
139,0.14160156
140,0.07470703
141,0.100097656
142,0.2578125
143,-0.080566406
144,0.114746094
145,0.022705078
146,0.010803223
147,-0.0043029785
148,-0.16796875
149,0.030151367
150,0.51171875
151,-0.39257812
152,-0.049316406
153,-0.059326172
154,0.17285156
155,-0.38085938
156,-0.3515625
157,0.0023651123
158,-0.13378906
159,0.27929688
160,-0.36914062
161,0.095214844
162,0.2890625
163,-0.08984375
164,0.103027344
165,-0.060791016
166,0.026489258
167,0.30078125
168,0.25
169,0.29492188
170,-0.11767578
171,0.2109375
172,0.0095825195
173,-0.05053711
174,0.13574219
175,-0.03466797
176,0.30664062
177,-0.20703125
178,-0.22851562
179,-0.41992188
180,-0.35351562
181,0.07519531
182,-0.0625
183,-0.055908203
184,0.075683594
185,0.11621094
186,0.28125
187,-0.036132812
188,-0.111328125
189,0.17285156
190,0.003768921
191,0.26367188
192,-0.1640625
193,-0.328125
194,-0.1328125
195,0.08300781
196,-0.056640625
197,-0.28320312
198,0.18652344
199,-0.20898438
200,0.068359375
201,0.05419922
202,-0.25585938
203,-0.123535156
204,0.14941406
205,-0.14355469
206,-0.03112793
207,-0.2265625
208,0.083496094
209,-0.028686523
210,0.03515625
211,0.064453125
212,-0.13085938
213,0.08105469
214,0.016845703
215,0.072265625
216,-0.23632812
217,0.37695312
218,-0.088378906
219,-0.5234375
220,-0.125
221,-0.123046875
222,0.048095703
223,-0.018676758
224,-0.13867188
225,-0.16601562
226,0.13671875
227,0.25976562
228,0.53515625
229,-0.18652344
230,-0.07128906
231,-0.076660156
232,0.0043945312
233,0.11230469
234,0.15332031
235,-0.053222656
236,-0.041503906
237,0.20019531
238,0.05834961
239,-0.125
240,0.37109375
241,-0.22363281
242,-0.2578125
243,0.11425781
244,0.22851562
245,0.19726562
246,-0.27929688
247,-0.071777344
248,-0.28320312
249,-0.06201172
250,0.068359375
251,-0.28710938
252,-0.087890625
253,0.27929688
254,0.50390625
255,0.08886719
256,0.16894531
257,-0.19726562
258,-0.22265625
259,0.19042969
260,-0.06738281
261,0.20117188
262,0.0625
263,0.27148438
264,0.26953125
265,-0.05102539
266,-0.5
267,-0.46289062
268,-0.064453125
269,-0.11669922
270,0.04296875
271,0.43359375
272,-0.104003906
273,-0.123535156
274,0.027954102
275,0.07861328
276,0.19140625
277,-0.21484375
278,0.05517578
279,-0.07421875
280,-0.15820312
281,0.040527344
282,-0.068359375
283,-0.029907227
284,0.09667969
285,-0.30273438
286,-0.13183594
287,0.1015625
288,0.16503906
289,-0.011474609
290,-0.033935547
291,0.31445312
292,-0.0115356445
293,-0.13574219
294,-0.0061035156
295,0.15722656
296,0.057128906
297,0.028808594
298,0.12988281
299,0.30078125
