,Belgium
0,0.015258789
1,-0.09277344
2,0.09082031
3,0.020507812
4,-0.17285156
5,0.048583984
6,0.026245117
7,-0.41992188
8,-0.06738281
9,0.064453125
10,0.052001953
11,-0.088378906
12,0.1875
13,-0.23339844
14,-0.09863281
15,0.033691406
16,-0.064941406
17,0.23925781
18,-0.15039062
19,0.23730469
20,0.21679688
21,0.13378906
22,0.0107421875
23,0.10205078
24,0.08105469
25,0.07080078
26,-0.12988281
27,-0.08154297
28,-0.19726562
29,0.1328125
30,0.01953125
31,-0.19335938
32,0.017944336
33,-0.017700195
34,-0.21484375
35,-0.114746094
36,-0.17285156
37,0.10595703
38,-0.032470703
39,-0.037597656
40,0.07373047
41,0.122558594
42,0.18066406
43,0.21484375
44,-0.19042969
45,0.095214844
46,-0.09814453
47,-0.06298828
48,0.07421875
49,0.080078125
50,-0.17089844
51,0.051757812
52,-0.010620117
53,0.099609375
54,-0.37304688
55,0.107910156
56,-0.41015625
57,-0.13867188
58,-0.17871094
59,-0.042236328
60,0.04296875
61,-0.043701172
62,0.044189453
63,-0.13085938
64,-0.13476562
65,-0.012451172
66,0.22070312
67,-0.18554688
68,-0.091308594
69,0.25585938
70,-0.010803223
71,0.28710938
72,0.083984375
73,0.048583984
74,-0.026611328
75,-0.057861328
76,0.052246094
77,-0.060302734
78,0.016601562
79,0.13769531
80,-0.061035156
81,-0.19042969
82,0.04248047
83,-0.15234375
84,0.16796875
85,-0.12011719
86,-0.16210938
87,-0.03149414
88,0.20507812
89,0.10595703
90,-0.060791016
91,0.10107422
92,-0.114746094
93,0.15917969
94,-0.140625
95,-0.060791016
96,0.048583984
97,-0.34765625
98,-0.087402344
99,0.061767578
100,0.05883789
101,-0.059814453
102,-0.13378906
103,0.091308594
104,0.12402344
105,-0.013549805
106,-0.025390625
107,-0.068847656
108,-0.1796875
109,0.15527344
110,-0.0018692017
111,0.115234375
112,-0.052246094
113,-0.078125
114,0.10839844
115,-0.05419922
116,-0.06640625
117,0.0040283203
118,0.51171875
119,0.19628906
120,-0.17382812
121,-0.06347656
122,0.05126953
123,-0.2109375
124,0.13671875
125,-0.17773438
126,-0.11767578
127,-0.087402344
128,-0.32617188
129,0.06347656
130,-0.0054016113
131,0.14550781
132,-0.28125
133,-0.19433594
134,-0.09765625
135,-0.06225586
136,-0.11230469
137,-0.061767578
138,0.06201172
139,-0.07324219
140,0.15039062
141,-0.072265625
142,0.20117188
143,-0.048339844
144,0.036865234
145,0.06298828
146,0.0071411133
147,-0.0703125
148,-0.23242188
149,-0.25585938
150,0.08300781
151,-0.015075684
152,-0.07080078
153,-0.12011719
154,0.20800781
155,-0.34960938
156,-0.19433594
157,0.107421875
158,-0.099121094
159,-0.11669922
160,-0.14453125
161,0.064941406
162,0.21875
163,-0.14746094
164,0.16113281
165,-0.083496094
166,-0.034423828
167,-0.030517578
168,-0.13085938
169,0.09667969
170,-0.25195312
171,0.01184082
172,0.07470703
173,-0.032958984
174,-0.15917969
175,-0.09375
176,-0.028076172
177,-0.0077819824
178,0.111328125
179,-0.14355469
180,0.1875
181,-0.12451172
182,-0.24511719
183,-0.09765625
184,0.23730469
185,0.05834961
186,0.2421875
187,0.067871094
188,-0.17089844
189,0.26757812
190,-0.0071411133
191,-0.20214844
192,0.063964844
193,-0.11230469
194,-0.038085938
195,0.34375
196,0.122558594
197,-0.19042969
198,-0.080566406
199,-0.16210938
200,0.0013198853
201,0.091796875
202,0.09277344
203,-0.12451172
204,0.24902344
205,-0.0005607605
206,0.064941406
207,-0.115722656
208,-0.020507812
209,0.21582031
210,0.053710938
211,-0.21386719
212,-0.15136719
213,0.27148438
214,-0.012878418
215,-0.30664062
216,-0.03955078
217,-0.18554688
218,0.24902344
219,-0.08300781
220,-0.036621094
221,-0.37304688
222,-0.047851562
223,-0.071777344
224,-0.34570312
225,-0.049560547
226,0.05126953
227,-0.05810547
228,0.2890625
229,-0.03515625
230,-0.08642578
231,-0.078125
232,0.17773438
233,0.22753906
234,0.019042969
235,0.014709473
236,-0.02331543
237,0.072753906
238,-0.23925781
239,-0.029296875
240,-0.024291992
241,-0.061035156
242,0.15722656
243,0.5234375
244,0.16015625
245,0.16113281
246,-0.36328125
247,-0.0005302429
248,-0.0058288574
249,-0.2578125
250,0.034423828
251,0.16894531
252,-0.0032806396
253,0.19335938
254,-0.045654297
255,0.13671875
256,-0.010498047
257,0.12988281
258,0.15332031
259,-0.010925293
260,0.28125
261,0.12988281
262,-0.03857422
263,0.22070312
264,0.28515625
265,-0.05029297
266,-0.1484375
267,-0.049560547
268,-0.12597656
269,0.084472656
270,0.14160156
271,0.07470703
272,0.1328125
273,-0.019165039
274,0.017333984
275,-0.16210938
276,-0.13867188
277,0.24414062
278,-0.16210938
279,0.06225586
280,-0.26171875
281,-0.23535156
282,0.14355469
283,0.14453125
284,-0.10107422
285,0.05053711
286,0.119140625
287,-0.039794922
288,-0.09033203
289,0.22167969
290,0.100097656
291,0.26953125
292,-0.140625
293,0.0703125
294,-0.33789062
295,0.11035156
296,-0.045654297
297,0.20996094
298,0.12109375
299,-0.2578125
