,Uruguay
0,0.15039062
1,-0.22070312
2,0.37304688
3,0.24804688
4,0.15527344
5,-0.36328125
6,-0.2265625
7,-0.29101562
8,-0.013000488
9,-0.100097656
10,0.106933594
11,-0.100097656
12,0.107910156
13,0.04272461
14,0.1171875
15,0.14453125
16,0.09277344
17,0.24707031
18,0.13085938
19,0.24609375
20,0.27539062
21,-0.4140625
22,0.022705078
23,-0.11230469
24,0.12597656
25,0.03173828
26,0.14453125
27,-0.49609375
28,-0.16015625
29,0.049072266
30,0.024169922
31,-0.12060547
32,-0.34179688
33,-0.2734375
34,-0.017333984
35,0.13769531
36,-0.1875
37,0.07324219
38,0.08935547
39,-0.04711914
40,0.03491211
41,0.056152344
42,0.26367188
43,0.20898438
44,-0.15039062
45,0.1484375
46,0.12060547
47,-0.25585938
48,-0.100097656
49,0.31835938
50,-0.24121094
51,-0.06982422
52,-0.037597656
53,-0.265625
54,0.07714844
55,0.19140625
56,-0.2578125
57,-0.18652344
58,-0.16308594
59,0.14453125
60,-0.18945312
61,0.19628906
62,-0.24707031
63,-0.13867188
64,-0.059326172
65,-0.076171875
66,0.24023438
67,-0.328125
68,0.122558594
69,-0.091308594
70,-0.22265625
71,0.012207031
72,0.18359375
73,-0.033203125
74,-0.109375
75,-0.047607422
76,0.18359375
77,-0.26367188
78,-0.060791016
79,0.22558594
80,-0.17480469
81,-0.12597656
82,-0.1171875
83,-0.056396484
84,0.20019531
85,-0.12890625
86,0.03100586
87,0.02355957
88,0.21777344
89,-0.09423828
90,0.17382812
91,0.1328125
92,-0.2734375
93,0.14453125
94,-0.36914062
95,-0.3984375
96,-0.23730469
97,-0.20507812
98,0.16015625
99,0.23339844
100,0.17480469
101,-0.14257812
102,-0.078125
103,0.030517578
104,0.017456055
105,0.123535156
106,0.13964844
107,-0.5625
108,-0.017578125
109,-0.07714844
110,0.24414062
111,-0.22070312
112,0.20996094
113,-0.104003906
114,-0.01373291
115,0.11669922
116,-0.18359375
117,0.18359375
118,0.33203125
119,0.21777344
120,0.12402344
121,-0.31445312
122,-0.08203125
123,-0.14648438
124,-0.17285156
125,0.110839844
126,0.043701172
127,0.07373047
128,-0.53515625
129,0.12890625
130,-0.1796875
131,0.15234375
132,-0.15527344
133,-0.18457031
134,-0.076171875
135,-0.13769531
136,-0.21972656
137,0.068847656
138,-0.052978516
139,-0.15136719
140,-0.021362305
141,-0.24414062
142,0.13378906
143,0.21289062
144,0.083984375
145,0.068359375
146,-0.20800781
147,0.036376953
148,0.08154297
149,0.075683594
150,0.25
151,-0.44140625
152,-0.16503906
153,0.119628906
154,0.12988281
155,-0.122558594
156,-0.34765625
157,-0.087402344
158,-0.068359375
159,0.07421875
160,0.13183594
161,0.10449219
162,-0.04711914
163,-0.0056152344
164,0.30078125
165,-0.18554688
166,-0.052734375
167,0.08886719
168,-0.015991211
169,-0.052978516
170,-0.48828125
171,0.37890625
172,0.0546875
173,-0.28320312
174,-0.2421875
175,-0.171875
176,0.013916016
177,0.032226562
178,-0.019165039
179,0.16308594
180,-0.024291992
181,-0.41210938
182,-0.119140625
183,0.02319336
184,0.080078125
185,0.052001953
186,0.04248047
187,-0.2734375
188,-0.12988281
189,0.26171875
190,-0.23144531
191,-0.14453125
192,0.004119873
193,-0.23828125
194,0.21582031
195,0.3046875
196,0.075683594
197,0.107421875
198,-0.3984375
199,-0.28125
200,0.20800781
201,0.038085938
202,-0.0072021484
203,-0.10058594
204,0.21777344
205,-0.1328125
206,0.029052734
207,-0.09277344
208,-0.38085938
209,-0.19628906
210,-0.103027344
211,0.024658203
212,-0.14355469
213,0.29101562
214,-0.17773438
215,0.043945312
216,0.20507812
217,0.0030670166
218,-0.26757812
219,-0.13671875
220,-0.25195312
221,0.107421875
222,-0.140625
223,-0.075683594
224,-0.30664062
225,0.09667969
226,0.44335938
227,0.3046875
228,0.29882812
229,0.21875
230,-0.33789062
231,-0.15332031
232,0.024169922
233,0.1640625
234,0.18066406
235,-0.17675781
236,-0.10546875
237,0.31445312
238,-0.055908203
239,0.087402344
240,0.21679688
241,-0.31054688
242,-0.10205078
243,0.26367188
244,-0.24707031
245,-0.03955078
246,-0.3671875
247,-0.06982422
248,-0.34570312
249,-0.0045166016
250,0.083984375
251,0.31445312
252,0.03466797
253,-0.01361084
254,0.068359375
255,0.096191406
256,0.057128906
257,-0.100097656
258,0.0032196045
259,0.09277344
260,0.21679688
261,0.19140625
262,0.115722656
263,0.33007812
264,0.5234375
265,-0.16113281
266,-0.4296875
267,-0.234375
268,-0.22949219
269,0.0043945312
270,-0.18945312
271,0.20214844
272,0.016113281
273,-0.16503906
274,0.15136719
275,-0.13867188
276,-0.07324219
277,0.087402344
278,-0.10595703
279,0.16796875
280,-0.018432617
281,-0.16113281
282,0.19726562
283,0.021972656
284,-0.21972656
285,0.14746094
286,0.014221191
287,0.11376953
288,-0.056884766
289,0.16796875
290,0.06933594
291,-0.21191406
292,-0.06933594
293,-0.17871094
294,0.15234375
295,0.29101562
296,0.20117188
297,-0.24023438
298,0.01940918
299,-0.024658203
