,Qatar
0,-0.14746094
1,0.061035156
2,0.0019073486
3,-0.087890625
4,-0.18066406
5,-0.18652344
6,0.056640625
7,-0.328125
8,-0.057861328
9,0.34375
10,-0.28320312
11,0.018554688
12,0.1015625
13,0.002380371
14,-0.16210938
15,0.12792969
16,-0.23632812
17,0.0011672974
18,0.17285156
19,0.14746094
20,0.059814453
21,-0.18261719
22,0.05859375
23,0.13867188
24,0.22558594
25,0.08154297
26,-0.16601562
27,0.014099121
28,-0.16210938
29,0.16894531
30,-0.055664062
31,-0.013977051
32,-0.26757812
33,-0.09765625
34,-0.0107421875
35,0.012634277
36,-0.08935547
37,-0.17285156
38,-0.14257812
39,0.061523438
40,0.12890625
41,0.1796875
42,-0.06591797
43,0.53125
44,0.15136719
45,0.0057678223
46,-0.28710938
47,0.0043945312
48,0.17285156
49,0.048828125
50,-0.091308594
51,0.05053711
52,0.02319336
53,0.056884766
54,-0.21289062
55,0.19433594
56,-0.33789062
57,0.13867188
58,0.061279297
59,-0.23535156
60,-0.13476562
61,-0.16015625
62,0.122558594
63,0.010681152
64,0.20019531
65,0.09375
66,0.068847656
67,-0.122558594
68,0.0021514893
69,0.0703125
70,-0.31445312
71,-0.19824219
72,-0.096191406
73,0.0703125
74,-0.008361816
75,-0.34765625
76,0.03955078
77,0.03491211
78,-0.16992188
79,0.107910156
80,-0.25
81,-0.22753906
82,-0.14160156
83,-0.02758789
84,0.18359375
85,-0.03466797
86,-0.3671875
87,0.09814453
88,-0.16796875
89,0.5
90,0.34570312
91,-0.13867188
92,-0.48828125
93,-0.075683594
94,0.020874023
95,-0.14355469
96,0.016235352
97,0.033447266
98,0.035888672
99,0.12597656
100,-0.06347656
101,0.125
102,-0.265625
103,0.16894531
104,-0.12890625
105,0.035888672
106,0.40429688
107,-0.3046875
108,-0.057861328
109,0.07324219
110,0.14257812
111,0.109375
112,0.0859375
113,-0.111816406
114,0.034423828
115,-0.16894531
116,-0.06298828
117,0.064941406
118,0.2890625
119,-0.091308594
120,-0.21484375
121,0.0069885254
122,0.04736328
123,0.076660156
124,-0.22460938
125,-0.04736328
126,-0.01171875
127,-0.059814453
128,-0.21484375
129,-0.029907227
130,0.015625
131,0.091796875
132,-0.0007171631
133,-0.43359375
134,-0.008178711
135,-0.27539062
136,-0.0035247803
137,0.11230469
138,-0.2890625
139,0.19238281
140,0.21289062
141,0.061035156
142,0.19824219
143,-0.11328125
144,0.05419922
145,-0.06982422
146,-0.17382812
147,0.14355469
148,0.115722656
149,-0.033935547
150,0.107421875
151,0.15820312
152,0.0107421875
153,-0.037353516
154,0.44726562
155,0.075683594
156,-0.171875
157,-0.0859375
158,0.008422852
159,0.053466797
160,-0.19824219
161,0.0859375
162,0.27929688
163,-0.07128906
164,0.09375
165,-0.06542969
166,0.044433594
167,0.22949219
168,0.07324219
169,0.20410156
170,-0.19628906
171,0.30664062
172,-0.22753906
173,-0.030029297
174,-0.052490234
175,-0.14746094
176,0.44726562
177,-0.39453125
178,0.040771484
179,-0.17675781
180,0.12988281
181,-0.33203125
182,-0.17871094
183,0.0049743652
184,-0.015991211
185,0.053710938
186,-0.06591797
187,0.007537842
188,-0.07421875
189,0.19042969
190,-0.28515625
191,0.13671875
192,-0.14160156
193,0.0075683594
194,-0.091796875
195,0.28125
196,0.23242188
197,-0.15429688
198,-0.05102539
199,-0.38867188
200,0.21777344
201,-0.09667969
202,-0.265625
203,-0.29296875
204,0.068847656
205,-0.19628906
206,-0.13476562
207,-0.34960938
208,0.026123047
209,-0.10595703
210,0.07910156
211,0.04296875
212,0.12988281
213,0.049804688
214,0.15527344
215,0.26757812
216,-0.21875
217,0.060791016
218,0.049804688
219,-0.114746094
220,-0.068847656
221,-0.24511719
222,0.0025634766
223,-0.25585938
224,-0.30273438
225,0.11376953
226,0.21191406
227,0.24023438
228,0.20898438
229,-0.33398438
230,-0.29882812
231,-0.06591797
232,0.103027344
233,-0.21484375
234,0.31054688
235,-0.10839844
236,0.2109375
237,0.119140625
238,-0.005554199
239,-0.13769531
240,0.15625
241,-0.071777344
242,-0.18066406
243,0.22558594
244,0.013244629
245,-0.20117188
246,0.049316406
247,-0.045410156
248,-0.08203125
249,-0.012817383
250,0.23632812
251,-0.171875
252,-0.18066406
253,0.06591797
254,0.19726562
255,0.17089844
256,0.07470703
257,0.024780273
258,-0.21875
259,0.033935547
260,0.375
261,0.0859375
262,-0.011047363
263,0.1484375
264,0.44726562
265,-0.021118164
266,-0.06640625
267,-0.4375
268,0.12158203
269,0.43945312
270,-0.13867188
271,0.15820312
272,-0.083984375
273,-0.122558594
274,0.007171631
275,0.17480469
276,-0.09423828
277,-0.016967773
278,-0.033447266
279,0.2109375
280,0.10107422
281,-0.30273438
282,-0.11621094
283,0.22558594
284,0.037353516
285,-0.029296875
286,0.011230469
287,-0.16699219
288,0.13085938
289,0.12597656
290,0.11816406
291,-0.08544922
292,-0.0020599365
293,-0.22460938
294,-0.061035156
295,0.09326172
296,0.05053711
297,0.30273438
298,-0.328125
299,0.13085938
