,United_Arab_Emirates
0,-0.106933594
1,0.012817383
2,-0.01171875
3,-0.13183594
4,0.09472656
5,-0.12695312
6,-0.20605469
7,-0.2265625
8,-0.041259766
9,0.1484375
10,-0.0045166016
11,-0.12207031
12,0.13574219
13,-0.19335938
14,-0.114746094
15,-0.13867188
16,-0.25976562
17,-0.029907227
18,0.04296875
19,0.0546875
20,-0.11376953
21,-0.16308594
22,0.13867188
23,0.019165039
24,0.21777344
25,0.23828125
26,0.011047363
27,0.122558594
28,-0.087890625
29,-0.016357422
30,-0.104003906
31,-0.15136719
32,-0.110839844
33,-0.00982666
34,-0.014404297
35,-0.0146484375
36,-0.35742188
37,-0.056640625
38,0.05493164
39,0.171875
40,0.21679688
41,0.14355469
42,0.022705078
43,0.16308594
44,-0.024169922
45,0.021484375
46,-0.14746094
47,-0.07128906
48,-0.012145996
49,0.1640625
50,-0.087402344
51,0.10888672
52,0.20410156
53,-0.040039062
54,-0.14257812
55,0.26757812
56,-0.33789062
57,0.27148438
58,0.03955078
59,-0.11767578
60,0.038085938
61,0.084472656
62,0.05517578
63,0.19921875
64,-0.012207031
65,0.027832031
66,0.0390625
67,0.0079956055
68,0.037109375
69,-0.10205078
70,-0.19433594
71,0.013305664
72,0.02319336
73,-0.034423828
74,0.122558594
75,-0.15917969
76,-0.052978516
77,0.11035156
78,0.100097656
79,0.115722656
80,-0.25195312
81,-0.25195312
82,-0.096191406
83,-0.061523438
84,-0.0002861023
85,-0.30078125
86,-0.2109375
87,-0.09082031
88,-0.06933594
89,0.38085938
90,0.15039062
91,0.0019989014
92,-0.41992188
93,0.045410156
94,0.16113281
95,-0.28515625
96,0.030761719
97,0.07861328
98,-0.12695312
99,-0.014343262
100,0.16992188
101,0.028930664
102,-0.15136719
103,0.13867188
104,0.10253906
105,-0.059570312
106,0.23828125
107,-0.12158203
108,0.28125
109,0.059570312
110,0.114746094
111,-0.027954102
112,0.07324219
113,-0.055664062
114,0.115234375
115,-0.032714844
116,-0.119628906
117,0.10888672
118,0.6328125
119,-0.04663086
120,-0.17773438
121,-0.118652344
122,0.15332031
123,0.16308594
124,0.034423828
125,-0.060546875
126,0.111328125
127,-0.31445312
128,-0.088378906
129,0.0008544922
130,-0.04638672
131,0.25
132,-0.029174805
133,-0.26757812
134,-0.05444336
135,-0.16894531
136,0.07714844
137,-0.12890625
138,-0.20507812
139,0.17480469
140,0.11035156
141,-0.14257812
142,0.17578125
143,0.072753906
144,0.18359375
145,0.14355469
146,-0.060302734
147,0.10498047
148,0.13378906
149,-0.21582031
150,0.39648438
151,0.00091934204
152,0.14941406
153,-0.19433594
154,0.19921875
155,-0.099609375
156,-0.21484375
157,-0.22460938
158,0.15917969
159,0.091796875
160,-0.11230469
161,-0.01965332
162,0.41015625
163,-0.32421875
164,0.010986328
165,-0.21777344
166,-0.05444336
167,-0.03955078
168,0.005065918
169,0.19335938
170,-0.17773438
171,0.24023438
172,-0.19042969
173,-0.022338867
174,-0.10839844
175,-0.0022277832
176,0.40234375
177,-0.037109375
178,-0.15625
179,-0.044433594
180,-0.028198242
181,-0.15722656
182,-0.1796875
183,-0.16894531
184,0.2578125
185,0.029418945
186,0.1875
187,-0.079589844
188,0.048339844
189,0.28515625
190,-0.09472656
191,0.15429688
192,-0.14160156
193,-0.25390625
194,-0.25390625
195,0.27734375
196,-0.072753906
197,0.04711914
198,-0.012084961
199,-0.515625
200,0.11669922
201,-0.19824219
202,-0.11621094
203,-0.15136719
204,0.13769531
205,0.06298828
206,-0.016479492
207,-0.015136719
208,-0.064941406
209,-0.21582031
210,0.06298828
211,0.022460938
212,0.099609375
213,0.17578125
214,0.29101562
215,0.20507812
216,-0.1015625
217,0.20507812
218,-0.017700195
219,-0.18945312
220,0.041992188
221,-0.38867188
222,-0.09863281
223,-0.12597656
224,-0.075683594
225,0.026000977
226,-0.03149414
227,0.115234375
228,0.23046875
229,-0.20507812
230,-0.10253906
231,-0.029174805
232,-0.111328125
233,-0.14355469
234,0.2578125
235,0.16992188
236,0.18066406
237,0.04736328
238,0.019042969
239,-0.2421875
240,-0.059814453
241,-0.011657715
242,-0.016967773
243,0.15136719
244,0.018310547
245,-0.07714844
246,0.13085938
247,0.010253906
248,0.10644531
249,-0.033691406
250,0.24023438
251,0.2421875
252,-0.11816406
253,0.013244629
254,0.15527344
255,0.04345703
256,-0.007171631
257,-0.0134887695
258,-0.119140625
259,0.2578125
260,0.13378906
261,0.296875
262,-0.08105469
263,0.0004863739
264,0.34375
265,-0.05053711
266,-0.171875
267,-0.42382812
268,0.091796875
269,0.19140625
270,-0.13867188
271,0.16210938
272,0.021240234
273,-0.25
274,-0.10644531
275,-0.032226562
276,-0.08203125
277,-0.06689453
278,-0.04711914
279,0.048583984
280,0.091308594
281,-0.24511719
282,-0.16113281
283,0.049072266
284,-0.115234375
285,-0.12402344
286,-0.08203125
287,-0.22363281
288,0.22949219
289,0.24511719
290,0.13671875
291,-0.2109375
292,0.20410156
293,-0.16308594
294,0.06591797
295,0.15625
296,0.015136719
297,0.12597656
298,-0.23730469
299,-0.08935547
