,Sweden
0,0.099121094
1,-0.06933594
2,0.24511719
3,0.044433594
4,-0.19726562
5,-0.07128906
6,0.014465332
7,-0.29882812
8,0.061279297
9,-0.035888672
10,-0.11669922
11,0.0065307617
12,0.002380371
13,-0.18164062
14,-0.08642578
15,-0.32617188
16,-0.11425781
17,0.08203125
18,-0.17675781
19,0.060546875
20,0.2890625
21,0.19921875
22,-0.13769531
23,-0.07128906
24,0.010498047
25,0.12695312
26,-0.08886719
27,-0.060791016
28,-0.16894531
29,0.14746094
30,0.11328125
31,-0.17871094
32,0.08203125
33,-0.0076904297
34,-0.048828125
35,-0.15429688
36,-0.38085938
37,0.06225586
38,0.19238281
39,0.018066406
40,0.14160156
41,0.055908203
42,0.09765625
43,0.123535156
44,-0.13378906
45,0.27148438
46,-0.083984375
47,-0.033203125
48,0.2421875
49,0.12890625
50,-0.171875
51,0.025390625
52,0.04736328
53,0.088378906
54,0.017333984
55,0.01928711
56,-0.36914062
57,0.076171875
58,-0.38671875
59,-0.048339844
60,-0.020507812
61,0.009521484
62,0.034179688
63,-0.068359375
64,0.123046875
65,-0.36523438
66,0.39453125
67,-0.13867188
68,-0.09765625
69,0.095703125
70,0.020507812
71,-0.16015625
72,0.27539062
73,0.06640625
74,-0.13183594
75,-0.068359375
76,0.24609375
77,0.20410156
78,0.050048828
79,0.1796875
80,-0.050048828
81,-0.100097656
82,0.1875
83,-0.11376953
84,-0.057128906
85,-0.22949219
86,0.045410156
87,0.019897461
88,0.122558594
89,0.2890625
90,0.18457031
91,0.09277344
92,-0.3125
93,0.34179688
94,-0.07080078
95,-0.21386719
96,0.12792969
97,-0.2734375
98,0.099121094
99,0.052978516
100,0.080566406
101,-0.04711914
102,-0.06542969
103,0.47851562
104,0.04638672
105,-0.008239746
106,0.057373047
107,-0.020141602
108,0.095214844
109,-0.022094727
110,0.21386719
111,-0.028686523
112,-0.041503906
113,-0.19433594
114,-0.16699219
115,-0.265625
116,0.123535156
117,0.025390625
118,0.40820312
119,0.24121094
120,-0.16503906
121,-0.24707031
122,0.107910156
123,0.022827148
124,-0.00014209747
125,0.13378906
126,0.20019531
127,0.10888672
128,-0.6328125
129,0.052490234
130,0.20410156
131,0.13183594
132,-0.13085938
133,0.09375
134,-0.012817383
135,-0.26171875
136,-0.08203125
137,0.13964844
138,0.0044555664
139,-0.119140625
140,0.25195312
141,-0.07128906
142,0.18945312
143,0.057861328
144,-0.026367188
145,0.10546875
146,0.0703125
147,-0.046142578
148,-0.13378906
149,0.051513672
150,0.21972656
151,-0.091308594
152,-0.016113281
153,-0.12011719
154,0.22460938
155,-0.19628906
156,-0.114746094
157,0.12597656
158,0.11621094
159,-0.020385742
160,-0.06933594
161,0.13378906
162,0.15820312
163,-0.103027344
164,0.265625
165,-0.17089844
166,-0.104003906
167,0.008544922
168,-0.328125
169,0.24316406
170,-0.07324219
171,0.16992188
172,-0.096191406
173,-0.123046875
174,-0.26367188
175,-0.2421875
176,0.109375
177,-0.067871094
178,-0.2265625
179,-0.029785156
180,0.01574707
181,-0.41601562
182,-0.12060547
183,-0.080078125
184,0.23730469
185,-0.030639648
186,0.11816406
187,-0.28125
188,-0.017456055
189,0.17480469
190,-0.15527344
191,-0.21582031
192,0.12597656
193,-0.12060547
194,0.16796875
195,0.17871094
196,0.111328125
197,0.08642578
198,-0.24414062
199,-0.32617188
200,-0.01928711
201,0.24121094
202,0.34765625
203,-0.39648438
204,-0.043701172
205,0.115234375
206,0.15332031
207,-0.10058594
208,-0.14160156
209,-0.0021362305
210,0.13378906
211,-0.027832031
212,0.10888672
213,0.24609375
214,-0.17773438
215,-0.13574219
216,-0.110839844
217,-0.044921875
218,0.08984375
219,-0.07763672
220,-0.044677734
221,-0.359375
222,0.17871094
223,-0.13476562
224,-0.13378906
225,-0.092285156
226,-0.050048828
227,-0.12597656
228,-0.002029419
229,-0.2421875
230,0.107421875
231,0.067871094
232,0.00970459
233,0.087402344
234,0.18066406
235,0.026123047
236,-0.13769531
237,0.12158203
238,0.012023926
239,-0.088378906
240,0.12109375
241,-0.08935547
242,0.01361084
243,-0.122558594
244,-0.009887695
245,0.016601562
246,-0.15429688
247,0.13964844
248,0.026855469
249,-0.29101562
250,0.107421875
251,0.29296875
252,0.16796875
253,0.22070312
254,-0.2890625
255,0.14746094
256,-0.057861328
257,0.046875
258,-0.033691406
259,-0.21386719
260,0.41015625
261,0.115722656
262,-0.051513672
263,-0.13183594
264,0.35351562
265,0.014587402
266,-0.37109375
267,-0.15429688
268,0.119628906
269,0.14550781
270,0.115722656
271,0.053955078
272,0.20410156
273,-0.05810547
274,0.20117188
275,0.056640625
276,-0.13574219
277,0.13867188
278,-0.039794922
279,0.09716797
280,-0.040283203
281,-0.40625
282,0.12011719
283,0.18261719
284,-0.22851562
285,-0.12890625
286,0.37304688
287,-0.21582031
288,-0.104003906
289,0.3359375
290,0.16308594
291,0.10449219
292,-0.09667969
293,0.18066406
294,-0.32421875
295,0.14355469
296,-0.099609375
297,0.13867188
298,0.027954102
299,-0.079589844
