,Lebanon
0,0.13183594
1,0.0026855469
2,-0.12792969
3,-0.13476562
4,-0.0067443848
5,-0.12695312
6,0.0077819824
7,-0.26367188
8,-0.18261719
9,0.30664062
10,-0.02722168
11,-0.20800781
12,0.0078125
13,-0.060546875
14,0.18164062
15,0.044677734
16,-0.10498047
17,0.23144531
18,0.06591797
19,0.044677734
20,0.029418945
21,0.15527344
22,0.1875
23,-0.0020446777
24,-0.050048828
25,0.13671875
26,0.05444336
27,0.091308594
28,0.22265625
29,-0.20996094
30,-0.14746094
31,-0.25976562
32,-0.20898438
33,0.08105469
34,-0.15625
35,-0.25390625
36,0.07519531
37,0.052734375
38,0.22265625
39,0.080566406
40,0.0073547363
41,0.031982422
42,0.028930664
43,-0.15429688
44,0.21191406
45,0.13671875
46,-0.056884766
47,0.31835938
48,-0.10058594
49,0.083984375
50,-0.07763672
51,-0.05834961
52,-0.30664062
53,0.037353516
54,-0.22460938
55,0.25195312
56,-0.091796875
57,0.34960938
58,-0.12597656
59,-0.04736328
60,-0.18457031
61,0.083984375
62,0.30273438
63,0.07128906
64,-0.07714844
65,0.052978516
66,0.068847656
67,-0.26171875
68,-0.12451172
69,-0.13964844
70,-0.15917969
71,-0.017211914
72,0.13378906
73,0.07421875
74,0.20898438
75,-0.49414062
76,-0.26757812
77,-0.06225586
78,-0.027832031
79,-0.067871094
80,-0.45507812
81,0.059326172
82,0.052246094
83,0.026855469
84,-0.036376953
85,0.05834961
86,-0.10546875
87,0.13183594
88,0.16015625
89,-0.13183594
90,-0.06982422
91,-0.29296875
92,-0.53515625
93,-0.23144531
94,-0.09472656
95,-0.16601562
96,0.041015625
97,0.06225586
98,-0.24023438
99,0.28125
100,-0.09863281
101,0.00982666
102,0.11230469
103,-0.23730469
104,-0.17578125
105,-0.15625
106,-0.19921875
107,-0.27539062
108,-0.55859375
109,-0.009338379
110,-0.15039062
111,-0.04272461
112,-0.03173828
113,-0.32226562
114,0.00022315979
115,-0.18652344
116,0.03930664
117,0.37304688
118,0.29492188
119,0.10888672
120,0.022583008
121,0.06640625
122,0.12890625
123,-0.16894531
124,-0.07910156
125,-0.15429688
126,-0.37109375
127,-0.22167969
128,-0.33984375
129,0.18945312
130,-0.12060547
131,-0.076660156
132,-0.119140625
133,-0.17089844
134,0.008422852
135,-0.16601562
136,-0.049804688
137,-0.13574219
138,0.13085938
139,-0.034179688
140,-0.02734375
141,0.10253906
142,0.36328125
143,-0.16699219
144,0.23046875
145,-0.1953125
146,0.0024261475
147,-0.052734375
148,0.2109375
149,0.15234375
150,0.24023438
151,-0.25390625
152,0.12695312
153,-0.09765625
154,-0.016967773
155,-0.2734375
156,-0.092285156
157,0.016479492
158,-0.064941406
159,0.23632812
160,-0.39453125
161,0.15527344
162,0.15527344
163,-0.11279297
164,0.17675781
165,-0.123535156
166,0.013793945
167,0.107421875
168,0.29101562
169,0.16113281
170,-0.11425781
171,0.12451172
172,-0.076171875
173,-0.08154297
174,0.13085938
175,-0.110839844
176,0.3203125
177,0.00046730042
178,-0.083984375
179,-0.32421875
180,-0.22558594
181,0.0073242188
182,-0.19921875
183,-0.21777344
184,-0.07861328
185,-0.20703125
186,0.2578125
187,-0.08251953
188,-0.111816406
189,0.23339844
190,0.11035156
191,0.22949219
192,-0.044433594
193,-0.30273438
194,-0.28710938
195,0.31445312
196,0.2265625
197,-0.052246094
198,0.17578125
199,-0.06591797
200,-0.00793457
201,-0.099609375
202,-0.16015625
203,-0.13476562
204,-0.09326172
205,-0.08642578
206,0.06347656
207,-0.21484375
208,0.20117188
209,0.0546875
210,-0.0060424805
211,0.12060547
212,-0.08300781
213,0.21484375
214,0.00017261505
215,0.01940918
216,-0.2265625
217,0.0048217773
218,-0.1015625
219,-0.27929688
220,0.060302734
221,-0.25390625
222,0.064453125
223,-0.091308594
224,-0.24609375
225,-0.13574219
226,0.11621094
227,0.053955078
228,0.32617188
229,-0.10839844
230,0.021484375
231,-0.06933594
232,-0.035888672
233,-0.109375
234,0.0625
235,-0.060058594
236,-0.13867188
237,-0.17578125
238,-0.030883789
239,-0.22070312
240,0.4296875
241,-0.18652344
242,-0.13183594
243,0.13964844
244,-0.083984375
245,0.3203125
246,-0.118652344
247,-0.18457031
248,-0.13671875
249,0.057128906
250,-0.03930664
251,-0.29296875
252,-0.24902344
253,0.007659912
254,0.43945312
255,-0.14257812
256,0.34570312
257,-0.16503906
258,0.30273438
259,-0.034423828
260,0.19433594
261,0.06982422
262,-0.045166016
263,0.2890625
264,0.11376953
265,0.1875
266,-0.23632812
267,-0.068847656
268,-0.18847656
269,-0.11230469
270,0.095214844
271,0.07373047
272,-0.11035156
273,0.04638672
274,0.029418945
275,0.052734375
276,0.19140625
277,-0.060058594
278,-0.21582031
279,-0.1640625
280,-0.12109375
281,0.22851562
282,0.11669922
283,0.11669922
284,0.12597656
285,-0.13671875
286,-0.122558594
287,-0.045654297
288,0.16992188
289,-0.068359375
290,-0.15917969
291,0.23632812
292,-0.23535156
293,-0.13769531
294,-0.22070312
295,-0.055664062
296,-0.24707031
297,-0.012634277
298,-0.07080078
299,0.09863281
