,Portugal
0,0.106933594
1,-0.048095703
2,0.1484375
3,0.15820312
4,-0.030883789
5,-0.20214844
6,-0.12792969
7,-0.37890625
8,-0.17089844
9,-0.11328125
10,-0.020874023
11,-0.11328125
12,0.12158203
13,-0.052001953
14,0.055419922
15,0.14941406
16,0.115722656
17,0.00680542
18,0.08300781
19,0.20703125
20,0.47265625
21,-0.09423828
22,0.11425781
23,0.04736328
24,0.14550781
25,0.092285156
26,-0.0390625
27,-0.16992188
28,0.02331543
29,0.1015625
30,-0.15527344
31,0.042236328
32,0.045654297
33,-0.22460938
34,-0.21582031
35,-0.0037078857
36,-0.41601562
37,-0.052490234
38,0.10839844
39,0.13183594
40,0.06347656
41,0.05029297
42,0.17382812
43,0.15234375
44,0.06591797
45,0.0703125
46,-0.15917969
47,0.06542969
48,-0.083496094
49,0.010009766
50,-0.15527344
51,0.42578125
52,-0.012023926
53,-0.08544922
54,-0.122558594
55,0.23144531
56,-0.34960938
57,0.103515625
58,-0.16503906
59,0.01940918
60,-0.10205078
61,0.052978516
62,-0.057373047
63,-0.20800781
64,0.13769531
65,-0.25390625
66,0.29882812
67,-0.30078125
68,-0.107421875
69,0.019042969
70,-0.08642578
71,-0.16699219
72,0.15917969
73,0.16308594
74,0.17675781
75,0.099609375
76,0.23828125
77,-0.06201172
78,0.055664062
79,0.16210938
80,-0.118652344
81,-0.10546875
82,-0.19335938
83,-0.014953613
84,0.28125
85,-0.091308594
86,-0.19238281
87,-0.014221191
88,0.23730469
89,0.008728027
90,0.32617188
91,-0.20410156
92,-0.56640625
93,0.34960938
94,-0.032470703
95,-0.34179688
96,0.03955078
97,-0.40625
98,0.33789062
99,0.328125
100,-0.19042969
101,-0.022949219
102,-0.05810547
103,0.18164062
104,-0.000957489
105,0.13183594
106,0.09667969
107,-0.38867188
108,-0.10058594
109,-0.17578125
110,0.09326172
111,0.17675781
112,0.37304688
113,-0.17675781
114,-0.064941406
115,0.04638672
116,-0.11230469
117,-0.2265625
118,0.38671875
119,0.20996094
120,0.06542969
121,-0.22949219
122,0.0014648438
123,-0.078125
124,0.01586914
125,0.013916016
126,0.049316406
127,0.0071411133
128,-0.66796875
129,0.12597656
130,-0.067871094
131,-0.115722656
132,-0.11767578
133,-0.24121094
134,0.026123047
135,-0.23046875
136,-0.24121094
137,0.16113281
138,0.12597656
139,-0.03466797
140,0.15234375
141,-0.13671875
142,-0.007232666
143,0.03881836
144,0.1796875
145,0.06933594
146,-0.24511719
147,0.055419922
148,-0.060546875
149,-0.11279297
150,0.002670288
151,-0.035888672
152,0.03930664
153,-0.13476562
154,0.23925781
155,-0.26953125
156,-0.5625
157,0.07128906
158,-0.072753906
159,0.087890625
160,0.26171875
161,0.18066406
162,-0.024658203
163,0.11035156
164,0.3203125
165,-0.07861328
166,-0.068359375
167,0.21386719
168,-0.0078125
169,0.12792969
170,-0.17480469
171,0.18945312
172,0.1796875
173,-0.048339844
174,-0.31835938
175,-0.18359375
176,0.032226562
177,-0.078125
178,-0.080078125
179,0.083496094
180,-0.056396484
181,-0.1953125
182,-0.16699219
183,0.059326172
184,0.3046875
185,0.072753906
186,0.15625
187,-0.21582031
188,0.009521484
189,0.08544922
190,0.018310547
191,-0.12207031
192,-0.13574219
193,-0.31054688
194,0.039794922
195,0.35546875
196,0.20800781
197,0.09082031
198,-0.18261719
199,-0.26171875
200,0.039794922
201,0.06640625
202,-0.16992188
203,-0.21875
204,0.20800781
205,-0.048828125
206,-0.0011291504
207,-0.18457031
208,0.017578125
209,-0.34179688
210,-0.13183594
211,-0.28125
212,-0.08300781
213,0.22558594
214,-0.17089844
215,-0.18554688
216,0.29492188
217,-0.21972656
218,-0.29296875
219,-0.19824219
220,-0.09667969
221,-0.08984375
222,-0.16992188
223,0.021972656
224,-0.33007812
225,-0.053466797
226,0.33007812
227,-0.016601562
228,0.32617188
229,-0.115234375
230,-0.19433594
231,-0.068359375
232,0.04272461
233,0.14648438
234,0.040771484
235,0.15332031
236,-0.13769531
237,0.049316406
238,-0.15625
239,-0.079589844
240,0.033447266
241,-0.21777344
242,0.10644531
243,0.18066406
244,-0.006134033
245,-0.15625
246,-0.23828125
247,-0.15039062
248,0.08935547
249,0.16503906
250,-0.025268555
251,0.095214844
252,-0.075683594
253,0.23339844
254,0.029907227
255,-0.025878906
256,0.18847656
257,0.057617188
258,0.057861328
259,0.018188477
260,0.11328125
261,0.22363281
262,0.17382812
263,0.25976562
264,0.3046875
265,0.083984375
266,-0.31835938
267,-0.33398438
268,0.03173828
269,-0.13867188
270,-0.25585938
271,0.16308594
272,0.22949219
273,0.08203125
274,0.15625
275,-0.15234375
276,-0.018310547
277,-0.11376953
278,-0.071777344
279,0.028442383
280,-0.3359375
281,-0.14160156
282,0.26171875
283,-0.059326172
284,-0.30273438
285,-0.15234375
286,-0.02758789
287,0.04248047
288,-0.08642578
289,0.20605469
290,0.28320312
291,0.171875
292,0.011474609
293,0.17578125
294,-0.06591797
295,0.25585938
296,0.0076904297
297,-0.02722168
298,-0.08154297
299,0.045654297
