,Gambia
0,-0.07519531
1,-0.09033203
2,0.1484375
3,-0.059570312
4,-0.025756836
5,-0.14648438
6,-0.26953125
7,-0.06738281
8,-0.3984375
9,-0.063964844
10,0.080078125
11,-0.01928711
12,-0.21191406
13,0.13769531
14,0.38867188
15,0.203125
16,-0.30078125
17,-0.0079956055
18,-0.095214844
19,0.18359375
20,0.24609375
21,-0.25390625
22,0.059326172
23,0.140625
24,0.19140625
25,0.111328125
26,0.2734375
27,-0.28125
28,0.08935547
29,0.15332031
30,-0.26171875
31,-0.41601562
32,0.061035156
33,0.01373291
34,0.021728516
35,-0.05517578
36,-0.13867188
37,-0.119140625
38,-0.0019073486
39,-0.08984375
40,-0.001739502
41,0.15527344
42,-0.29882812
43,0.3125
44,0.16503906
45,-0.04638672
46,-0.33007812
47,-0.08154297
48,-0.10644531
49,0.049072266
50,0.06542969
51,-0.26953125
52,0.15820312
53,-0.09375
54,-0.03466797
55,0.03515625
56,-0.62109375
57,0.16992188
58,-0.09277344
59,-0.15332031
60,0.123535156
61,-0.075683594
62,-0.0010299683
63,0.09033203
64,0.20800781
65,-0.38476562
66,0.0070495605
67,-0.095214844
68,-0.28320312
69,0.010681152
70,-0.31640625
71,-0.14160156
72,0.10449219
73,-0.07519531
74,0.041259766
75,-0.13671875
76,0.103515625
77,-0.015197754
78,0.046875
79,-0.015380859
80,-0.57421875
81,-0.17382812
82,0.11328125
83,0.07421875
84,-0.16601562
85,-0.12890625
86,-0.00034332275
87,-0.103027344
88,0.15429688
89,0.140625
90,0.23046875
91,-0.118652344
92,-0.30664062
93,-0.15527344
94,0.2578125
95,-0.04736328
96,0.3828125
97,-0.014038086
98,0.32421875
99,0.030151367
100,0.0625
101,0.125
102,-0.08300781
103,-0.15625
104,-0.08300781
105,0.25
106,0.15429688
107,-0.36132812
108,0.01953125
109,0.06225586
110,-0.24414062
111,0.06640625
112,-0.20996094
113,0.099609375
114,0.06689453
115,-0.072753906
116,0.16699219
117,0.016113281
118,0.1640625
119,0.0024719238
120,0.10253906
121,-0.20410156
122,-0.33203125
123,-0.16210938
124,-0.14257812
125,0.19140625
126,-0.42773438
127,0.024047852
128,-0.51953125
129,0.095703125
130,0.076171875
131,0.2421875
132,-0.12695312
133,-0.10253906
134,-0.11376953
135,-0.024780273
136,-0.24121094
137,0.053222656
138,-0.06298828
139,-0.03540039
140,0.16796875
141,0.09326172
142,-0.07763672
143,-0.11035156
144,-0.07714844
145,0.28710938
146,-0.048828125
147,0.0107421875
148,0.26367188
149,-0.15039062
150,0.071777344
151,-0.19238281
152,-0.31445312
153,0.111328125
154,0.21875
155,-0.1875
156,-0.26171875
157,0.18261719
158,-0.023803711
159,-0.036621094
160,-0.453125
161,0.084472656
162,0.23925781
163,-0.11230469
164,0.06225586
165,-0.22949219
166,0.049072266
167,0.008300781
168,-0.07714844
169,0.042236328
170,0.15722656
171,0.20214844
172,-0.10449219
173,-0.17285156
174,-0.16210938
175,-0.23144531
176,0.22167969
177,-0.5625
178,0.17480469
179,-0.16601562
180,-0.22265625
181,-0.35351562
182,0.06542969
183,-0.21191406
184,-0.20703125
185,0.052246094
186,0.014343262
187,-0.328125
188,0.014953613
189,0.359375
190,-0.17480469
191,-0.13867188
192,-0.036376953
193,0.0065307617
194,0.028076172
195,0.46875
196,0.15429688
197,0.1796875
198,-0.1796875
199,-0.1484375
200,-0.0028381348
201,-0.034179688
202,0.12451172
203,-0.24023438
204,0.123535156
205,-0.13378906
206,0.05126953
207,0.11621094
208,-0.16992188
209,-0.05078125
210,0.12011719
211,-0.125
212,-0.16503906
213,0.171875
214,-0.064941406
215,-0.043945312
216,0.052978516
217,-0.10107422
218,-0.13964844
219,-0.0390625
220,-0.20507812
221,-0.11425781
222,0.003479004
223,0.046875
224,0.01965332
225,0.21289062
226,0.22851562
227,0.087402344
228,0.21679688
229,0.040039062
230,0.15039062
231,0.016113281
232,0.21191406
233,-0.34179688
234,-0.10546875
235,0.44726562
236,0.107910156
237,0.33007812
238,-0.042236328
239,0.122558594
240,0.08496094
241,-0.1796875
242,-0.049804688
243,0.029052734
244,-0.022094727
245,-0.057373047
246,-0.49804688
247,-0.04272461
248,0.061767578
249,-0.020141602
250,0.33789062
251,0.19140625
252,0.19824219
253,0.030029297
254,0.11425781
255,0.06933594
256,-0.19628906
257,-0.032958984
258,-0.052001953
259,0.06738281
260,0.25195312
261,0.21972656
262,-0.029785156
263,0.25
264,0.25
265,0.21777344
266,-0.5546875
267,-0.118652344
268,-0.08642578
269,0.17578125
270,-0.104003906
271,0.15234375
272,0.12695312
273,0.095703125
274,0.17285156
275,0.056640625
276,0.06542969
277,-0.18164062
278,-0.2578125
279,0.0053710938
280,-0.10546875
281,-0.45898438
282,0.22558594
283,-0.079589844
284,-0.009338379
285,-0.08935547
286,-0.20214844
287,0.012573242
288,-0.03125
289,0.115234375
290,-0.092285156
291,0.025146484
292,-0.29101562
293,-0.15234375
294,-0.122558594
295,0.20410156
296,-0.28125
297,-0.19335938
298,-0.029174805
299,0.09326172
