,Sri_Lanka
0,-0.041015625
1,0.05126953
2,0.052246094
3,0.20214844
4,-0.103027344
5,-0.12597656
6,-0.09082031
7,-0.46679688
8,-0.234375
9,-0.08886719
10,-0.052734375
11,-0.15039062
12,0.390625
13,0.012084961
14,0.18652344
15,-0.049560547
16,-0.20117188
17,-0.08691406
18,-0.0119018555
19,0.16503906
20,0.22753906
21,-0.171875
22,0.091308594
23,-0.15722656
24,0.2578125
25,0.106933594
26,-0.09277344
27,0.14453125
28,0.12011719
29,0.08544922
30,-0.11376953
31,-0.20019531
32,-0.53125
33,0.0046081543
34,-0.016235352
35,0.20703125
36,-0.4296875
37,0.22851562
38,0.35351562
39,-0.2578125
40,0.075683594
41,0.24707031
42,0.30078125
43,0.27929688
44,-0.037841797
45,0.096191406
46,-0.16015625
47,0.036621094
48,0.09423828
49,0.022338867
50,0.1484375
51,0.19726562
52,-0.107421875
53,-0.11425781
54,-0.25585938
55,-0.18457031
56,-0.23828125
57,-0.12597656
58,-0.19921875
59,-0.14160156
60,-0.21484375
61,0.048095703
62,-0.079589844
63,0.075683594
64,0.24023438
65,-0.04248047
66,0.08984375
67,0.061035156
68,0.265625
69,0.08984375
70,-0.23632812
71,0.0067749023
72,0.0007286072
73,-0.16210938
74,-0.109375
75,-0.40625
76,0.03125
77,-0.1015625
78,-0.13378906
79,0.13867188
80,-0.24707031
81,0.25585938
82,-0.15136719
83,0.15527344
84,-0.11621094
85,-0.07470703
86,-0.023803711
87,-0.13964844
88,0.028686523
89,0.0036621094
90,0.28125
91,0.10644531
92,-0.25
93,0.060302734
94,-0.26953125
95,0.103027344
96,0.36914062
97,-0.18847656
98,0.22753906
99,0.10107422
100,-0.13769531
101,0.14550781
102,-0.08300781
103,0.036865234
104,0.07128906
105,0.13378906
106,0.15820312
107,-0.052978516
108,-0.0037231445
109,0.23339844
110,-0.19042969
111,0.052978516
112,0.07763672
113,-0.056884766
114,0.22753906
115,-0.025024414
116,-0.29492188
117,-0.064453125
118,0.50390625
119,0.063964844
120,-0.045166016
121,0.31445312
122,0.080566406
123,0.107421875
124,-0.5625
125,0.5234375
126,0.08642578
127,0.064453125
128,-0.46484375
129,0.13964844
130,0.0859375
131,0.053466797
132,-0.15722656
133,-0.12597656
134,-0.3125
135,-0.18261719
136,-0.24707031
137,0.038330078
138,0.018920898
139,-0.13867188
140,0.21484375
141,-0.10546875
142,0.21289062
143,0.16992188
144,-0.29296875
145,0.079589844
146,-0.099121094
147,0.030029297
148,0.09423828
149,0.1875
150,0.107910156
151,-0.45507812
152,-0.078125
153,-0.17871094
154,0.076660156
155,-0.50390625
156,-0.18847656
157,-0.064453125
158,0.033935547
159,0.0625
160,-0.2265625
161,-0.11230469
162,-0.14941406
163,-0.13574219
164,-0.080566406
165,-0.51953125
166,0.06225586
167,0.068847656
168,0.036132812
169,0.33203125
170,-0.25
171,0.45117188
172,-0.018920898
173,-0.23339844
174,-0.19726562
175,-0.30078125
176,0.19824219
177,-0.13964844
178,-0.29882812
179,-0.3828125
180,0.037353516
181,-0.07080078
182,-0.27929688
183,-0.11230469
184,-0.15820312
185,-0.07910156
186,0.296875
187,-0.27734375
188,0.37109375
189,0.003112793
190,-0.20117188
191,-0.26953125
192,-0.22851562
193,-0.119628906
194,0.20214844
195,0.25976562
196,0.2421875
197,0.021362305
198,0.095703125
199,-0.17285156
200,0.23242188
201,-0.052490234
202,-0.041503906
203,-0.25195312
204,-0.055908203
205,0.12597656
206,-0.068359375
207,-0.22363281
208,0.18945312
209,-0.18457031
210,-0.21386719
211,0.088378906
212,-0.067871094
213,-0.021240234
214,-0.040039062
215,0.10449219
216,-0.11767578
217,0.07714844
218,-0.23339844
219,-0.13769531
220,0.03149414
221,-0.091308594
222,-0.28515625
223,-0.111328125
224,-0.01928711
225,0.0017471313
226,0.09082031
227,-0.24023438
228,0.30273438
229,-0.17285156
230,-0.20117188
231,0.114746094
232,0.35742188
233,0.018798828
234,0.087402344
235,0.123535156
236,0.15625
237,0.36328125
238,0.13964844
239,0.057373047
240,0.27929688
241,0.04321289
242,0.15332031
243,-0.13769531
244,-0.11669922
245,-0.04296875
246,-0.15429688
247,-0.09814453
248,0.25585938
249,-0.24414062
250,-0.10253906
251,-0.05102539
252,-0.064941406
253,0.083496094
254,0.05883789
255,-0.08251953
256,0.23339844
257,0.05517578
258,0.29882812
259,-0.14550781
260,0.16601562
261,0.36523438
262,0.34765625
263,0.056152344
264,0.15722656
265,-0.18945312
266,-0.39648438
267,-0.123535156
268,0.02355957
269,-0.3359375
270,-0.0115356445
271,0.072753906
272,0.33007812
273,0.16601562
274,0.25
275,-0.22753906
276,0.15136719
277,0.080078125
278,-0.09033203
279,-0.20410156
280,-0.15722656
281,-0.25585938
282,0.079589844
283,0.17773438
284,0.0703125
285,-0.11669922
286,-0.05053711
287,0.12792969
288,-0.09716797
289,0.3046875
290,-0.080078125
291,-0.0095825195
292,-0.08300781
293,-0.05810547
294,-0.05908203
295,0.024291992
296,-0.29101562
297,0.13964844
298,-0.1484375
299,0.07373047
