,Argentina
0,0.030517578
1,-0.010253906
2,0.234375
3,0.10839844
4,0.06640625
5,-0.2421875
6,-0.1015625
7,-0.19921875
8,-0.084472656
9,-0.00042152405
10,0.14160156
11,-0.0027313232
12,0.19628906
13,-0.02722168
14,0.08203125
15,0.09033203
16,0.16699219
17,0.30859375
18,0.14160156
19,0.114746094
20,0.296875
21,-0.2578125
22,-0.053466797
23,0.044433594
24,0.055664062
25,-0.0037994385
26,-0.088378906
27,-0.390625
28,-0.12695312
29,0.15234375
30,0.15429688
31,0.029052734
32,-0.23144531
33,-0.08300781
34,0.032958984
35,0.17578125
36,-0.2109375
37,-0.0039978027
38,0.18554688
39,0.025024414
40,0.23144531
41,0.11035156
42,0.23925781
43,0.05029297
44,-0.063964844
45,0.30078125
46,0.14941406
47,-0.080566406
48,-0.11621094
49,0.26757812
50,-0.30273438
51,0.09716797
52,-0.055664062
53,0.004058838
54,-0.047607422
55,0.43164062
56,-0.4375
57,-0.13476562
58,-0.123535156
59,0.125
60,-0.12402344
61,0.028320312
62,-0.21484375
63,-0.140625
64,-0.02319336
65,-0.031982422
66,0.328125
67,-0.22949219
68,0.30078125
69,-0.24414062
70,-0.19628906
71,-0.16308594
72,0.07714844
73,-0.057617188
74,0.076171875
75,0.10888672
76,0.10253906
77,-0.10449219
78,-0.15917969
79,0.27148438
80,-0.22070312
81,0.010070801
82,0.025756836
83,-0.2578125
84,0.07763672
85,-0.28710938
86,-0.080566406
87,0.07910156
88,0.055419922
89,0.033447266
90,0.19140625
91,0.04663086
92,-0.36132812
93,0.14355469
94,-0.1640625
95,-0.265625
96,-0.079589844
97,-0.28320312
98,0.21289062
99,0.04321289
100,-0.20214844
101,0.064453125
102,-0.095214844
103,0.111328125
104,0.17578125
105,-0.0007362366
106,0.125
107,-0.27734375
108,-0.24804688
109,-0.05102539
110,0.15234375
111,-0.091308594
112,0.21191406
113,-0.06298828
114,0.028808594
115,0.31054688
116,-0.061767578
117,-0.05444336
118,0.34179688
119,0.1015625
120,0.0115356445
121,-0.49414062
122,-0.15722656
123,-0.014465332
124,-0.05859375
125,0.072265625
126,0.055419922
127,-0.037109375
128,-0.44140625
129,0.234375
130,-0.23730469
131,0.171875
132,-0.125
133,-0.014099121
134,0.060302734
135,-0.15039062
136,-0.19238281
137,0.068847656
138,-0.06591797
139,0.016357422
140,-0.0061035156
141,-0.36523438
142,0.10498047
143,0.20214844
144,0.20800781
145,0.122558594
146,-0.083496094
147,0.140625
148,-0.010681152
149,0.023925781
150,0.34765625
151,-0.19238281
152,-0.15234375
153,-0.07714844
154,0.09326172
155,-0.14257812
156,-0.44726562
157,0.13769531
158,0.14355469
159,0.17285156
160,0.24121094
161,0.33789062
162,0.09814453
163,0.037109375
164,0.27929688
165,-0.036621094
166,-0.033691406
167,0.111328125
168,-0.043701172
169,-0.052490234
170,-0.3671875
171,0.33203125
172,0.13867188
173,-0.07470703
174,-0.0069885254
175,-0.28710938
176,-0.0043029785
177,-0.20898438
178,-0.038085938
179,0.10546875
180,-0.100097656
181,-0.43554688
182,-0.20800781
183,0.003112793
184,0.14941406
185,-0.044921875
186,0.012878418
187,-0.008117676
188,-0.044189453
189,0.2109375
190,-0.09033203
191,-0.099609375
192,0.13476562
193,-0.049804688
194,0.17285156
195,0.33398438
196,0.023925781
197,-0.003616333
198,-0.265625
199,-0.28125
200,0.09667969
201,0.024047852
202,-0.32617188
203,-0.19042969
204,0.083984375
205,0.040039062
206,-0.10449219
207,-0.08300781
208,-0.1796875
209,-0.25585938
210,0.010131836
211,0.072265625
212,-0.059570312
213,0.20507812
214,-0.19726562
215,-0.14746094
216,0.04272461
217,-0.020385742
218,-0.29296875
219,-0.24023438
220,-0.32226562
221,-0.06933594
222,-0.099609375
223,-0.052246094
224,-0.15039062
225,0.2109375
226,0.17578125
227,0.17675781
228,0.103027344
229,0.095703125
230,-0.17871094
231,0.10888672
232,0.13378906
233,0.23144531
234,0.00049972534
235,-0.13671875
236,-0.08496094
237,0.17480469
238,-0.025146484
239,-0.071777344
240,0.06933594
241,-0.11621094
242,0.06347656
243,0.16113281
244,-0.24414062
245,0.072265625
246,-0.20507812
247,-0.25976562
248,-0.14257812
249,0.11328125
250,0.09375
251,0.095703125
252,0.16503906
253,-0.15527344
254,0.22070312
255,0.20410156
256,0.16210938
257,-0.01361084
258,-0.04321289
259,-0.08154297
260,0.23046875
261,0.23535156
262,0.083984375
263,0.20019531
264,0.40820312
265,-0.1796875
266,-0.36328125
267,-0.053710938
268,0.051757812
269,0.024658203
270,-0.28125
271,0.13574219
272,0.07910156
273,-0.2578125
274,0.20507812
275,0.18359375
276,-0.1484375
277,0.04345703
278,0.03955078
279,-0.08886719
280,0.014221191
281,-0.027954102
282,0.2578125
283,-0.109375
284,-0.13671875
285,0.23144531
286,0.013427734
287,0.038085938
288,0.0859375
289,0.12988281
290,0.14941406
291,-0.008239746
292,-0.12158203
293,-0.048095703
294,0.110839844
295,0.29296875
296,0.025024414
297,-0.10546875
298,0.08642578
299,-0.11621094
