,Pitcairn_Islands
0,0.068359375
1,-0.21386719
2,-0.022583008
3,-0.007232666
4,0.0047302246
5,-0.14550781
6,-0.23046875
7,-0.0021972656
8,0.14355469
9,0.26953125
10,0.171875
11,-0.026611328
12,0.05078125
13,-0.0038757324
14,0.14355469
15,0.029296875
16,-0.13085938
17,0.109375
18,0.0012664795
19,0.17480469
20,-0.056884766
21,0.020874023
22,-0.011352539
23,-0.06542969
24,0.08642578
25,-0.26953125
26,-0.11230469
27,0.15429688
28,-0.08300781
29,-0.110839844
30,0.10449219
31,0.043945312
32,-0.3984375
33,0.053710938
34,0.14550781
35,-0.036865234
36,-0.19238281
37,-0.056152344
38,-0.16308594
39,0.12109375
40,-0.15527344
41,-0.0007972717
42,-0.22460938
43,0.20410156
44,0.009033203
45,0.041992188
46,-0.0056762695
47,0.10839844
48,-0.26367188
49,-0.087402344
50,-0.08935547
51,-0.08984375
52,0.109375
53,-0.068359375
54,-0.057617188
55,0.04321289
56,-0.33203125
57,-0.26953125
58,-0.031982422
59,-0.061279297
60,-0.020629883
61,-0.030029297
62,0.061035156
63,-0.15234375
64,0.05419922
65,-0.19433594
66,-0.13574219
67,-0.099609375
68,-0.106933594
69,-0.08154297
70,-0.03540039
71,-0.07324219
72,-0.09423828
73,-0.008178711
74,-0.008605957
75,-0.20507812
76,-0.15039062
77,0.07324219
78,0.0020141602
79,0.055419922
80,0.03491211
81,-0.25195312
82,0.09082031
83,0.006652832
84,-0.07519531
85,-0.057861328
86,-0.14257812
87,-0.028442383
88,-0.019165039
89,0.008117676
90,0.046875
91,-0.09765625
92,-0.107421875
93,-0.021240234
94,0.079589844
95,0.19628906
96,0.14453125
97,-0.19726562
98,0.19140625
99,-0.09765625
100,0.19726562
101,0.23144531
102,0.045898438
103,0.2890625
104,0.11816406
105,-0.05517578
106,0.003967285
107,0.10888672
108,0.10644531
109,0.13769531
110,0.076171875
111,0.05126953
112,0.01159668
113,0.0037231445
114,0.1484375
115,-0.059814453
116,0.014282227
117,-0.052001953
118,0.103515625
119,0.16894531
120,-0.22851562
121,0.125
122,0.09082031
123,0.23339844
124,-0.015991211
125,0.022583008
126,-0.0390625
127,-0.053222656
128,-0.08496094
129,0.0013809204
130,0.023071289
131,-0.015258789
132,-0.06689453
133,0.28515625
134,-0.010620117
135,-0.009155273
136,-0.28515625
137,-0.06542969
138,0.19824219
139,0.27539062
140,0.0021362305
141,-0.076171875
142,0.12109375
143,0.18261719
144,0.10253906
145,0.049316406
146,0.052490234
147,0.044677734
148,-0.122558594
149,0.16015625
150,0.27148438
151,-0.104003906
152,-0.14941406
153,-0.016235352
154,0.18164062
155,-0.24316406
156,-0.024780273
157,-0.0154418945
158,0.14648438
159,-0.09472656
160,-0.061279297
161,0.10449219
162,0.3125
163,-0.09033203
164,0.04345703
165,-0.046875
166,0.25390625
167,0.0065612793
168,-0.33984375
169,0.24804688
170,0.21386719
171,0.18164062
172,0.32226562
173,-0.01184082
174,0.10498047
175,-0.059814453
176,-0.23925781
177,0.10595703
178,0.007537842
179,0.06689453
180,-0.15332031
181,-0.2578125
182,-0.28320312
183,-0.071777344
184,-0.107421875
185,0.15917969
186,0.14160156
187,-0.04736328
188,0.0073242188
189,-0.037597656
190,-0.020629883
191,-0.15722656
192,-0.122558594
193,0.00592041
194,-0.0703125
195,0.25976562
196,0.13183594
197,-0.06933594
198,0.096191406
199,-0.021362305
200,0.33398438
201,-0.20800781
202,0.14648438
203,-0.0008125305
204,0.16503906
205,0.21386719
206,0.08105469
207,-0.012878418
208,-0.106933594
209,-0.13085938
210,0.018188477
211,-0.037109375
212,0.040039062
213,0.0018539429
214,-0.08984375
215,-0.018310547
216,-0.020874023
217,-0.14355469
218,0.16503906
219,0.13671875
220,0.1171875
221,-0.0031280518
222,-0.11230469
223,0.053466797
224,-0.22949219
225,-0.0013885498
226,0.25
227,0.12451172
228,0.061767578
229,0.10986328
230,-0.09667969
231,-0.107910156
232,-0.0099487305
233,-0.02331543
234,0.13378906
235,0.0072021484
236,0.09082031
237,-0.10253906
238,0.19042969
239,0.05883789
240,0.15917969
241,-0.19824219
242,0.21875
243,-0.15722656
244,0.088378906
245,-0.020629883
246,0.050048828
247,0.23339844
248,0.09375
249,0.049072266
250,-0.20996094
251,-0.13867188
252,0.078125
253,0.16601562
254,0.092285156
255,-0.06738281
256,0.119140625
257,-0.18261719
258,0.15234375
259,-0.0390625
260,0.19921875
261,-0.13769531
262,-0.012268066
263,0.09472656
264,-0.09375
265,-0.02746582
266,-0.25976562
267,0.106933594
268,-0.017578125
269,-0.12011719
270,-0.29101562
271,0.05078125
272,-0.008361816
273,0.109375
274,0.08544922
275,0.08251953
276,-0.10498047
277,-0.028808594
278,-0.017944336
279,-0.014831543
280,0.075683594
281,0.057617188
282,0.13085938
283,-0.09033203
284,0.1640625
285,-0.20507812
286,0.04296875
287,-0.04272461
288,0.011047363
289,0.21191406
290,0.12792969
291,-0.09423828
292,-0.13574219
293,0.10253906
294,-0.0013198853
295,0.0703125
296,-0.17089844
297,-0.05859375
298,0.23144531
299,0.039794922
