,Libya
0,-0.06542969
1,0.13183594
2,0.09667969
3,0.20507812
4,-0.46484375
5,0.017578125
6,-0.20019531
7,-0.30859375
8,0.017089844
9,-0.032958984
10,0.02734375
11,-0.07910156
12,0.12011719
13,0.10644531
14,0.01586914
15,0.22460938
16,0.10839844
17,-0.051757812
18,0.04248047
19,-0.18847656
20,0.05029297
21,-0.23730469
22,0.6015625
23,0.08203125
24,0.14355469
25,0.34375
26,0.063964844
27,0.11816406
28,0.41601562
29,-0.059814453
30,0.06542969
31,-0.21386719
32,-0.41015625
33,0.12792969
34,-0.15332031
35,0.15332031
36,0.06591797
37,0.18359375
38,-0.07324219
39,0.21386719
40,0.20898438
41,0.22265625
42,0.036132812
43,0.048095703
44,0.38476562
45,0.15234375
46,-0.20800781
47,0.3046875
48,0.09082031
49,-0.14941406
50,-0.122558594
51,-0.14648438
52,-0.107421875
53,0.20410156
54,-0.107421875
55,-0.26757812
56,-0.23632812
57,-0.07763672
58,-0.23632812
59,-0.39257812
60,-0.03857422
61,0.107910156
62,0.06738281
63,-0.09814453
64,-0.13964844
65,-0.29492188
66,-0.21875
67,-0.265625
68,0.21972656
69,-0.22363281
70,-0.31835938
71,-0.083984375
72,0.19433594
73,-0.041992188
74,-0.12890625
75,-0.42578125
76,0.27734375
77,0.31835938
78,-0.19824219
79,-0.09033203
80,-0.38671875
81,-0.04736328
82,-0.15039062
83,0.14941406
84,0.43164062
85,-0.118652344
86,-0.2734375
87,-0.023071289
88,0.1640625
89,0.19238281
90,0.0703125
91,0.061767578
92,-0.55078125
93,0.03125
94,-0.024658203
95,-0.3828125
96,0.20605469
97,0.0056152344
98,0.16699219
99,0.096191406
100,-0.34570312
101,0.06982422
102,-0.41992188
103,-0.4765625
104,0.045898438
105,0.296875
106,-0.08105469
107,-0.12988281
108,-0.13574219
109,-0.036376953
110,0.119628906
111,0.26757812
112,0.084472656
113,-0.095214844
114,-0.13964844
115,-0.36328125
116,0.061035156
117,0.37304688
118,0.27539062
119,-0.052001953
120,-0.30273438
121,-0.072753906
122,-0.076171875
123,0.18554688
124,0.091796875
125,-0.11425781
126,-0.390625
127,-0.28320312
128,-0.43945312
129,-0.104003906
130,0.13574219
131,0.08496094
132,-0.04272461
133,0.099121094
134,0.10449219
135,-0.0038604736
136,-0.20507812
137,-0.014038086
138,0.24902344
139,0.2421875
140,0.0546875
141,-0.08642578
142,0.13671875
143,0.123046875
144,0.13769531
145,0.06738281
146,0.22753906
147,0.13867188
148,-0.044677734
149,-0.0138549805
150,0.21484375
151,0.0037231445
152,-0.09375
153,-0.1796875
154,0.017089844
155,-0.07519531
156,0.087402344
157,0.26367188
158,0.09472656
159,0.46289062
160,-0.22558594
161,0.26757812
162,-0.024902344
163,-0.18261719
164,-0.078125
165,-0.015258789
166,-0.080566406
167,0.24121094
168,0.2109375
169,0.28515625
170,0.08691406
171,0.33984375
172,-0.17675781
173,-0.19824219
174,-0.12109375
175,-0.69140625
176,0.1796875
177,-0.37890625
178,0.013305664
179,-0.29296875
180,-0.21679688
181,-0.2890625
182,-0.296875
183,-0.1875
184,0.091308594
185,0.046142578
186,0.35351562
187,-0.1171875
188,-0.15332031
189,-0.13085938
190,-0.2265625
191,0.078125
192,-0.07324219
193,-0.03149414
194,-0.3125
195,0.22167969
196,-0.23339844
197,-0.16503906
198,0.16503906
199,-0.24804688
200,0.0859375
201,-0.23144531
202,-0.12158203
203,-0.110839844
204,-0.014160156
205,-0.096191406
206,-0.15820312
207,-0.16308594
208,0.06933594
209,-0.41796875
210,0.028076172
211,-0.04711914
212,-0.29296875
213,0.10888672
214,-0.12988281
215,0.26953125
216,-0.22460938
217,0.18457031
218,0.037841797
219,-0.33007812
220,-0.21484375
221,-0.1953125
222,0.17089844
223,-0.34570312
224,0.103027344
225,-0.24707031
226,0.32617188
227,0.32421875
228,0.39257812
229,-0.109375
230,0.087402344
231,0.22753906
232,0.20410156
233,-0.095214844
234,-0.037841797
235,0.053710938
236,-0.012573242
237,0.21386719
238,-0.13476562
239,-0.13378906
240,0.24121094
241,-0.053710938
242,-0.20214844
243,-0.024536133
244,-0.029663086
245,-0.07324219
246,-0.27734375
247,-0.13671875
248,-0.23632812
249,-0.17285156
250,-0.13476562
251,-0.19921875
252,-0.05053711
253,0.22753906
254,0.45117188
255,-0.0043945312
256,0.35351562
257,-0.026000977
258,0.045654297
259,-0.096191406
260,-0.32617188
261,0.11328125
262,0.051513672
263,0.2734375
264,0.15332031
265,0.11376953
266,-0.38671875
267,-0.44726562
268,-0.23828125
269,0.16015625
270,-0.037353516
271,0.390625
272,0.25585938
273,-0.3203125
274,0.22167969
275,0.2734375
276,-0.11035156
277,-0.008666992
278,-0.171875
279,-0.12402344
280,-0.11767578
281,0.15136719
282,0.028198242
283,-0.13476562
284,0.25976562
285,-0.18261719
286,-0.033691406
287,0.15234375
288,0.091308594
289,-0.23730469
290,-0.080078125
291,-0.36132812
292,0.10546875
293,-0.19042969
294,0.10839844
295,0.27929688
296,0.07910156
297,0.21484375
298,0.010192871
299,0.087890625
