,North_Korea
0,0.09814453
1,0.34765625
2,0.21875
3,0.29882812
4,-0.18945312
5,-0.20507812
6,-0.21484375
7,-0.036865234
8,-0.095214844
9,0.0031433105
10,-0.021362305
11,-0.08935547
12,0.115234375
13,0.19042969
14,0.11425781
15,0.21972656
16,-0.15625
17,0.35546875
18,0.3046875
19,-0.48046875
20,0.11035156
21,-0.43945312
22,0.079589844
23,0.021484375
24,0.31835938
25,0.18066406
26,-0.041748047
27,-0.12695312
28,0.16894531
29,0.15234375
30,-0.38085938
31,-0.08300781
32,-0.25585938
33,-0.16113281
34,-0.08203125
35,0.053710938
36,0.10546875
37,0.17871094
38,0.18652344
39,0.028320312
40,-0.15039062
41,-0.12792969
42,0.1328125
43,0.080566406
44,-0.111816406
45,0.29296875
46,0.01977539
47,-0.01574707
48,-0.3671875
49,0.053955078
50,-0.021850586
51,-0.15527344
52,-0.32421875
53,-0.10888672
54,-0.15136719
55,0.021362305
56,-0.34375
57,-0.09277344
58,0.34570312
59,-0.21582031
60,0.22851562
61,0.29882812
62,0.017944336
63,0.03515625
64,0.24316406
65,-0.10058594
66,0.25976562
67,-0.11328125
68,0.045654297
69,-0.052001953
70,-0.15625
71,-0.19921875
72,0.4140625
73,-0.122558594
74,0.123535156
75,-0.24609375
76,0.041992188
77,0.34179688
78,0.079589844
79,-0.017211914
80,-0.07763672
81,-0.29882812
82,0.053710938
83,0.31054688
84,0.15234375
85,-0.16308594
86,0.21777344
87,-0.16601562
88,0.31054688
89,-0.013793945
90,-0.23339844
91,-0.09423828
92,-0.37890625
93,0.009033203
94,0.08935547
95,-0.17382812
96,-0.0019683838
97,0.067871094
98,0.020385742
99,0.25390625
100,-0.13183594
101,-0.0019989014
102,0.14453125
103,-0.22949219
104,-0.29492188
105,0.44140625
106,0.025268555
107,-0.26171875
108,-0.15234375
109,0.036865234
110,-0.17382812
111,0.04663086
112,0.18652344
113,0.34179688
114,-0.30273438
115,-0.14453125
116,0.16796875
117,0.10205078
118,0.27539062
119,0.07763672
120,-0.48242188
121,-0.123535156
122,-0.083496094
123,0.28710938
124,-0.19042969
125,0.14453125
126,0.32617188
127,0.053466797
128,-0.625
129,-0.13964844
130,-0.11816406
131,0.38867188
132,0.328125
133,-0.1875
134,-0.2734375
135,-0.06225586
136,0.036132812
137,-0.30859375
138,-0.048583984
139,0.115722656
140,0.05517578
141,-0.0703125
142,0.23925781
143,0.4375
144,-0.19238281
145,0.234375
146,-0.064453125
147,-0.12451172
148,-0.3984375
149,0.13769531
150,0.77734375
151,-0.41601562
152,0.19335938
153,-0.1328125
154,-0.25
155,-0.45117188
156,-0.22851562
157,-0.1875
158,0.2734375
159,0.27539062
160,0.08691406
161,0.21777344
162,0.22460938
163,0.31835938
164,-0.19726562
165,-0.56640625
166,0.16113281
167,0.30078125
168,-0.0034484863
169,0.40234375
170,0.13476562
171,0.45898438
172,0.064453125
173,-0.015014648
174,0.07714844
175,-0.22753906
176,0.19335938
177,0.08251953
178,-0.22070312
179,-0.39453125
180,-0.22949219
181,-0.26367188
182,0.22851562
183,-0.04296875
184,0.30664062
185,0.14160156
186,0.0625
187,0.0078125
188,-0.12451172
189,0.005493164
190,-0.34960938
191,0.13964844
192,-0.06347656
193,-0.3046875
194,-0.21582031
195,-0.03173828
196,0.01928711
197,-0.29492188
198,0.032226562
199,-0.1875
200,0.08203125
201,-0.15234375
202,-0.42382812
203,0.24121094
204,-0.107910156
205,-0.36914062
206,-0.044921875
207,-0.45117188
208,-0.23730469
209,-0.34960938
210,-0.21582031
211,-0.14160156
212,0.050048828
213,0.13867188
214,-0.087890625
215,0.032714844
216,-0.18164062
217,0.37304688
218,-0.25976562
219,-0.17480469
220,-0.052734375
221,0.047607422
222,0.41992188
223,-0.056152344
224,-0.072265625
225,0.055908203
226,0.34765625
227,0.16992188
228,0.21484375
229,-0.37304688
230,-0.34765625
231,0.15625
232,0.08935547
233,0.1328125
234,0.43164062
235,0.040527344
236,-0.30273438
237,0.20703125
238,0.023925781
239,-0.16113281
240,0.16113281
241,-0.3125
242,-0.421875
243,-0.36132812
244,-0.13769531
245,-0.328125
246,-0.43945312
247,-0.27148438
248,-0.107421875
249,-0.40429688
250,-0.28515625
251,-0.21484375
252,0.19238281
253,-0.16699219
254,0.31054688
255,0.041992188
256,0.39453125
257,-0.43554688
258,-0.08154297
259,0.16210938
260,-0.3125
261,-0.026733398
262,0.39453125
263,0.34375
264,0.13574219
265,-0.07910156
266,-0.72265625
267,-0.43359375
268,-0.15625
269,-0.26367188
270,-0.11035156
271,0.52734375
272,0.296875
273,0.03173828
274,0.265625
275,0.28125
276,-0.029541016
277,-0.30273438
278,0.24316406
279,0.05834961
280,-0.07324219
281,0.20703125
282,0.029541016
283,0.03100586
284,0.05908203
285,-0.1328125
286,-0.1796875
287,0.25976562
288,0.110839844
289,0.27734375
290,0.15625
291,0.10888672
292,0.28515625
293,-0.0069885254
294,0.33398438
295,-0.31835938
296,-0.15625
297,-0.09423828
298,-0.075683594
299,0.05419922
