,Benin
0,0.22851562
1,0.21289062
2,-0.10107422
3,0.265625
4,0.022705078
5,-0.15039062
6,-0.20214844
7,-0.16894531
8,-0.33398438
9,-0.08105469
10,0.25
11,0.10205078
12,0.024169922
13,0.04736328
14,0.20703125
15,0.3828125
16,-0.21679688
17,0.012512207
18,-0.21289062
19,0.27929688
20,0.111328125
21,-0.296875
22,0.012390137
23,0.11621094
24,0.32421875
25,-0.0625
26,0.18066406
27,-0.42578125
28,0.15039062
29,0.21289062
30,-0.34570312
31,-0.10205078
32,-0.31835938
33,-0.17773438
34,0.016357422
35,-0.118652344
36,0.076171875
37,-0.021362305
38,-0.1328125
39,-0.14648438
40,-0.20214844
41,0.11328125
42,0.1484375
43,0.47851562
44,0.013549805
45,0.057617188
46,-0.06225586
47,-0.08154297
48,-0.00038909912
49,-0.08496094
50,-0.07714844
51,-0.22070312
52,0.06201172
53,-0.10205078
54,-0.087890625
55,0.375
56,-0.53125
57,-0.084472656
58,-0.053222656
59,-0.16308594
60,0.080566406
61,-0.051513672
62,-0.16894531
63,0.013183594
64,-0.005218506
65,-0.4140625
66,0.052001953
67,-0.017578125
68,-0.12792969
69,-0.067871094
70,-0.078125
71,-0.10058594
72,0.09082031
73,0.044189453
74,-0.12890625
75,0.1484375
76,-0.08544922
77,-0.15527344
78,-0.08300781
79,0.14257812
80,-0.46484375
81,-0.08251953
82,0.048095703
83,-0.31445312
84,-0.009277344
85,0.111816406
86,0.06640625
87,-0.15136719
88,-0.23828125
89,0.15917969
90,0.07373047
91,-0.02722168
92,-0.26953125
93,-0.16503906
94,-0.040771484
95,-0.16601562
96,0.15917969
97,0.0055236816
98,-0.22558594
99,0.29882812
100,0.16503906
101,-0.0004825592
102,0.046142578
103,-0.07080078
104,-0.29296875
105,-0.08496094
106,0.033691406
107,-0.28710938
108,-0.071777344
109,0.05029297
110,-0.09033203
111,0.27734375
112,-0.14746094
113,0.08251953
114,-0.2578125
115,0.011413574
116,0.21289062
117,-0.012145996
118,0.29492188
119,0.0625
120,-0.19335938
121,0.049316406
122,-0.36132812
123,-0.1875
124,0.03112793
125,0.18164062
126,-0.54296875
127,-0.13183594
128,-0.31640625
129,0.14941406
130,-0.084472656
131,0.19726562
132,-0.25976562
133,-0.359375
134,-0.12988281
135,0.03112793
136,-0.4296875
137,-0.040771484
138,-0.080078125
139,0.13769531
140,0.16113281
141,-0.09716797
142,0.064453125
143,-0.08642578
144,0.18359375
145,0.18554688
146,-0.203125
147,-0.21191406
148,0.19140625
149,0.09716797
150,0.064941406
151,-0.140625
152,-0.026611328
153,0.12792969
154,0.42578125
155,-0.26171875
156,-0.23046875
157,0.43164062
158,-0.034423828
159,-0.22363281
160,-0.20117188
161,-0.15234375
162,-0.004425049
163,0.036621094
164,0.18554688
165,-0.12988281
166,-0.17382812
167,0.06640625
168,-0.0859375
169,0.20996094
170,-0.020751953
171,0.55078125
172,-0.21679688
173,0.064453125
174,-0.03930664
175,-0.37109375
176,0.24707031
177,-0.31054688
178,0.13769531
179,-0.36328125
180,0.012939453
181,-0.19042969
182,0.087890625
183,0.045410156
184,-0.06689453
185,0.11669922
186,0.107421875
187,-0.06225586
188,0.03149414
189,0.0859375
190,-0.08935547
191,-0.15136719
192,0.067871094
193,0.041503906
194,-0.08300781
195,0.34765625
196,0.111816406
197,0.16308594
198,-0.11669922
199,-0.13378906
200,0.055419922
201,-0.023803711
202,0.16699219
203,-0.28710938
204,0.31445312
205,0.034179688
206,-0.022460938
207,-0.1328125
208,-0.1796875
209,-0.09863281
210,-0.031982422
211,0.25195312
212,-0.27539062
213,0.076171875
214,-0.04663086
215,0.07910156
216,-0.27148438
217,-0.21679688
218,0.043945312
219,-0.044921875
220,-0.12988281
221,-0.20800781
222,-0.03515625
223,0.15234375
224,0.32226562
225,0.052001953
226,-0.041015625
227,0.20703125
228,0.4296875
229,-0.123535156
230,0.00034332275
231,-0.033935547
232,0.043945312
233,-0.1171875
234,-0.029663086
235,0.1171875
236,-0.028808594
237,0.12988281
238,-0.020629883
239,0.04248047
240,0.31054688
241,-0.115722656
242,0.06298828
243,0.16503906
244,-0.09863281
245,-0.1796875
246,-0.48828125
247,0.048583984
248,-0.20605469
249,-0.48632812
250,0.53515625
251,0.32421875
252,0.20019531
253,0.037109375
254,0.09375
255,0.012268066
256,-0.26171875
257,0.07128906
258,0.080078125
259,0.08154297
260,0.37304688
261,0.059326172
262,0.09716797
263,0.1484375
264,0.09082031
265,0.359375
266,-0.359375
267,-0.22558594
268,-0.21777344
269,0.24902344
270,-0.21777344
271,0.07519531
272,-0.32226562
273,0.0546875
274,0.43164062
275,0.048583984
276,0.06591797
277,0.17285156
278,-0.08154297
279,0.10644531
280,-0.04638672
281,-0.24511719
282,0.07421875
283,-0.12890625
284,-0.033691406
285,-0.22460938
286,-0.068359375
287,-0.010009766
288,-0.15722656
289,-0.18652344
290,-0.16210938
291,0.18066406
292,-0.08691406
293,-0.20996094
294,-0.06542969
295,0.40820312
296,-0.328125
297,-0.1171875
298,-0.24023438
299,-0.03540039
