,Switzerland
0,0.042236328
1,0.061035156
2,0.2734375
3,0.13378906
4,-0.15234375
5,0.095214844
6,-0.023925781
7,-0.43359375
8,0.0625
9,-0.0006980896
10,-0.024902344
11,0.021606445
12,0.14746094
13,-0.11230469
14,-0.12597656
15,0.14550781
16,0.13574219
17,0.2734375
18,-0.19140625
19,0.23046875
20,0.12890625
21,-0.04736328
22,-0.055908203
23,0.07861328
24,0.017211914
25,0.008178711
26,-0.037597656
27,-0.18652344
28,-0.12597656
29,0.025146484
30,0.13867188
31,-0.19238281
32,0.08203125
33,-0.003479004
34,-0.08203125
35,-0.19042969
36,-0.19824219
37,-0.018554688
38,0.17480469
39,-0.041015625
40,0.10449219
41,0.09716797
42,0.00060653687
43,0.026611328
44,0.11230469
45,-0.011291504
46,-0.15625
47,-0.013793945
48,0.17089844
49,0.21679688
50,-0.15917969
51,-0.09716797
52,0.048828125
53,-0.06640625
54,-0.15234375
55,0.04248047
56,-0.33203125
57,-0.028198242
58,-0.26953125
59,-0.16308594
60,-0.09667969
61,-0.14355469
62,0.20507812
63,-0.19335938
64,-0.078125
65,-0.16015625
66,0.21289062
67,-0.18164062
68,-0.10058594
69,0.115722656
70,-0.14160156
71,-0.004425049
72,0.2734375
73,0.078125
74,0.123535156
75,-0.0068969727
76,0.028564453
77,-0.030761719
78,0.18554688
79,0.057373047
80,-0.171875
81,-0.32421875
82,0.046875
83,-0.27539062
84,0.060791016
85,-0.013000488
86,-0.08544922
87,-0.015380859
88,0.04248047
89,0.25390625
90,0.15820312
91,0.080078125
92,-0.29101562
93,0.21679688
94,-0.029785156
95,-0.34179688
96,0.12597656
97,-0.5
98,0.0546875
99,0.11279297
100,-0.06298828
101,-0.028198242
102,0.03540039
103,0.3359375
104,0.35351562
105,0.087890625
106,0.16796875
107,0.004272461
108,0.1328125
109,-0.043945312
110,-0.03125
111,-0.064941406
112,-0.05126953
113,-0.26953125
114,-0.115722656
115,-0.040283203
116,0.11669922
117,-0.055664062
118,0.40234375
119,0.14355469
120,-0.16015625
121,-0.29101562
122,-0.08251953
123,0.10253906
124,0.15429688
125,-0.095703125
126,0.22558594
127,-0.06542969
128,-0.33398438
129,0.22070312
130,0.044677734
131,0.19921875
132,-0.171875
133,-0.20507812
134,-0.041503906
135,-0.40039062
136,-0.20214844
137,0.10644531
138,-0.09667969
139,0.04736328
140,0.31640625
141,-0.08691406
142,0.26953125
143,-0.08154297
144,0.17773438
145,0.16894531
146,0.25390625
147,0.037353516
148,0.06201172
149,0.016845703
150,0.15625
151,-0.14941406
152,-0.12792969
153,0.0064086914
154,0.08251953
155,-0.12890625
156,-0.25976562
157,0.45117188
158,-0.025756836
159,0.34179688
160,-0.21386719
161,0.05102539
162,0.2578125
163,-0.05126953
164,0.060546875
165,-0.026245117
166,-0.036132812
167,0.1953125
168,-0.036376953
169,0.140625
170,-0.28320312
171,0.21289062
172,-0.24804688
173,0.13964844
174,-0.05859375
175,-0.12988281
176,0.11230469
177,0.045898438
178,-0.055664062
179,-0.103515625
180,0.13574219
181,-0.390625
182,-0.0703125
183,-0.2109375
184,0.23242188
185,0.020507812
186,0.091308594
187,-0.09375
188,-0.15917969
189,0.2421875
190,-0.042236328
191,0.033691406
192,0.17285156
193,0.032470703
194,0.12988281
195,0.075683594
196,-0.056884766
197,0.114746094
198,-0.140625
199,-0.21386719
200,0.14550781
201,-0.16601562
202,0.095214844
203,-0.119140625
204,0.06738281
205,-0.0022583008
206,-0.0625
207,0.06933594
208,-0.12890625
209,0.114746094
210,0.11767578
211,-0.107421875
212,0.14941406
213,0.21191406
214,-0.17871094
215,-0.12988281
216,-0.14746094
217,0.12597656
218,0.010131836
219,-0.19726562
220,0.079589844
221,-0.25195312
222,-0.13183594
223,-0.2109375
224,-0.390625
225,0.19921875
226,0.31640625
227,0.06542969
228,-0.05908203
229,0.10107422
230,-0.20019531
231,0.17382812
232,0.08496094
233,0.034179688
234,0.016601562
235,-0.10449219
236,-0.20898438
237,0.15332031
238,-0.05859375
239,-0.2578125
240,0.13476562
241,-0.22949219
242,0.028442383
243,0.087402344
244,0.064941406
245,0.053466797
246,-0.22363281
247,-0.025024414
248,-0.099121094
249,-0.25195312
250,0.0075683594
251,-0.024902344
252,0.12597656
253,0.25
254,-0.20214844
255,0.30859375
256,0.041015625
257,-0.0138549805
258,0.099609375
259,0.008850098
260,0.17285156
261,0.1328125
262,0.19140625
263,0.08935547
264,0.25976562
265,0.16992188
266,-0.12597656
267,-0.22167969
268,0.04638672
269,0.19140625
270,0.21289062
271,0.07470703
272,0.114746094
273,-0.23925781
274,0.06640625
275,0.035888672
276,-0.08984375
277,0.01574707
278,-0.20605469
279,0.17675781
280,-0.16308594
281,-0.12988281
282,-0.023925781
283,0.29882812
284,-0.18847656
285,0.21289062
286,0.076171875
287,0.037597656
288,-0.040039062
289,0.28320312
290,-0.022460938
291,0.035888672
292,-0.16796875
293,0.01965332
294,-0.25585938
295,-0.02319336
296,-0.05859375
297,0.15527344
298,0.033691406
299,-0.23242188
