,Indonesia
0,0.25195312
1,-0.24414062
2,-0.075683594
3,0.29882812
4,-0.15722656
5,-0.107421875
6,0.032470703
7,-0.3125
8,-0.095214844
9,0.20019531
10,0.16503906
11,-0.18066406
12,0.23828125
13,-0.32617188
14,-0.16015625
15,0.044677734
16,-0.20410156
17,-0.004852295
18,0.0054626465
19,0.20117188
20,0.14257812
21,-0.3515625
22,0.078125
23,0.00029182434
24,0.16601562
25,-0.24121094
26,-0.21679688
27,0.01977539
28,-0.037353516
29,0.088378906
30,0.048095703
31,-0.16015625
32,-0.3828125
33,-0.14941406
34,0.14355469
35,-0.08203125
36,-0.26367188
37,0.16894531
38,0.18164062
39,0.18457031
40,0.13671875
41,0.19238281
42,-0.19921875
43,0.24121094
44,0.075683594
45,0.13964844
46,-0.27148438
47,-0.013977051
48,0.12109375
49,-0.049560547
50,0.16992188
51,-0.25390625
52,0.052734375
53,0.03491211
54,-0.017456055
55,0.17480469
56,-0.32226562
57,-0.10986328
58,-0.10595703
59,-0.11767578
60,-0.12011719
61,-0.15039062
62,0.09716797
63,0.13085938
64,0.15527344
65,0.02734375
66,0.34570312
67,-0.37109375
68,-0.0146484375
69,-0.0033721924
70,-0.26953125
71,0.010070801
72,0.008850098
73,0.30664062
74,-0.24902344
75,-0.5390625
76,0.16699219
77,0.064941406
78,0.100097656
79,0.33007812
80,-0.16796875
81,0.13183594
82,-0.084472656
83,-0.022583008
84,-0.032958984
85,-0.22460938
86,-0.24121094
87,-0.09082031
88,-0.12597656
89,0.265625
90,0.37890625
91,0.018676758
92,-0.061279297
93,0.06982422
94,-0.29492188
95,-0.1484375
96,-0.15917969
97,-0.059814453
98,0.33398438
99,0.040527344
100,0.041748047
101,-0.014709473
102,0.18457031
103,0.24316406
104,0.05517578
105,0.28320312
106,0.19042969
107,-0.3359375
108,-0.20117188
109,0.37109375
110,-0.05908203
111,-0.16113281
112,-0.13085938
113,-0.123046875
114,0.057617188
115,0.0119018555
116,-0.25390625
117,-0.15722656
118,0.13769531
119,0.017822266
120,-0.047607422
121,0.05419922
122,-0.04736328
123,0.046142578
124,-0.30078125
125,0.028686523
126,-0.056884766
127,-0.18261719
128,-0.37890625
129,0.052001953
130,-0.110839844
131,-0.03930664
132,0.28710938
133,-0.14453125
134,-0.28125
135,-0.22460938
136,-0.13769531
137,-0.09863281
138,0.18554688
139,0.072265625
140,0.11767578
141,-0.29296875
142,0.22070312
143,0.16796875
144,0.2109375
145,-0.02746582
146,-0.107421875
147,0.13085938
148,-0.0625
149,-0.03173828
150,0.28710938
151,-0.34375
152,-0.055664062
153,-0.021240234
154,0.15820312
155,-0.3984375
156,-0.453125
157,-0.20410156
158,0.21972656
159,0.0010528564
160,-0.2109375
161,-0.16796875
162,-0.020874023
163,0.040527344
164,0.0859375
165,-0.11621094
166,0.203125
167,0.091796875
168,-0.036132812
169,0.21875
170,-0.08251953
171,0.42382812
172,-0.0013046265
173,-0.11621094
174,0.0004711151
175,-0.09765625
176,0.46289062
177,-0.049316406
178,-0.072753906
179,-0.17578125
180,0.08300781
181,-0.22265625
182,-0.12451172
183,-0.12402344
184,0.14257812
185,0.10058594
186,0.03173828
187,-0.12890625
188,0.19140625
189,0.16796875
190,-0.26171875
191,-0.3125
192,-0.047607422
193,-0.36132812
194,-0.16015625
195,0.4140625
196,0.07763672
197,-0.33007812
198,-0.114746094
199,-0.35351562
200,-0.010375977
201,-0.16699219
202,0.08935547
203,-0.12158203
204,-0.014770508
205,-0.13964844
206,-0.07421875
207,-0.24316406
208,-0.10205078
209,0.078125
210,-0.13867188
211,-0.041015625
212,-0.007232666
213,0.087890625
214,0.118652344
215,-0.018066406
216,-0.06933594
217,0.23632812
218,0.19726562
219,-0.28710938
220,-0.328125
221,-0.068847656
222,-0.27148438
223,-0.10839844
224,0.15917969
225,-0.17578125
226,-0.042236328
227,0.23242188
228,0.33203125
229,-0.10986328
230,-0.0076293945
231,0.072753906
232,0.23339844
233,-0.067871094
234,0.2265625
235,0.36132812
236,0.018188477
237,0.33789062
238,0.015075684
239,-0.030273438
240,0.08984375
241,-0.15429688
242,-0.0024414062
243,0.14453125
244,-0.012817383
245,-0.44140625
246,-0.13183594
247,-0.21972656
248,0.27148438
249,-0.37304688
250,-0.080566406
251,0.19042969
252,-0.013061523
253,-0.123535156
254,-0.111328125
255,0.016113281
256,0.18554688
257,0.036621094
258,0.12988281
259,-0.055419922
260,0.28710938
261,-0.014587402
262,0.119628906
263,-0.15429688
264,-0.057861328
265,-0.107910156
266,-0.21582031
267,-0.060058594
268,0.3046875
269,-0.033691406
270,-0.09033203
271,0.2734375
272,0.0625
273,-0.009521484
274,-0.04711914
275,0.07128906
276,-0.13574219
277,-0.010314941
278,0.043945312
279,-0.012573242
280,-0.106933594
281,-0.3828125
282,0.0023498535
283,-0.22167969
284,-0.10888672
285,-0.19726562
286,-0.00021743774
287,0.0014343262
288,0.076171875
289,0.15527344
290,0.022583008
291,0.0107421875
292,-0.05883789
293,-0.072265625
294,-0.16601562
295,0.11376953
296,-0.19628906
297,-0.09814453
298,0.14355469
299,0.22949219
