,Niue
0,-0.14257812
1,-0.21972656
2,0.014404297
3,0.11425781
4,-0.28515625
5,-0.15820312
6,-0.096191406
7,-0.25195312
8,-0.12060547
9,0.33203125
10,0.20410156
11,-0.12988281
12,0.14160156
13,-0.24511719
14,0.16992188
15,0.3203125
16,0.11621094
17,0.47070312
18,-0.0032196045
19,0.37304688
20,0.21972656
21,-0.14257812
22,0.15917969
23,0.1328125
24,0.038330078
25,0.12060547
26,-0.114746094
27,-0.087402344
28,0.08154297
29,-0.18847656
30,-0.109375
31,-0.2734375
32,-0.3203125
33,-0.14941406
34,0.42773438
35,-0.10107422
36,-0.056884766
37,0.17578125
38,-0.076660156
39,0.012023926
40,-0.23046875
41,0.265625
42,0.33984375
43,0.453125
44,0.05078125
45,-0.08984375
46,-0.27929688
47,-0.091796875
48,-0.140625
49,0.17773438
50,0.0014190674
51,-0.38867188
52,0.19335938
53,-0.3515625
54,-0.3359375
55,0.064453125
56,-0.77734375
57,-0.01965332
58,-0.15234375
59,-0.12597656
60,-0.06640625
61,-0.076660156
62,-0.18945312
63,-0.014831543
64,0.21191406
65,-0.05810547
66,-0.12109375
67,-0.13574219
68,0.13964844
69,0.056152344
70,-0.6015625
71,-0.33398438
72,-0.25195312
73,-0.17089844
74,-0.12109375
75,-0.25390625
76,0.00075149536
77,-0.024902344
78,0.22753906
79,0.21679688
80,-0.24902344
81,-0.1640625
82,-0.08496094
83,-0.076171875
84,0.11767578
85,-0.037109375
86,-0.140625
87,0.095703125
88,-0.09667969
89,0.1875
90,0.34960938
91,-0.22851562
92,-0.21972656
93,-0.20507812
94,-0.07470703
95,-0.12109375
96,0.18847656
97,-0.29101562
98,0.20800781
99,-0.12060547
100,-0.072753906
101,0.2734375
102,0.20898438
103,-0.035888672
104,-0.12792969
105,0.32226562
106,0.07080078
107,-0.15332031
108,0.3359375
109,0.07519531
110,-0.09033203
111,0.22070312
112,-0.05859375
113,0.023071289
114,-0.2578125
115,-0.013122559
116,0.13671875
117,-0.31445312
118,0.045654297
119,0.055908203
120,-0.14941406
121,-0.091796875
122,0.030517578
123,0.16503906
124,-0.021118164
125,0.42382812
126,-0.11425781
127,0.21289062
128,-0.29492188
129,0.23632812
130,0.25
131,0.43554688
132,-0.07714844
133,0.234375
134,-0.3046875
135,-0.072265625
136,-0.63671875
137,0.25195312
138,-0.028564453
139,0.25976562
140,-0.056884766
141,-0.22167969
142,0.48632812
143,0.11376953
144,0.3984375
145,0.072265625
146,-0.037841797
147,-0.10498047
148,-0.22265625
149,0.44726562
150,0.16308594
151,-0.24023438
152,0.087890625
153,0.18652344
154,0.140625
155,-0.24902344
156,-0.061523438
157,-0.35742188
158,0.0037384033
159,0.078125
160,-0.29492188
161,0.33984375
162,0.2734375
163,-0.07128906
164,0.25390625
165,-0.46679688
166,0.19824219
167,0.106933594
168,-0.08642578
169,0.20117188
170,0.12207031
171,0.43164062
172,0.23828125
173,0.18359375
174,-0.010314941
175,0.083984375
176,0.27148438
177,-0.13574219
178,0.061035156
179,0.44140625
180,0.52734375
181,-0.32421875
182,0.1875
183,-0.26367188
184,-0.27929688
185,-0.123535156
186,-0.34960938
187,-0.3984375
188,-0.0074157715
189,0.31640625
190,0.029663086
191,-0.24316406
192,-0.17382812
193,-0.2265625
194,0.23242188
195,0.19824219
196,0.29296875
197,0.20996094
198,0.017211914
199,-0.34375
200,0.16210938
201,-0.25976562
202,0.18457031
203,-0.20117188
204,-0.099609375
205,0.171875
206,-0.061035156
207,-0.46679688
208,0.04248047
209,-0.40625
210,-0.01940918
211,-0.011413574
212,0.15722656
213,-0.08105469
214,-0.0004272461
215,0.067871094
216,0.33007812
217,0.17871094
218,-0.10449219
219,-0.017089844
220,-0.1328125
221,0.13574219
222,-0.12988281
223,0.09863281
224,-0.36914062
225,0.14257812
226,0.107910156
227,0.3046875
228,0.21289062
229,0.020996094
230,-0.26953125
231,-0.09375
232,0.13574219
233,-0.21582031
234,0.20996094
235,0.359375
236,0.5546875
237,0.31054688
238,-0.14453125
239,0.52734375
240,0.060791016
241,-0.0046691895
242,0.061523438
243,-0.19628906
244,0.10058594
245,-0.40234375
246,-0.23339844
247,-0.099121094
248,0.24804688
249,-0.25390625
250,-0.34960938
251,0.15136719
252,0.30273438
253,0.11621094
254,0.22460938
255,0.010314941
256,0.5234375
257,0.012817383
258,0.067871094
259,0.06640625
260,0.36132812
261,0.107910156
262,-0.068359375
263,-0.036132812
264,-0.35546875
265,-0.33398438
266,-0.34765625
267,0.06738281
268,0.13574219
269,-0.27539062
270,-0.44335938
271,-0.087890625
272,0.421875
273,0.31835938
274,-0.0023345947
275,0.03540039
276,-0.07763672
277,-0.36523438
278,0.15039062
279,0.20410156
280,-0.025024414
281,-0.23730469
282,0.453125
283,-0.032470703
284,0.13769531
285,0.026977539
286,0.025024414
287,-0.092285156
288,-0.06738281
289,0.50390625
290,0.125
291,0.015136719
292,-0.07373047
293,-0.053466797
294,-0.26367188
295,0.0062561035
296,-0.35742188
297,-0.026489258
298,0.007598877
299,-0.040039062
