,Paraguay
0,0.13378906
1,-0.11816406
2,0.29101562
3,0.24804688
4,-0.087890625
5,-0.40039062
6,-0.33789062
7,-0.296875
8,-0.0031280518
9,-0.0005226135
10,0.1953125
11,-0.1015625
12,0.013916016
13,0.12890625
14,-0.11425781
15,-0.033203125
16,0.05859375
17,0.3984375
18,0.15039062
19,0.07763672
20,0.12597656
21,-0.19238281
22,-0.22070312
23,-0.019165039
24,0.075683594
25,0.18457031
26,0.10644531
27,-0.6171875
28,-0.20214844
29,0.017700195
30,-0.053466797
31,-0.14453125
32,-0.21289062
33,-0.359375
34,-0.29882812
35,0.115234375
36,-0.19140625
37,-0.017944336
38,0.13867188
39,0.02758789
40,0.05908203
41,0.09033203
42,0.15917969
43,0.11767578
44,-0.1015625
45,0.23828125
46,0.24511719
47,-0.06591797
48,-0.12011719
49,0.24707031
50,-0.23046875
51,-0.064941406
52,0.22851562
53,-0.265625
54,0.009399414
55,0.20996094
56,-0.44726562
57,-0.18164062
58,0.046875
59,0.16796875
60,-0.26367188
61,0.091308594
62,-0.33007812
63,-0.14746094
64,0.01977539
65,-0.23046875
66,0.38476562
67,-0.37695312
68,0.107910156
69,0.030273438
70,-0.061523438
71,-0.15625
72,-0.019897461
73,-0.19042969
74,-0.036865234
75,0.014343262
76,0.20605469
77,-0.18457031
78,0.19042969
79,-0.017578125
80,0.0053710938
81,-0.0038604736
82,-0.09082031
83,-0.13574219
84,-0.04711914
85,-0.26953125
86,0.15332031
87,0.118652344
88,0.27148438
89,-0.0703125
90,0.106933594
91,-0.29492188
92,-0.37304688
93,0.16894531
94,-0.18847656
95,-0.18554688
96,-0.24023438
97,-0.43359375
98,0.11425781
99,0.296875
100,-0.053222656
101,-0.03955078
102,-0.040283203
103,0.15820312
104,0.2109375
105,0.22070312
106,0.16113281
107,-0.5625
108,0.08154297
109,0.08544922
110,0.46484375
111,-0.09667969
112,0.13867188
113,-0.16210938
114,-0.16894531
115,0.107421875
116,0.091796875
117,0.034423828
118,0.56640625
119,0.22167969
120,0.014892578
121,-0.33984375
122,-0.12597656
123,-0.040771484
124,-0.28125
125,0.16699219
126,0.022338867
127,0.015563965
128,-0.3515625
129,0.07470703
130,-0.19433594
131,-0.140625
132,-0.09814453
133,-0.122558594
134,0.07470703
135,-0.23144531
136,-0.19824219
137,0.17773438
138,0.03881836
139,-0.06298828
140,0.084472656
141,-0.37890625
142,0.08642578
143,0.32617188
144,-0.11279297
145,0.087402344
146,0.032958984
147,-0.21582031
148,-0.0703125
149,-0.0079956055
150,0.37109375
151,-0.37890625
152,0.03857422
153,0.051757812
154,0.32226562
155,-0.20117188
156,-0.3046875
157,0.01953125
158,-0.010620117
159,0.09472656
160,0.21386719
161,-0.091308594
162,-0.013122559
163,0.15234375
164,0.19042969
165,-0.06738281
166,0.10498047
167,0.008850098
168,0.14648438
169,-0.13574219
170,-0.2890625
171,0.55078125
172,0.024780273
173,-0.068847656
174,-0.025634766
175,-0.19726562
176,-0.053710938
177,-0.1328125
178,-0.09716797
179,0.21484375
180,-0.21875
181,-0.5234375
182,-0.021240234
183,-0.026489258
184,-0.030639648
185,-0.099609375
186,0.02758789
187,-0.34179688
188,-0.28710938
189,0.24316406
190,-0.18261719
191,-0.22949219
192,-0.037109375
193,-0.390625
194,0.23144531
195,0.25976562
196,-0.072265625
197,0.16210938
198,-0.51953125
199,-0.25
200,-0.049072266
201,-0.048339844
202,-0.09277344
203,-0.16894531
204,0.29882812
205,-0.1484375
206,-0.07373047
207,-0.22753906
208,-0.3515625
209,-0.31640625
210,-0.059814453
211,0.28515625
212,-0.021850586
213,0.19824219
214,-0.16308594
215,-0.016601562
216,-0.011962891
217,0.05078125
218,-0.33007812
219,0.06933594
220,-0.43554688
221,0.022583008
222,-0.06738281
223,0.014282227
224,-0.10546875
225,0.104003906
226,0.30078125
227,0.25585938
228,0.18164062
229,-0.042236328
230,-0.421875
231,0.084472656
232,-0.092285156
233,0.18945312
234,0.31640625
235,0.19628906
236,0.040771484
237,0.34375
238,-0.01940918
239,-0.10595703
240,0.26367188
241,-0.19140625
242,0.1796875
243,0.15136719
244,-0.24121094
245,-0.042236328
246,-0.29882812
247,-0.103515625
248,-0.20214844
249,0.234375
250,0.08105469
251,0.24121094
252,0.14160156
253,-0.045654297
254,0.23535156
255,0.16992188
256,0.049072266
257,0.067871094
258,0.052734375
259,0.068847656
260,0.14648438
261,-0.123535156
262,0.17480469
263,0.41992188
264,0.3984375
265,-0.12890625
266,-0.33203125
267,-0.20605469
268,-0.16992188
269,-0.03173828
270,-0.25585938
271,0.118652344
272,-0.060791016
273,-0.19042969
274,0.33398438
275,0.125
276,-0.024169922
277,0.12695312
278,-0.06689453
279,0.12011719
280,-0.016235352
281,-0.09814453
282,0.15625
283,0.11621094
284,-0.15625
285,0.037597656
286,0.28125
287,0.001083374
288,-0.14355469
289,0.21777344
290,0.23828125
291,-0.064453125
292,-0.28125
293,0.041015625
294,0.07910156
295,0.33984375
296,-0.011108398
297,-0.22558594
298,-0.04248047
299,0.19140625
