,Clipperton_Island
0,0.017333984
1,0.03564453
2,-0.025024414
3,-0.000831604
4,0.02319336
5,-0.12207031
6,-0.12988281
7,-0.07763672
8,0.03930664
9,0.107910156
10,-0.020385742
11,-0.041992188
12,0.016113281
13,-0.024414062
14,-0.020874023
15,0.024658203
16,-0.1015625
17,0.012023926
18,-0.0043640137
19,0.100097656
20,-0.018798828
21,-0.016723633
22,-0.017456055
23,0.040771484
24,0.0025939941
25,-0.057617188
26,-0.092285156
27,0.03515625
28,0.07519531
29,-0.014221191
30,0.05517578
31,-0.016967773
32,-0.053710938
33,-0.016601562
34,-0.0023040771
35,-0.072753906
36,-0.09765625
37,-0.059814453
38,-0.04663086
39,0.018920898
40,-0.0390625
41,-0.014221191
42,0.012084961
43,0.08154297
44,-0.002670288
45,-0.046142578
46,0.0146484375
47,-0.007751465
48,0.029418945
49,0.024780273
50,-0.0115356445
51,-0.017333984
52,0.15625
53,-0.07470703
54,-0.1171875
55,0.045166016
56,-0.043701172
57,-0.036621094
58,-0.022094727
59,-0.103515625
60,-0.040283203
61,-0.012878418
62,0.0052490234
63,-0.07910156
64,-0.064453125
65,-0.045166016
66,-0.01586914
67,-0.040527344
68,-0.022094727
69,0.021118164
70,-0.060058594
71,-0.009155273
72,-0.008178711
73,0.052734375
74,0.0134887695
75,-0.09863281
76,-0.04321289
77,-0.020385742
78,0.015991211
79,-0.06591797
80,0.033447266
81,-0.068847656
82,0.046875
83,-0.059326172
84,0.0017547607
85,0.0063171387
86,-0.049560547
87,-0.041503906
88,0.05102539
89,0.095214844
90,-0.07080078
91,0.028808594
92,-0.05078125
93,0.026977539
94,-0.020874023
95,-0.024169922
96,0.03857422
97,-0.076171875
98,0.016113281
99,0.106933594
100,-0.01586914
101,-0.020385742
102,0.0020141602
103,0.010070801
104,0.034179688
105,0.040039062
106,0.048339844
107,-0.0146484375
108,0.03955078
109,0.060546875
110,-0.0134887695
111,-0.021728516
112,0.014587402
113,-0.043701172
114,-0.067871094
115,0.041015625
116,0.07373047
117,0.034179688
118,-0.09765625
119,-0.03100586
120,-0.041259766
121,-0.047607422
122,-0.036621094
123,0.018432617
124,0.09765625
125,0.011413574
126,0.037109375
127,-0.0625
128,-0.06591797
129,0.063964844
130,0.0017471313
131,0.0014343262
132,-0.0066833496
133,0.10253906
134,-0.05517578
135,0.008117676
136,-0.026000977
137,-0.024902344
138,-0.038330078
139,0.060058594
140,-0.025268555
141,-0.11279297
142,0.048339844
143,0.009094238
144,-0.022216797
145,-0.0019683838
146,-0.018310547
147,0.034423828
148,-0.057373047
149,-0.026611328
150,0.07470703
151,-0.013305664
152,-0.091308594
153,0.0076293945
154,0.011169434
155,-0.015014648
156,0.05859375
157,0.040039062
158,0.053466797
159,0.022827148
160,-0.028930664
161,0.040771484
162,0.064453125
163,-0.036376953
164,0.0099487305
165,0.059570312
166,0.0067443848
167,0.021362305
168,-0.041503906
169,0.00075149536
170,-0.0027618408
171,0.045166016
172,0.018554688
173,-0.061523438
174,-0.08203125
175,-0.028320312
176,-0.07714844
177,0.0032958984
178,-0.067871094
179,-0.060302734
180,-0.06298828
181,-0.06640625
182,-0.12988281
183,-0.064453125
184,-0.03540039
185,0.00014781952
186,0.04321289
187,-0.026367188
188,0.10546875
189,0.055664062
190,-0.029418945
191,-0.03466797
192,-0.022216797
193,0.0625
194,-0.023071289
195,0.078125
196,0.06298828
197,0.037109375
198,0.072753906
199,-0.1171875
200,0.1328125
201,-0.0068359375
202,-0.030517578
203,-0.061279297
204,-0.006500244
205,0.080078125
206,0.016967773
207,-0.033447266
208,-0.03491211
209,-0.026977539
210,-0.018676758
211,0.002105713
212,-0.05444336
213,-0.023071289
214,0.004638672
215,0.025024414
216,0.095214844
217,0.0016479492
218,0.04711914
219,0.0022735596
220,0.07080078
221,0.052978516
222,0.00037956238
223,-0.088378906
224,-0.03857422
225,0.0021972656
226,0.0126953125
227,0.11376953
228,0.041503906
229,0.07861328
230,0.03173828
231,-0.08105469
232,0.010925293
233,-0.04345703
234,0.084472656
235,-0.00077819824
236,0.02368164
237,0.0012893677
238,0.0074157715
239,-0.06201172
240,0.045654297
241,-0.021118164
242,0.04272461
243,-0.049316406
244,0.032470703
245,-0.014404297
246,-0.059570312
247,-0.025634766
248,0.063964844
249,-0.05883789
250,-0.0032958984
251,-0.015136719
252,0.07324219
253,0.075683594
254,-0.00390625
255,-0.053710938
256,0.06738281
257,-0.06298828
258,0.029174805
259,-0.026000977
260,0.171875
261,0.0028076172
262,0.013671875
263,0.0035552979
264,0.018066406
265,0.030151367
266,0.025268555
267,-0.07470703
268,-0.0004272461
269,-0.04248047
270,-0.08642578
271,-0.03491211
272,0.0065612793
273,-0.047851562
274,0.044433594
275,0.022705078
276,-0.040527344
277,0.03930664
278,-0.122558594
279,0.026611328
280,-0.048095703
281,-0.032958984
282,0.06347656
283,-0.05883789
284,0.033691406
285,-0.0032958984
286,-0.09375
287,0.030883789
288,-0.052734375
289,0.01586914
290,0.004058838
291,0.0008087158
292,-0.0056762695
293,0.01586914
294,0.016723633
295,-0.030761719
296,-0.09423828
297,0.0107421875
298,0.15332031
299,-0.0042419434
