,Nepal
0,0.05102539
1,-0.15234375
2,0.01977539
3,0.47070312
4,-0.22753906
5,-0.20410156
6,0.24511719
7,-0.21582031
8,-0.21484375
9,-0.009033203
10,-0.07421875
11,-0.12109375
12,0.123046875
13,-0.017456055
14,0.13964844
15,-0.28125
16,-0.22363281
17,0.036621094
18,-0.24023438
19,-0.091796875
20,0.13085938
21,-0.32617188
22,0.0625
23,0.10595703
24,-0.03100586
25,-0.055908203
26,-0.359375
27,-0.11279297
28,0.100097656
29,0.03515625
30,-0.15625
31,-0.4765625
32,-0.12792969
33,0.114746094
34,-0.15429688
35,-0.08496094
36,-0.2421875
37,-0.17675781
38,0.21191406
39,-0.18066406
40,-0.16796875
41,-0.029418945
42,0.15820312
43,0.25
44,0.06738281
45,-0.095703125
46,-0.33007812
47,0.22753906
48,0.23339844
49,0.0703125
50,-0.076171875
51,-0.36914062
52,-0.14257812
53,-0.049072266
54,-0.22753906
55,-0.13964844
56,-0.10449219
57,0.032470703
58,-0.056640625
59,-0.34960938
60,0.10986328
61,0.03930664
62,0.19335938
63,0.07763672
64,0.19335938
65,-0.19921875
66,0.28515625
67,-0.052978516
68,-0.13867188
69,0.13183594
70,-0.32226562
71,-0.025390625
72,-0.0079956055
73,-0.26953125
74,0.13769531
75,-0.39257812
76,-0.020263672
77,0.03930664
78,0.17480469
79,0.2265625
80,0.0078125
81,0.020629883
82,-0.060058594
83,-0.021728516
84,-0.10546875
85,-0.24023438
86,0.09472656
87,-0.46679688
88,0.30664062
89,0.080078125
90,0.110839844
91,0.043945312
92,-0.34765625
93,-0.022827148
94,-0.3984375
95,-0.12792969
96,0.24609375
97,-0.1953125
98,0.37304688
99,0.171875
100,-0.38085938
101,0.20214844
102,-0.025756836
103,-0.16699219
104,0.31445312
105,0.16015625
106,-0.106933594
107,-0.2265625
108,0.06347656
109,0.029418945
110,-0.22363281
111,0.19238281
112,-0.22265625
113,-0.34765625
114,0.20507812
115,-0.07324219
116,0.095703125
117,-0.16308594
118,0.4453125
119,0.21582031
120,-0.024536133
121,0.19433594
122,-0.29492188
123,0.022094727
124,-0.055908203
125,0.41015625
126,-0.103027344
127,0.18554688
128,-0.31835938
129,0.17773438
130,0.022705078
131,0.16699219
132,-0.006500244
133,0.056152344
134,-0.29101562
135,0.024902344
136,-0.38085938
137,-0.040283203
138,-0.15234375
139,0.2265625
140,0.22265625
141,-0.23046875
142,0.08544922
143,0.060302734
144,0.107910156
145,-0.09423828
146,0.029907227
147,-0.13085938
148,0.11230469
149,0.29296875
150,0.34179688
151,-0.40820312
152,0.053222656
153,-0.25585938
154,-2.577901e-06
155,-0.38085938
156,-0.28710938
157,-0.083496094
158,-0.009521484
159,0.1875
160,-0.4296875
161,-0.18066406
162,-0.19238281
163,-0.012512207
164,-0.0859375
165,-0.48046875
166,-0.09277344
167,-0.12890625
168,0.10986328
169,0.24316406
170,-0.002960205
171,0.1875
172,0.34375
173,0.0051879883
174,0.26953125
175,-0.15136719
176,0.3125
177,-0.14746094
178,-0.016235352
179,-0.44726562
180,-0.21679688
181,0.10839844
182,-0.16601562
183,-0.11279297
184,-0.024658203
185,-0.008178711
186,0.31445312
187,0.0703125
188,0.111816406
189,0.19921875
190,-0.33007812
191,-0.10839844
192,-0.3203125
193,-0.07763672
194,0.14746094
195,0.12988281
196,0.15820312
197,0.03540039
198,-0.05102539
199,-0.2734375
200,0.10498047
201,-0.11279297
202,0.1640625
203,0.04638672
204,0.063964844
205,-0.052490234
206,-0.14941406
207,-0.38671875
208,0.06982422
209,-0.09814453
210,-0.22949219
211,0.029174805
212,-0.028320312
213,-0.20117188
214,-0.12158203
215,0.052734375
216,0.010986328
217,0.40039062
218,-0.20214844
219,-0.15722656
220,0.09765625
221,-0.34765625
222,0.017456055
223,0.11669922
224,-0.02368164
225,0.049560547
226,-0.037353516
227,-0.06298828
228,0.15332031
229,0.11328125
230,-0.24414062
231,0.18457031
232,0.12597656
233,-0.099121094
234,0.052246094
235,0.30859375
236,-0.022583008
237,-0.01940918
238,0.052246094
239,0.03125
240,0.103515625
241,-0.029785156
242,0.11328125
243,0.18945312
244,-0.076171875
245,0.08105469
246,-0.40820312
247,-0.2578125
248,0.08544922
249,-0.16503906
250,0.12890625
251,-0.025268555
252,0.10253906
253,0.30664062
254,0.12158203
255,0.03540039
256,0.22265625
257,0.088378906
258,0.067871094
259,-0.17675781
260,-0.10205078
261,0.51171875
262,0.40234375
263,0.23828125
264,0.007751465
265,0.17773438
266,-0.34765625
267,0.07324219
268,0.34960938
269,0.10449219
270,0.068847656
271,0.10595703
272,0.0031585693
273,0.14941406
274,0.2265625
275,-0.091308594
276,-0.056152344
277,-0.064941406
278,-0.18164062
279,-0.05126953
280,0.25976562
281,-0.21875
282,0.052246094
283,0.19335938
284,0.29882812
285,-0.2265625
286,-0.08984375
287,0.078125
288,-0.052978516
289,0.17089844
290,-0.047607422
291,-0.12597656
292,-0.08300781
293,-0.10449219
294,-0.14355469
295,-0.022705078
296,-0.43554688
297,0.34570312
298,0.13183594
299,0.28710938
