,Armenia
0,0.027832031
1,-0.08203125
2,0.24804688
3,0.22558594
4,-0.020507812
5,0.104003906
6,0.20703125
7,-0.060546875
8,-0.1484375
9,0.036376953
10,-0.32421875
11,0.12060547
12,-0.26953125
13,0.14746094
14,0.08496094
15,-0.13574219
16,-0.22851562
17,0.08886719
18,0.22363281
19,0.17285156
20,0.42773438
21,-0.09277344
22,-0.099609375
23,0.009399414
24,-0.06591797
25,0.15234375
26,-0.1328125
27,0.09716797
28,-0.11376953
29,0.042236328
30,-0.265625
31,-0.35742188
32,-0.08251953
33,-0.08935547
34,0.110839844
35,-0.13476562
36,-0.41210938
37,0.22167969
38,0.29101562
39,-0.34375
40,0.16015625
41,0.24511719
42,0.30078125
43,-0.16210938
44,0.21191406
45,0.02319336
46,-0.071777344
47,0.022949219
48,-0.15039062
49,0.25
50,-0.14550781
51,0.0703125
52,-0.39648438
53,-0.08984375
54,-0.36132812
55,0.06347656
56,-0.45898438
57,0.15527344
58,-0.12890625
59,0.0015029907
60,0.1796875
61,-0.12207031
62,0.31640625
63,-0.056152344
64,0.28710938
65,-0.052001953
66,0.47851562
67,-0.2734375
68,-0.037841797
69,0.099609375
70,-0.22265625
71,-0.22460938
72,-0.07714844
73,-0.14453125
74,-0.1796875
75,-0.15722656
76,0.31835938
77,0.17871094
78,0.12988281
79,0.11767578
80,-0.33007812
81,-0.39648438
82,0.13867188
83,-0.11816406
84,-0.08886719
85,-0.057617188
86,-0.2265625
87,-0.028564453
88,0.0071411133
89,0.22460938
90,0.015991211
91,-0.21972656
92,-0.38671875
93,0.02709961
94,-0.16699219
95,-0.4609375
96,0.016235352
97,-0.14355469
98,0.20019531
99,-0.13183594
100,-0.35546875
101,0.064453125
102,0.013916016
103,0.016967773
104,0.0625
105,0.036865234
106,0.08886719
107,-0.079589844
108,-0.115234375
109,0.0019073486
110,-0.24023438
111,0.16308594
112,0.15332031
113,-0.17578125
114,-0.040283203
115,-0.03112793
116,0.020629883
117,0.083496094
118,0.37695312
119,0.084472656
120,-0.16796875
121,0.05029297
122,-0.14746094
123,-0.09765625
124,-0.095214844
125,0.328125
126,-0.087402344
127,0.35742188
128,-0.69140625
129,0.040039062
130,-0.052490234
131,0.31640625
132,-0.16503906
133,-0.15722656
134,-0.25
135,0.021362305
136,-0.19824219
137,-0.007873535
138,0.026977539
139,-0.19238281
140,-0.09033203
141,-0.095214844
142,0.018798828
143,0.16894531
144,-0.24609375
145,0.18261719
146,-0.14355469
147,-0.03173828
148,-0.2890625
149,0.063964844
150,0.27734375
151,-0.059326172
152,0.20410156
153,-0.103515625
154,0.11279297
155,-0.06933594
156,-0.15625
157,0.11230469
158,-0.10546875
159,-0.01965332
160,-0.4453125
161,0.26953125
162,-0.050048828
163,-0.07421875
164,0.25390625
165,0.064941406
166,0.099609375
167,0.36523438
168,0.02746582
169,0.32226562
170,-0.4609375
171,0.3046875
172,0.20898438
173,0.14550781
174,0.099609375
175,-0.032714844
176,0.026489258
177,-0.25390625
178,0.1484375
179,-0.33984375
180,0.08886719
181,-0.15917969
182,-0.018676758
183,0.09667969
184,0.019042969
185,0.09277344
186,0.0703125
187,-0.12890625
188,-0.07080078
189,0.1953125
190,-0.29882812
191,0.083984375
192,-0.10058594
193,0.10498047
194,0.08251953
195,0.017456055
196,-0.10107422
197,0.010559082
198,0.08300781
199,-0.1953125
200,-0.049072266
201,0.100097656
202,0.111816406
203,0.07128906
204,0.13183594
205,-0.13574219
206,0.09667969
207,0.004180908
208,0.096191406
209,0.24023438
210,0.12011719
211,0.13476562
212,-0.171875
213,0.15917969
214,-0.0625
215,0.06640625
216,0.080566406
217,0.1328125
218,-0.032958984
219,-0.34765625
220,-0.2578125
221,-0.15332031
222,-0.171875
223,0.048095703
224,-0.08642578
225,-0.17382812
226,0.22167969
227,-0.007385254
228,0.47460938
229,-0.029663086
230,-0.010070801
231,0.10205078
232,-0.040771484
233,-0.025756836
234,-0.013793945
235,0.3125
236,-0.328125
237,-0.040771484
238,0.13378906
239,-0.15234375
240,0.064453125
241,-0.08935547
242,-0.18261719
243,-0.13574219
244,0.061279297
245,0.26367188
246,-0.21875
247,0.125
248,-0.043701172
249,-0.34570312
250,0.04272461
251,-0.061767578
252,0.12988281
253,0.05126953
254,0.17578125
255,0.17675781
256,0.16308594
257,-0.010009766
258,0.22167969
259,0.15820312
260,-0.01940918
261,-0.05908203
262,0.21972656
263,0.28710938
264,0.42382812
265,-0.002380371
266,-0.21777344
267,-0.26171875
268,-0.28320312
269,-0.030639648
270,0.028198242
271,0.24902344
272,0.05859375
273,0.050048828
274,-0.079589844
275,0.26171875
276,0.328125
277,-0.10644531
278,-0.118652344
279,0.103027344
280,0.09765625
281,0.36914062
282,-0.030883789
283,0.09375
284,-0.03149414
285,-0.296875
286,-0.20996094
287,0.083984375
288,0.20019531
289,0.08544922
290,-0.12597656
291,0.0859375
292,-0.19726562
293,-0.063964844
294,0.21875
295,0.013671875
296,-0.5
297,-0.029296875
298,0.17480469
299,0.48046875
