,Palestinian_Territories
0,0.25
1,-0.080078125
2,-0.23535156
3,0.13085938
4,0.0030670166
5,0.080078125
6,0.071777344
7,-0.1015625
8,-0.0011444092
9,-0.13671875
10,-0.21289062
11,-0.014831543
12,-0.06201172
13,0.04711914
14,-0.008605957
15,-0.43554688
16,-0.056884766
17,0.24707031
18,0.088378906
19,0.41015625
20,0.064453125
21,0.33398438
22,0.13085938
23,0.16601562
24,-0.09033203
25,-0.0625
26,0.14648438
27,0.029907227
28,0.13476562
29,0.099609375
30,-0.16113281
31,-0.4140625
32,-0.26953125
33,0.2578125
34,0.00982666
35,-0.20117188
36,-0.24121094
37,0.29296875
38,0.08544922
39,-0.072753906
40,0.01928711
41,0.36328125
42,-0.15136719
43,0.2109375
44,0.22753906
45,0.16308594
46,0.125
47,-0.13085938
48,-0.3828125
49,0.19335938
50,0.14941406
51,-0.03857422
52,-0.05053711
53,0.17773438
54,-0.18066406
55,0.011657715
56,-0.10888672
57,0.43945312
58,0.016967773
59,-0.13085938
60,-0.14257812
61,0.008666992
62,0.19433594
63,0.063964844
64,0.030517578
65,-0.03930664
66,-0.22363281
67,-0.109375
68,0.12695312
69,-0.26953125
70,-0.48828125
71,0.34960938
72,-0.056884766
73,0.24707031
74,0.12109375
75,-0.48242188
76,-0.06689453
77,-0.18554688
78,-0.04711914
79,0.24609375
80,-0.21582031
81,-0.019897461
82,-0.26953125
83,0.1640625
84,0.025146484
85,-0.044921875
86,-0.045166016
87,-0.053222656
88,0.28320312
89,0.08251953
90,0.15625
91,0.06982422
92,-0.33789062
93,-0.19628906
94,-0.07421875
95,-0.41015625
96,0.12060547
97,0.15722656
98,0.36132812
99,0.084472656
100,0.31054688
101,-0.007598877
102,-0.012878418
103,0.049804688
104,-0.016967773
105,-0.036376953
106,0.05126953
107,-0.33789062
108,-0.17285156
109,0.17089844
110,0.34765625
111,-0.29882812
112,-0.08203125
113,0.19042969
114,0.32421875
115,-0.125
116,-0.15039062
117,0.111328125
118,0.24023438
119,0.15527344
120,-0.20605469
121,-0.010070801
122,-0.12890625
123,-0.140625
124,-0.50390625
125,0.027709961
126,-0.38867188
127,0.011779785
128,-0.26757812
129,0.17773438
130,-0.057861328
131,-0.18457031
132,0.079589844
133,0.008544922
134,0.20605469
135,-0.20605469
136,0.024047852
137,-0.20605469
138,0.203125
139,-0.076171875
140,-0.103515625
141,0.14648438
142,0.23144531
143,0.07910156
144,0.034423828
145,-0.38085938
146,0.061035156
147,-0.08886719
148,0.0073547363
149,-0.045410156
150,0.48046875
151,-0.3671875
152,0.053222656
153,0.0011978149
154,0.10888672
155,-0.21679688
156,-0.13769531
157,0.22265625
158,0.030761719
159,-0.06738281
160,-0.48242188
161,-0.013977051
162,0.029663086
163,-0.27148438
164,0.07080078
165,-0.14746094
166,0.044189453
167,0.063964844
168,-0.27539062
169,0.2265625
170,-0.04345703
171,0.28515625
172,-0.18164062
173,0.06347656
174,-0.0859375
175,0.036621094
176,0.48828125
177,-0.06298828
178,-0.24316406
179,-0.25
180,-0.24902344
181,0.057373047
182,-0.022827148
183,-0.26953125
184,0.15429688
185,0.17480469
186,0.123046875
187,0.080078125
188,0.203125
189,0.2578125
190,-0.010375977
191,0.203125
192,-0.19042969
193,-0.3203125
194,-0.07421875
195,0.40234375
196,-0.051757812
197,0.0058288574
198,0.15527344
199,-0.48242188
200,0.11767578
201,0.45507812
202,-0.1875
203,-0.11767578
204,0.01574707
205,-0.16015625
206,-0.25585938
207,0.091308594
208,0.030517578
209,0.00051116943
210,0.029052734
211,0.022949219
212,-0.046142578
213,0.3046875
214,0.040039062
215,-0.19824219
216,-0.24902344
217,-0.13671875
218,0.33007812
219,-0.38476562
220,-0.0076904297
221,-0.29882812
222,-0.09375
223,0.15625
224,0.103027344
225,0.002166748
226,-0.07080078
227,0.08935547
228,0.26953125
229,-0.26757812
230,0.03125
231,-0.052490234
232,0.049316406
233,0.122558594
234,0.1328125
235,-0.16894531
236,-0.103515625
237,0.28125
238,0.33984375
239,-0.051757812
240,0.30664062
241,-0.19726562
242,0.059570312
243,0.020629883
244,0.2265625
245,0.45507812
246,-0.2734375
247,-0.29882812
248,-0.29296875
249,-0.104003906
250,0.036865234
251,-0.17285156
252,0.08203125
253,0.1171875
254,0.078125
255,-0.13378906
256,0.30273438
257,-0.021972656
258,0.4921875
259,-0.019042969
260,-0.012939453
261,0.15136719
262,0.21191406
263,0.3046875
264,0.08642578
265,0.044921875
266,-0.038330078
267,-0.063964844
268,-0.2109375
269,-0.10107422
270,0.0029144287
271,0.390625
272,-0.02709961
273,-0.036376953
274,-0.00031089783
275,0.10498047
276,0.171875
277,0.03930664
278,-0.048828125
279,-0.20214844
280,-0.18652344
281,0.05053711
282,-0.22558594
283,0.16308594
284,0.107421875
285,-0.059570312
286,-0.27734375
287,0.026123047
288,-0.018310547
289,0.28320312
290,-0.1875
291,0.111816406
292,-0.21386719
293,-0.22851562
294,-0.23339844
295,-0.010681152
296,-0.2734375
297,0.022705078
298,0.15625
299,0.17480469
