,Niger
0,0.328125
1,0.011962891
2,0.0146484375
3,0.3203125
4,-0.26171875
5,-0.06298828
6,-0.16699219
7,-0.21875
8,-0.27148438
9,-0.19921875
10,0.14941406
11,-0.11669922
12,0.14941406
13,0.17089844
14,0.18945312
15,0.2734375
16,-0.38867188
17,-0.30664062
18,0.22265625
19,0.13671875
20,-0.18847656
21,-0.41210938
22,0.023071289
23,0.16503906
24,0.26953125
25,-0.10058594
26,0.028198242
27,-0.47851562
28,0.107421875
29,0.2109375
30,-0.25195312
31,0.068359375
32,-0.15429688
33,-0.19140625
34,-0.3125
35,0.0703125
36,0.00390625
37,-0.060791016
38,-0.06542969
39,0.07763672
40,-0.33789062
41,0.041992188
42,-0.07373047
43,0.35742188
44,0.19335938
45,0.017089844
46,-0.15136719
47,0.21875
48,-0.08105469
49,-0.061279297
50,-0.20898438
51,-0.625
52,-0.07128906
53,-0.004180908
54,-0.3203125
55,0.08886719
56,-0.27929688
57,-0.24609375
58,-0.11816406
59,-0.30078125
60,0.36328125
61,0.18457031
62,0.12890625
63,0.24511719
64,-0.12890625
65,-0.28320312
66,-0.15820312
67,-0.022216797
68,-0.015625
69,-0.09375
70,0.15136719
71,-0.25390625
72,0.0546875
73,0.016113281
74,0.020385742
75,0.02355957
76,-0.3203125
77,0.09423828
78,-0.07421875
79,0.50390625
80,-0.22265625
81,-0.3046875
82,0.123046875
83,0.040771484
84,-0.08544922
85,-0.15234375
86,-0.092285156
87,-0.12695312
88,-0.40039062
89,0.12695312
90,-0.05102539
91,0.06591797
92,-0.32617188
93,0.095703125
94,0.07714844
95,-0.4296875
96,0.111816406
97,-0.18847656
98,0.30664062
99,0.27148438
100,-0.19433594
101,0.011047363
102,-0.25195312
103,-0.13867188
104,-0.26953125
105,0.10058594
106,-0.052246094
107,-0.23632812
108,-0.2421875
109,0.015563965
110,0.19433594
111,0.15332031
112,-0.19726562
113,0.47460938
114,-0.24707031
115,-0.0154418945
116,0.49023438
117,0.41992188
118,0.12988281
119,0.0099487305
120,-0.3125
121,0.12158203
122,-0.23242188
123,-0.075683594
124,0.095703125
125,0.07373047
126,-0.39257812
127,-0.13867188
128,-0.515625
129,0.118652344
130,0.04272461
131,0.12597656
132,-0.265625
133,-0.13671875
134,-0.21777344
135,-0.0034179688
136,-0.17089844
137,-0.1875
138,0.08496094
139,0.515625
140,0.3203125
141,-0.15722656
142,0.03540039
143,-0.030395508
144,0.15722656
145,0.12988281
146,-0.234375
147,-0.080566406
148,0.28125
149,-0.19628906
150,0.11425781
151,-0.068847656
152,-0.17871094
153,0.25976562
154,0.34179688
155,-0.32226562
156,0.0024108887
157,0.51171875
158,-0.18847656
159,-0.006652832
160,-0.3828125
161,0.12890625
162,0.13867188
163,-0.13476562
164,0.003768921
165,-0.10253906
166,0.04736328
167,-0.06738281
168,0.203125
169,0.46484375
170,0.13769531
171,0.46679688
172,-0.15722656
173,-0.15039062
174,0.10107422
175,-0.091308594
176,0.42578125
177,-0.37890625
178,0.14648438
179,-0.5
180,-0.20117188
181,-0.40820312
182,-0.15625
183,-0.048095703
184,-0.009216309
185,-0.046142578
186,-0.32226562
187,-0.052246094
188,-0.18359375
189,0.013305664
190,-0.11767578
191,0.006439209
192,-0.18164062
193,-0.2265625
194,0.05883789
195,0.42382812
196,0.328125
197,0.055664062
198,0.016601562
199,0.0054016113
200,0.19628906
201,-0.19042969
202,0.3203125
203,-0.23242188
204,0.27539062
205,-0.03955078
206,0.17871094
207,-0.13378906
208,-0.028442383
209,0.01977539
210,-0.013549805
211,-0.34179688
212,0.016235352
213,0.36132812
214,-0.04321289
215,0.020629883
216,-0.22753906
217,0.15917969
218,-0.060546875
219,-0.23144531
220,0.14550781
221,-0.024902344
222,0.37304688
223,0.09033203
224,0.34179688
225,0.26953125
226,-0.059814453
227,0.49804688
228,0.58984375
229,-0.09472656
230,0.037597656
231,0.104003906
232,0.20605469
233,-0.29492188
234,-0.203125
235,0.19433594
236,0.2890625
237,0.41796875
238,-0.0022735596
239,0.037597656
240,0.24023438
241,0.06201172
242,-0.05883789
243,0.24023438
244,0.36328125
245,0.029418945
246,-0.54296875
247,-0.071777344
248,-0.41601562
249,-0.063964844
250,0.51953125
251,-0.19140625
252,0.11767578
253,0.18457031
254,0.24023438
255,-0.18945312
256,-0.041992188
257,-0.027954102
258,0.084472656
259,-0.15625
260,-0.3359375
261,0.25390625
262,0.1484375
263,0.43945312
264,0.09863281
265,0.35742188
266,-0.61328125
267,-0.36132812
268,-0.08984375
269,0.099609375
270,-0.13183594
271,0.27734375
272,0.020019531
273,-0.21484375
274,0.4375
275,0.103027344
276,0.011047363
277,-0.22460938
278,0.072753906
279,-0.051513672
280,-0.087402344
281,-0.37304688
282,0.12402344
283,0.07421875
284,-0.021850586
285,-0.17773438
286,-0.28320312
287,0.15332031
288,0.03540039
289,-0.110839844
290,-0.10205078
291,0.28320312
292,-0.31640625
293,0.13476562
294,0.18847656
295,0.051513672
296,-0.33789062
297,-0.28710938
298,-0.17871094
299,0.021118164
