,South_Africa
0,-0.099121094
1,0.07373047
2,0.0625
3,-0.12207031
4,-0.056396484
5,-0.13476562
6,-0.07128906
7,-0.23535156
8,-0.118652344
9,-0.18457031
10,0.17480469
11,0.083984375
12,0.15234375
13,0.021972656
14,0.04736328
15,0.16503906
16,0.16113281
17,0.25390625
18,-0.078125
19,0.16308594
20,0.15527344
21,-0.15527344
22,0.014953613
23,-0.25390625
24,0.2109375
25,0.20117188
26,-0.25976562
27,-0.15429688
28,0.011230469
29,0.020019531
30,0.072265625
31,-0.29492188
32,-0.47851562
33,-0.05517578
34,0.044677734
35,0.19042969
36,-0.4609375
37,0.12890625
38,0.20898438
39,0.022460938
40,0.10888672
41,-0.16503906
42,0.24707031
43,0.29296875
44,-0.13867188
45,0.26757812
46,-0.010803223
47,-0.1328125
48,-0.022094727
49,0.21875
50,-0.19921875
51,-0.104003906
52,-0.026855469
53,-0.13769531
54,0.107910156
55,0.028076172
56,-0.359375
57,-0.14257812
58,-0.25
59,-0.057373047
60,-0.16308594
61,-0.07714844
62,-0.02709961
63,-0.111328125
64,-0.13476562
65,0.042236328
66,0.046142578
67,-0.20898438
68,0.16308594
69,0.009399414
70,-0.23339844
71,-0.22070312
72,-0.036132812
73,0.24414062
74,0.049560547
75,-0.021362305
76,0.16796875
77,0.09814453
78,-0.12988281
79,0.20898438
80,0.029418945
81,-0.021606445
82,-0.17285156
83,-0.099609375
84,0.027832031
85,-0.006713867
86,-0.076660156
87,-0.1875
88,-0.07128906
89,0.11767578
90,0.2734375
91,0.22363281
92,-0.27539062
93,0.03112793
94,-0.10058594
95,-0.125
96,0.18261719
97,-0.29296875
98,0.171875
99,0.040283203
100,0.100097656
101,-0.09472656
102,-0.03466797
103,0.012145996
104,-0.22460938
105,0.07421875
106,0.13769531
107,-0.13183594
108,-0.076171875
109,-0.09375
110,0.07128906
111,-0.06982422
112,0.11230469
113,0.02746582
114,0.119628906
115,-0.0859375
116,-0.038085938
117,-0.103027344
118,0.3828125
119,0.15136719
120,-0.26953125
121,-0.19140625
122,-0.040771484
123,0.010864258
124,-0.12597656
125,0.15429688
126,0.11816406
127,0.125
128,-0.38085938
129,0.08251953
130,0.07861328
131,0.12207031
132,-0.1640625
133,-0.03466797
134,-0.032958984
135,-0.06689453
136,0.076660156
137,0.31835938
138,-0.009094238
139,0.10058594
140,0.16796875
141,-0.0546875
142,0.2734375
143,0.22070312
144,-0.0390625
145,0.21875
146,0.10888672
147,0.03466797
148,0.25976562
149,-0.016235352
150,0.20117188
151,-0.22167969
152,0.004547119
153,-0.0037384033
154,0.011291504
155,-0.1640625
156,-0.32617188
157,-0.0012664795
158,-0.04272461
159,-0.061523438
160,-0.091308594
161,0.091308594
162,0.08496094
163,-0.11279297
164,-0.037841797
165,-0.22558594
166,0.103515625
167,0.0010528564
168,-0.24511719
169,0.12158203
170,-0.21582031
171,0.46484375
172,-0.042236328
173,-0.07470703
174,-0.13574219
175,-0.24804688
176,0.20996094
177,-0.4140625
178,0.010498047
179,0.014831543
180,-0.014160156
181,-0.12109375
182,-0.12890625
183,-0.047851562
184,0.06591797
185,0.030273438
186,0.0041503906
187,-0.011169434
188,-0.0039978027
189,0.1796875
190,-0.2265625
191,0.08251953
192,-0.27929688
193,-0.12792969
194,-0.071777344
195,0.3359375
196,0.15722656
197,0.05883789
198,-0.11425781
199,-0.30078125
200,0.25195312
201,-0.23632812
202,0.09863281
203,-0.13183594
204,-0.115234375
205,0.013916016
206,-0.16894531
207,-0.14160156
208,-0.060302734
209,-0.111816406
210,-0.06982422
211,-0.049072266
212,-0.037841797
213,0.22949219
214,-0.09033203
215,-0.06298828
216,0.049316406
217,0.010498047
218,-0.067871094
219,-0.05078125
220,-0.12207031
221,-0.05834961
222,-0.3359375
223,0.0020599365
224,-0.018920898
225,0.34570312
226,0.22753906
227,0.02319336
228,0.23144531
229,-0.010437012
230,-0.27148438
231,0.020385742
232,0.07373047
233,0.122558594
234,0.084472656
235,0.10107422
236,0.049072266
237,0.3125
238,-0.13671875
239,-0.24414062
240,0.0051879883
241,-0.087890625
242,-0.115234375
243,-0.09423828
244,-0.06298828
245,-0.08251953
246,-0.20019531
247,-0.17089844
248,-0.063964844
249,0.029907227
250,0.19433594
251,0.30859375
252,0.24707031
253,-0.0054016113
254,0.23828125
255,0.05444336
256,-0.057861328
257,0.046142578
258,0.08642578
259,-0.046142578
260,-0.091308594
261,0.075683594
262,0.22070312
263,0.41796875
264,0.23046875
265,-0.23242188
266,-0.1953125
267,-0.016479492
268,-0.12988281
269,0.08300781
270,-0.0041503906
271,0.035888672
272,0.123046875
273,0.12402344
274,0.21875
275,-0.16992188
276,0.08935547
277,0.03173828
278,0.02709961
279,-0.18652344
280,-0.025146484
281,-0.25
282,0.05908203
283,-0.2734375
284,-0.27929688
285,0.087402344
286,0.203125
287,0.080566406
288,-0.060546875
289,0.13476562
290,0.05053711
291,-0.0390625
292,-0.083984375
293,0.051513672
294,-0.21289062
295,0.21386719
296,0.036621094
297,-0.140625
298,0.036376953
299,-0.296875
