,China
0,-0.07324219
1,0.13574219
2,0.10888672
3,0.08300781
4,-0.12792969
5,-0.22753906
6,0.15136719
7,-0.045654297
8,-0.06542969
9,0.034423828
10,-0.140625
11,-0.02355957
12,0.24609375
13,-0.27148438
14,-0.1875
15,-0.118652344
16,-0.064941406
17,0.03515625
18,0.014221191
19,-0.12890625
20,0.22558594
21,-0.32617188
22,0.020141602
23,-0.016845703
24,0.079589844
25,0.15234375
26,-0.041259766
27,0.049560547
28,-0.06689453
29,0.3828125
30,-0.051757812
31,-0.16601562
32,-0.421875
33,-0.11767578
34,0.19921875
35,-0.051513672
36,-0.061767578
37,0.16210938
38,0.34765625
39,0.2109375
40,0.14941406
41,0.029663086
42,-0.00077056885
43,0.041503906
44,0.106933594
45,0.16210938
46,-0.16113281
47,0.23339844
48,-0.14550781
49,0.060058594
50,0.091308594
51,0.13183594
52,-0.09375
53,0.12011719
54,0.006439209
55,0.28320312
56,-0.37890625
57,-0.12988281
58,0.3359375
59,-0.19335938
60,0.015197754
61,0.11279297
62,-0.06982422
63,-0.051757812
64,-0.15429688
65,-0.036621094
66,-0.034423828
67,-0.15234375
68,0.15234375
69,0.12402344
70,-0.36328125
71,-0.02355957
72,0.0625
73,0.037109375
74,0.12402344
75,-0.2265625
76,0.14648438
77,0.08984375
78,-0.10986328
79,0.20605469
80,0.10253906
81,-0.1875
82,0.014953613
83,0.012756348
84,-0.22070312
85,-0.19433594
86,-0.025756836
87,-0.079589844
88,0.026489258
89,0.020019531
90,0.07470703
91,-0.012573242
92,-0.26367188
93,-0.07519531
94,-0.096191406
95,-0.07373047
96,0.02734375
97,-0.10449219
98,0.12988281
99,0.12011719
100,-0.24414062
101,-0.09326172
102,-0.10449219
103,0.07324219
104,0.037597656
105,0.111816406
106,-0.012023926
107,-0.23632812
108,0.06640625
109,0.06542969
110,-0.08251953
111,-0.07421875
112,-0.091796875
113,-0.04272461
114,0.05493164
115,0.10253906
116,-0.026245117
117,-0.035888672
118,0.024414062
119,0.14257812
120,-0.11328125
121,-0.10644531
122,-0.19921875
123,0.21484375
124,-0.15429688
125,0.051513672
126,-0.072265625
127,0.057373047
128,-0.34179688
129,-0.080078125
130,-0.13769531
131,0.3203125
132,0.033935547
133,0.119140625
134,-0.22070312
135,-0.0072021484
136,-0.115722656
137,0.07373047
138,-0.042236328
139,0.02734375
140,0.296875
141,-0.12109375
142,0.060791016
143,0.19335938
144,0.09765625
145,0.17773438
146,0.19140625
147,0.12988281
148,-0.088378906
149,-0.08544922
150,0.28125
151,-0.28515625
152,0.23339844
153,-0.088378906
154,-0.012145996
155,-0.22460938
156,-0.33007812
157,-0.08251953
158,0.15722656
159,0.07080078
160,-0.20410156
161,0.026977539
162,0.018310547
163,0.011413574
164,0.027954102
165,-0.27734375
166,0.079589844
167,0.09082031
168,-0.048095703
169,0.12890625
170,-0.15625
171,0.20898438
172,0.15722656
173,-0.032226562
174,0.24414062
175,-0.30273438
176,0.0703125
177,-0.10498047
178,-0.055664062
179,-0.40625
180,-0.040039062
181,-0.09716797
182,0.11328125
183,-0.13476562
184,0.25390625
185,-0.12109375
186,0.24511719
187,0.17089844
188,0.05053711
189,0.040283203
190,-0.009216309
191,-0.115722656
192,-0.19335938
193,0.026611328
194,-0.13085938
195,0.24707031
196,-0.115234375
197,-0.578125
198,-0.16113281
199,-0.23828125
200,0.0036773682
201,-0.08935547
202,0.052490234
203,0.05053711
204,-0.31445312
205,0.017578125
206,-0.083496094
207,-0.49414062
208,-0.16894531
209,0.16601562
210,-0.25195312
211,-0.04272461
212,-0.012573242
213,0.3125
214,-0.015014648
215,-0.06982422
216,-0.0859375
217,0.18652344
218,0.030151367
219,0.06347656
220,-0.041015625
221,0.106933594
222,-0.16015625
223,0.08105469
224,0.044921875
225,-0.15820312
226,-0.08496094
227,0.0625
228,0.13476562
229,-0.08935547
230,-0.08984375
231,0.06982422
232,0.24316406
233,-0.13378906
234,0.095214844
235,0.08935547
236,-0.32617188
237,0.09863281
238,0.04345703
239,-0.17675781
240,0.03125
241,-0.10107422
242,-0.12695312
243,-0.004425049
244,0.104003906
245,-0.03515625
246,-0.26953125
247,-0.038330078
248,0.13378906
249,-0.26757812
250,0.01361084
251,-0.100097656
252,0.17382812
253,-0.018188477
254,-0.047851562
255,0.21875
256,0.15722656
257,-0.17578125
258,-0.09667969
259,0.18359375
260,0.026245117
261,-0.08496094
262,0.359375
263,-0.06982422
264,0.21972656
265,0.08544922
266,-0.296875
267,-0.18847656
268,0.18261719
269,0.18554688
270,-0.31640625
271,0.107421875
272,0.022094727
273,-0.09423828
274,-0.0063476562
275,0.059326172
276,-0.08935547
277,-0.11230469
278,0.02746582
279,-0.04272461
280,0.055908203
281,0.056884766
282,0.21679688
283,-0.053955078
284,-0.03955078
285,0.03930664
286,-0.09326172
287,0.17578125
288,0.011657715
289,0.18945312
290,0.140625
291,0.087402344
292,0.15234375
293,0.079589844
294,0.0063476562
295,-0.037841797
296,-0.18359375
297,0.13769531
298,0.09375
299,-0.079589844
