,Ethiopia
0,-0.021484375
1,0.28125
2,0.096191406
3,0.21875
4,-0.18164062
5,-0.029663086
6,0.021850586
7,-0.13769531
8,-0.47265625
9,-0.0126953125
10,0.030517578
11,-0.0115356445
12,0.038085938
13,0.041748047
14,0.15917969
15,0.24511719
16,-0.24609375
17,0.024291992
18,-0.24414062
19,0.076171875
20,0.029174805
21,0.10986328
22,0.11376953
23,-0.18164062
24,0.26367188
25,0.09765625
26,0.0036773682
27,-0.05419922
28,0.07080078
29,-0.0025177002
30,0.100097656
31,-0.27929688
32,-0.24023438
33,-0.17578125
34,-0.33007812
35,0.09863281
36,-0.44335938
37,-0.0087890625
38,0.24121094
39,-0.057128906
40,-0.092285156
41,0.35742188
42,0.115722656
43,0.2578125
44,0.2578125
45,0.13378906
46,-0.39453125
47,0.06591797
48,0.0703125
49,0.024047852
50,0.072753906
51,-0.3515625
52,-0.328125
53,-0.16601562
54,-0.13769531
55,0.19042969
56,-0.3671875
57,0.34375
58,-0.27148438
59,-0.14355469
60,0.12792969
61,-0.16796875
62,0.25390625
63,0.01586914
64,0.014404297
65,-0.22949219
66,0.13183594
67,-0.14257812
68,-0.030151367
69,-0.10205078
70,-0.35742188
71,0.09814453
72,-0.18261719
73,0.033447266
74,-0.15332031
75,-0.29296875
76,-0.0032958984
77,0.06982422
78,-0.03881836
79,0.17578125
80,-0.16503906
81,-0.17382812
82,-0.022827148
83,-0.030761719
84,-0.16113281
85,-0.29101562
86,0.21582031
87,0.08935547
88,0.083496094
89,0.14257812
90,-0.06640625
91,-0.019165039
92,-0.5
93,-0.022216797
94,-0.064453125
95,-0.29101562
96,0.041748047
97,0.07910156
98,0.1796875
99,0.14550781
100,-0.23632812
101,0.026489258
102,0.020385742
103,-0.07373047
104,-0.15625
105,0.17382812
106,-0.16210938
107,-0.19140625
108,-0.099609375
109,-0.0069885254
110,0.026000977
111,0.17285156
112,-0.16894531
113,-0.16015625
114,-0.063964844
115,-0.20214844
116,-0.0095825195
117,-0.0027160645
118,0.12597656
119,0.07373047
120,-0.2578125
121,-0.11035156
122,-0.17773438
123,0.056884766
124,-0.42773438
125,0.23046875
126,-0.24609375
127,0.12451172
128,-0.33398438
129,0.16699219
130,0.10058594
131,0.15722656
132,0.140625
133,-0.049072266
134,-0.14550781
135,-0.002456665
136,-0.15136719
137,-0.1875
138,0.16113281
139,0.31640625
140,0.111328125
141,0.020751953
142,0.25
143,-0.18164062
144,0.14257812
145,0.040283203
146,0.063964844
147,0.25195312
148,-0.00793457
149,-0.008117676
150,0.17382812
151,-0.052490234
152,0.092285156
153,-0.040283203
154,0.3359375
155,-0.22070312
156,-0.17675781
157,0.30078125
158,-0.08984375
159,-0.08544922
160,-0.53125
161,0.1328125
162,0.18652344
163,-0.06689453
164,0.049804688
165,-0.080566406
166,0.32421875
167,-0.22949219
168,0.08984375
169,0.2578125
170,-0.18554688
171,0.296875
172,0.114746094
173,0.16992188
174,-0.04345703
175,-0.35546875
176,0.19921875
177,-0.34570312
178,0.024291992
179,-0.41796875
180,-0.390625
181,-0.24023438
182,-0.091308594
183,-0.080078125
184,-0.296875
185,-0.0033874512
186,0.05126953
187,0.11816406
188,-0.02746582
189,0.17480469
190,0.0017623901
191,-0.14550781
192,-0.0859375
193,-0.21582031
194,0.06640625
195,0.47460938
196,0.14550781
197,-0.20898438
198,-0.17871094
199,-0.22363281
200,-0.08984375
201,-0.20703125
202,0.39453125
203,0.041015625
204,-0.06982422
205,0.0054016113
206,0.06591797
207,-0.05493164
208,-0.171875
209,0.055419922
210,-0.14941406
211,-0.016479492
212,0.024536133
213,-0.05883789
214,-0.18261719
215,0.022094727
216,-0.06347656
217,0.15039062
218,0.05859375
219,-0.12792969
220,-0.17773438
221,0.0013580322
222,0.19433594
223,0.15332031
224,0.15234375
225,-0.017578125
226,0.100097656
227,0.033691406
228,0.40234375
229,-0.19140625
230,0.030883789
231,0.15527344
232,-0.115722656
233,-4.2915344e-06
234,0.009765625
235,0.22167969
236,0.10058594
237,0.048339844
238,0.19433594
239,-0.15332031
240,0.140625
241,-0.25390625
242,0.060546875
243,0.16113281
244,0.19042969
245,0.18945312
246,-0.3359375
247,-0.09814453
248,0.06640625
249,-0.27539062
250,-0.028198242
251,0.119140625
252,0.030029297
253,0.033691406
254,0.10205078
255,-0.064941406
256,0.20800781
257,-0.039794922
258,0.114746094
259,0.12988281
260,-0.07861328
261,0.14941406
262,0.11279297
263,0.2734375
264,-0.04272461
265,0.080078125
266,-0.45507812
267,-0.019897461
268,0.118652344
269,0.11328125
270,-0.1328125
271,0.07714844
272,0.11669922
273,-0.061523438
274,0.23730469
275,-0.045654297
276,-0.010253906
277,-0.087890625
278,0.2265625
279,-0.088378906
280,0.14746094
281,-0.050048828
282,0.083496094
283,-0.13867188
284,-0.0027313232
285,-0.10253906
286,-0.022338867
287,0.022094727
288,0.019897461
289,0.14257812
290,-0.34960938
291,0.23242188
292,-0.18164062
293,-0.12109375
294,-0.040771484
295,0.12060547
296,-0.28125
297,-0.05517578
298,0.115234375
299,0.21582031
