,Angola
0,-0.09765625
1,0.00065612793
2,0.25390625
3,0.020874023
4,-0.020629883
5,-0.25
6,-0.171875
7,-0.36328125
8,-0.20507812
9,-0.20019531
10,0.114746094
11,0.009460449
12,0.095703125
13,0.24804688
14,0.18066406
15,0.09667969
16,0.04736328
17,0.119140625
18,-0.015991211
19,0.22363281
20,0.33984375
21,-0.33007812
22,0.10644531
23,0.30664062
24,0.30859375
25,0.02331543
26,0.119140625
27,-0.21386719
28,0.021240234
29,0.20019531
30,-0.17285156
31,-0.27734375
32,-0.44335938
33,-0.18261719
34,-0.09423828
35,0.19140625
36,-0.09814453
37,0.22558594
38,0.15429688
39,0.18066406
40,0.036621094
41,0.22167969
42,0.17871094
43,0.2734375
44,0.21679688
45,0.18554688
46,-0.12402344
47,0.08203125
48,-0.22753906
49,0.36328125
50,-0.09277344
51,-0.047851562
52,-0.1171875
53,-0.23730469
54,-0.071777344
55,0.16210938
56,-0.49609375
57,0.107421875
58,-0.095703125
59,0.068359375
60,-0.03564453
61,-0.17382812
62,0.045166016
63,0.0234375
64,-0.05859375
65,-0.12792969
66,0.15332031
67,-0.48828125
68,-0.027954102
69,0.037353516
70,-0.2734375
71,-0.109375
72,0.06298828
73,0.21289062
74,-0.022583008
75,0.03515625
76,-0.05029297
77,-0.123535156
78,-0.076171875
79,0.30273438
80,-0.26757812
81,-0.34179688
82,-0.13085938
83,-0.047607422
84,0.17382812
85,-0.14746094
86,-0.037597656
87,0.107910156
88,0.099121094
89,-0.039794922
90,0.12988281
91,0.041503906
92,-0.2578125
93,0.25976562
94,0.04248047
95,0.009216309
96,0.22070312
97,-0.20800781
98,0.2265625
99,-0.06347656
100,0.09667969
101,0.040771484
102,-0.08886719
103,-0.20605469
104,-0.19726562
105,0.14648438
106,0.078125
107,-0.34765625
108,-0.29101562
109,0.09716797
110,-0.043945312
111,0.037109375
112,-0.047851562
113,-0.16699219
114,-0.16601562
115,0.23632812
116,0.15234375
117,0.10205078
118,0.17382812
119,-0.031982422
120,-0.16796875
121,0.04638672
122,-0.19140625
123,-0.11425781
124,-0.33007812
125,0.10107422
126,-0.16699219
127,0.037109375
128,-0.53125
129,0.032226562
130,-0.17871094
131,-0.040771484
132,-0.15820312
133,-0.15527344
134,-0.22753906
135,-0.16992188
136,-0.24121094
137,0.1484375
138,-0.061279297
139,0.06298828
140,-0.1484375
141,-0.022460938
142,0.08642578
143,0.080078125
144,-0.119140625
145,0.14746094
146,0.007507324
147,0.04736328
148,-0.025756836
149,-0.19042969
150,-0.023925781
151,-0.14941406
152,-0.016601562
153,0.075683594
154,0.49804688
155,0.05102539
156,-0.25
157,0.5625
158,-0.18945312
159,-0.114746094
160,0.013793945
161,0.2734375
162,-0.14453125
163,-0.020874023
164,0.27148438
165,0.14648438
166,-0.30859375
167,0.015991211
168,0.14941406
169,0.31054688
170,-0.36523438
171,0.33007812
172,-0.07421875
173,-0.203125
174,0.04736328
175,-0.30078125
176,0.14550781
177,-0.44335938
178,0.078125
179,-0.12402344
180,-0.18261719
181,-0.103515625
182,-0.14746094
183,0.06347656
184,-0.19726562
185,-0.057373047
186,0.30078125
187,-0.016357422
188,-0.024169922
189,0.041503906
190,0.039794922
191,-0.03466797
192,-0.23339844
193,-0.036621094
194,-0.08300781
195,0.33398438
196,-0.037109375
197,0.09716797
198,-0.43945312
199,-0.027954102
200,0.328125
201,0.14257812
202,-0.20898438
203,-0.1875
204,0.08691406
205,-0.20507812
206,-0.03100586
207,-0.3125
208,-0.19042969
209,0.018554688
210,-0.23632812
211,0.008178711
212,-0.16699219
213,0.14355469
214,0.037353516
215,0.068359375
216,0.12792969
217,-0.029541016
218,0.08251953
219,0.036376953
220,-0.29492188
221,-0.05029297
222,-0.19042969
223,-0.028564453
224,0.083984375
225,-0.095703125
226,0.1640625
227,0.3359375
228,0.55078125
229,-0.025756836
230,-0.06347656
231,-0.040039062
232,-0.057128906
233,0.078125
234,-0.04638672
235,-0.017211914
236,-0.057617188
237,0.088378906
238,-0.1015625
239,-0.14746094
240,0.31445312
241,-0.08105469
242,-0.20117188
243,-0.110839844
244,-0.06689453
245,-0.006286621
246,-0.119140625
247,-0.087890625
248,0.114746094
249,-0.06640625
250,0.08544922
251,0.07910156
252,0.09033203
253,-0.051513672
254,0.3125
255,0.026245117
256,0.122558594
257,-0.020996094
258,0.203125
259,0.171875
260,0.08984375
261,0.19238281
262,0.31835938
263,0.29882812
264,0.22167969
265,0.08984375
266,-0.40234375
267,0.030761719
268,-0.34765625
269,0.359375
270,-0.10058594
271,0.011474609
272,0.021240234
273,-0.22753906
274,0.34960938
275,-0.099121094
276,0.02746582
277,-0.044921875
278,-0.045166016
279,-0.06347656
280,-0.23730469
281,-0.27734375
282,0.19824219
283,-0.05126953
284,-0.28515625
285,0.010925293
286,-0.072753906
287,-0.046142578
288,0.11425781
289,-0.006072998
290,-0.11621094
291,0.033691406
292,-0.140625
293,-0.23925781
294,-0.016601562
295,0.19921875
296,0.015136719
297,-0.05493164
298,-0.18457031
299,-0.040527344
