,Cambodia
0,-0.010070801
1,0.013916016
2,0.017822266
3,0.10644531
4,-0.10839844
5,-0.053710938
6,0.14746094
7,-0.28320312
8,-0.092285156
9,0.050048828
10,0.25390625
11,-0.09814453
12,0.17773438
13,-0.20214844
14,-0.009399414
15,0.024414062
16,-0.36523438
17,0.20410156
18,0.05883789
19,-0.0703125
20,0.09082031
21,-0.3203125
22,0.15136719
23,0.09765625
24,0.011169434
25,-0.27539062
26,-0.01977539
27,0.012329102
28,0.27929688
29,0.12890625
30,-0.33789062
31,-0.21777344
32,-0.27929688
33,-0.07714844
34,0.00044250488
35,-0.0027923584
36,-0.30859375
37,0.05126953
38,0.37890625
39,-0.123046875
40,-0.28320312
41,0.19921875
42,0.20507812
43,-0.07324219
44,0.17773438
45,0.06298828
46,-0.2578125
47,0.15039062
48,0.1796875
49,0.11230469
50,0.04296875
51,-0.16015625
52,-0.28320312
53,0.076660156
54,-0.16992188
55,0.0058898926
56,-0.39257812
57,-0.12597656
58,-0.016113281
59,0.020263672
60,0.17480469
61,0.037597656
62,0.15820312
63,0.04321289
64,-0.0023498535
65,-0.11669922
66,0.14160156
67,-0.08544922
68,0.103515625
69,0.12890625
70,-0.15820312
71,-0.03857422
72,0.06640625
73,0.018798828
74,-0.0013046265
75,-0.51171875
76,0.29492188
77,0.19726562
78,0.21484375
79,0.41796875
80,-0.34179688
81,-0.107910156
82,-0.20410156
83,0.010498047
84,-0.0703125
85,-0.29492188
86,-0.075683594
87,-0.008728027
88,0.052978516
89,-0.13769531
90,0.12890625
91,0.36328125
92,-0.22070312
93,-0.25195312
94,-0.114746094
95,-0.13574219
96,0.092285156
97,-0.21386719
98,0.15820312
99,0.09277344
100,-0.27539062
101,0.375
102,0.049804688
103,-0.123046875
104,0.20019531
105,0.046142578
106,-0.17578125
107,-0.28515625
108,-0.08496094
109,0.19433594
110,0.0026245117
111,0.12109375
112,-0.07373047
113,-0.14941406
114,0.013366699
115,-0.18066406
116,-0.043701172
117,-0.27929688
118,0.107910156
119,0.1640625
120,-0.057861328
121,-0.017456055
122,-0.01940918
123,-0.0005187988
124,-0.095703125
125,0.34765625
126,-0.2265625
127,-0.16015625
128,-0.09765625
129,0.104003906
130,0.019165039
131,0.15917969
132,0.018310547
133,0.026611328
134,-0.35351562
135,0.0390625
136,-0.19726562
137,-0.07470703
138,0.103515625
139,0.17578125
140,-0.011474609
141,-0.13476562
142,0.30664062
143,0.088378906
144,0.32226562
145,-0.080078125
146,-0.18164062
147,0.13964844
148,-0.08691406
149,0.05419922
150,0.54296875
151,-0.33789062
152,-0.0072631836
153,0.037841797
154,0.21679688
155,-0.2265625
156,-0.26367188
157,0.049804688
158,-0.13964844
159,0.12695312
160,-0.37304688
161,-0.057373047
162,-0.087402344
163,0.025024414
164,-0.11621094
165,-0.19238281
166,0.13964844
167,-0.119628906
168,0.05102539
169,-0.013305664
170,0.16308594
171,0.3671875
172,0.057617188
173,-0.15332031
174,0.0079956055
175,-0.16308594
176,0.07714844
177,0.12597656
178,0.18847656
179,-0.25585938
180,-0.075683594
181,-0.08886719
182,-0.18261719
183,-0.171875
184,0.029663086
185,-0.19726562
186,0.2890625
187,0.043945312
188,0.103027344
189,0.053710938
190,-0.43359375
191,-0.38085938
192,0.016357422
193,-0.15527344
194,0.1328125
195,0.25585938
196,0.026245117
197,-0.33203125
198,0.005279541
199,-0.099121094
200,0.048583984
201,-0.06738281
202,0.30078125
203,-0.06298828
204,-0.22363281
205,-0.029907227
206,-0.23632812
207,-0.20605469
208,-0.2734375
209,0.12695312
210,0.17089844
211,-0.040283203
212,-0.05859375
213,-0.08154297
214,0.10644531
215,0.052490234
216,-0.2734375
217,0.30078125
218,0.25
219,-0.22070312
220,-0.15625
221,-0.034179688
222,0.00049591064
223,0.030761719
224,0.14746094
225,-0.19628906
226,0.16503906
227,0.15820312
228,0.125
229,-0.16503906
230,0.01965332
231,-0.15917969
232,0.03540039
233,-0.095214844
234,0.18847656
235,0.08691406
236,-0.1328125
237,0.11425781
238,0.095703125
239,-0.10449219
240,0.20605469
241,-0.20996094
242,-0.13964844
243,0.171875
244,0.0015640259
245,0.022583008
246,-0.41796875
247,-0.051513672
248,0.23925781
249,-0.19824219
250,-0.12988281
251,-0.06689453
252,-0.030883789
253,-0.05834961
254,0.09716797
255,-0.18945312
256,0.3359375
257,-0.052734375
258,0.052734375
259,-0.021606445
260,0.15722656
261,0.17675781
262,0.46289062
263,0.055908203
264,0.22265625
265,0.20996094
266,-0.39648438
267,-0.103027344
268,0.37695312
269,0.10839844
270,0.100097656
271,0.06201172
272,-0.01953125
273,-0.052490234
274,0.19140625
275,-0.052978516
276,0.016113281
277,-0.17089844
278,-0.13964844
279,-0.119140625
280,0.076660156
281,-0.084472656
282,0.1640625
283,-0.035888672
284,0.3828125
285,-0.02319336
286,-0.04321289
287,-0.021972656
288,0.016113281
289,0.29882812
290,-0.0390625
291,0.16308594
292,-0.036865234
293,-0.023803711
294,-0.0099487305
295,0.040039062
296,-0.21386719
297,0.04272461
298,0.19238281
299,0.44335938
