,Laos
0,0.012634277
1,-0.060058594
2,0.20703125
3,0.13769531
4,-0.18359375
5,-0.056396484
6,0.07861328
7,-0.12597656
8,-0.076171875
9,0.14648438
10,0.1640625
11,-0.17773438
12,0.1640625
13,0.022949219
14,0.25195312
15,-0.122558594
16,-0.19433594
17,0.30859375
18,0.012268066
19,-0.032958984
20,-0.0057678223
21,-0.33007812
22,-0.12451172
23,0.044189453
24,0.051513672
25,-0.33007812
26,-0.087402344
27,-0.0003414154
28,0.15917969
29,0.1015625
30,-0.35351562
31,-0.29296875
32,-0.091308594
33,-0.15527344
34,-0.28125
35,0.17480469
36,-0.12597656
37,0.08984375
38,0.52734375
39,-0.15820312
40,-0.28515625
41,0.10839844
42,0.13574219
43,-0.030029297
44,-0.009216309
45,0.009338379
46,-0.03540039
47,0.068847656
48,0.24902344
49,0.024169922
50,-0.20214844
51,-0.19726562
52,-0.060791016
53,-0.033203125
54,-0.3125
55,-0.15429688
56,-0.27929688
57,0.13085938
58,-0.014343262
59,0.15136719
60,-0.10839844
61,-0.10595703
62,0.051513672
63,0.15332031
64,-0.125
65,-0.34179688
66,0.30859375
67,-0.23144531
68,0.026855469
69,0.39257812
70,-0.08691406
71,-0.17871094
72,0.076171875
73,-0.0044555664
74,0.008117676
75,-0.26171875
76,0.03149414
77,-0.12451172
78,0.1328125
79,0.34960938
80,-0.20605469
81,-0.100097656
82,-0.064941406
83,-0.09033203
84,-0.14453125
85,-0.31640625
86,-0.22460938
87,-0.27539062
88,0.106933594
89,-0.053222656
90,0.13671875
91,0.13183594
92,-0.20214844
93,-0.05078125
94,-0.03930664
95,-0.12011719
96,0.052734375
97,-0.21289062
98,0.06689453
99,0.01953125
100,-0.38085938
101,0.24511719
102,0.037353516
103,-0.02368164
104,0.15625
105,0.09277344
106,-0.19238281
107,-0.14746094
108,-0.011291504
109,0.09326172
110,0.10449219
111,0.21679688
112,-0.18945312
113,-0.18066406
114,-0.072753906
115,0.15039062
116,0.087402344
117,-0.12597656
118,-0.029174805
119,0.0390625
120,-0.012756348
121,-0.037597656
122,-0.08642578
123,-0.13867188
124,-0.09326172
125,0.26367188
126,-0.06689453
127,0.08154297
128,-0.3046875
129,0.21679688
130,0.009216309
131,0.32421875
132,0.119628906
133,0.020263672
134,-0.37109375
135,0.057373047
136,-0.1953125
137,-0.06298828
138,0.021972656
139,0.27539062
140,-0.15039062
141,-0.21191406
142,-0.096191406
143,0.08154297
144,0.13183594
145,-0.111816406
146,-0.19628906
147,-0.07128906
148,-0.31640625
149,-0.037353516
150,0.45117188
151,-0.3359375
152,0.084472656
153,0.14453125
154,0.27539062
155,-0.30078125
156,-0.14648438
157,-0.08105469
158,0.107421875
159,0.08203125
160,-0.40625
161,0.049804688
162,0.11328125
163,0.17089844
164,-0.3125
165,-0.28320312
166,0.110839844
167,0.03491211
168,0.16601562
169,0.005126953
170,-0.034179688
171,0.55078125
172,-9.059906e-06
173,-0.051513672
174,0.17382812
175,-0.2734375
176,0.33203125
177,-0.061523438
178,0.20996094
179,-0.2265625
180,-0.28515625
181,-0.3125
182,-0.13769531
183,0.036865234
184,0.0069885254
185,-0.33398438
186,0.18164062
187,-0.049072266
188,-0.059326172
189,0.11425781
190,-0.125
191,-0.20898438
192,0.023071289
193,-0.052734375
194,0.24609375
195,0.14941406
196,-0.042236328
197,-0.095703125
198,-0.18164062
199,-0.07324219
200,0.19726562
201,0.21777344
202,0.3671875
203,0.05493164
204,-0.06982422
205,-0.071777344
206,0.021362305
207,-0.14941406
208,-0.107421875
209,-0.10888672
210,0.028442383
211,-0.091308594
212,0.08105469
213,-0.118652344
214,0.14160156
215,0.059326172
216,0.16308594
217,0.35546875
218,0.12890625
219,-0.24511719
220,-0.04663086
221,-0.2421875
222,-0.109375
223,-0.015625
224,-0.0014877319
225,-0.38085938
226,0.015197754
227,0.14648438
228,0.06982422
229,-0.19824219
230,-0.03955078
231,-0.043701172
232,0.10986328
233,0.0014343262
234,0.13867188
235,0.18457031
236,-0.21386719
237,0.1953125
238,0.18164062
239,-0.15234375
240,0.016113281
241,-0.0006904602
242,-0.047851562
243,0.07714844
244,-0.09472656
245,0.008117676
246,-0.41601562
247,-0.091796875
248,0.05859375
249,-0.21289062
250,-0.16113281
251,0.0029449463
252,-0.02331543
253,0.103027344
254,0.011230469
255,-0.16699219
256,0.29882812
257,-0.18457031
258,-0.15625
259,0.106933594
260,0.06738281
261,0.05883789
262,0.45898438
263,0.10058594
264,0.026245117
265,0.15136719
266,-0.47070312
267,-0.25976562
268,0.29492188
269,0.19335938
270,0.080078125
271,-0.067871094
272,0.12890625
273,-0.0070495605
274,0.21582031
275,0.035888672
276,-0.01586914
277,-0.2265625
278,-0.27539062
279,-0.02331543
280,0.14941406
281,-0.13378906
282,0.08544922
283,-0.09375
284,0.038330078
285,0.044677734
286,0.03173828
287,0.052734375
288,-0.061523438
289,0.04711914
290,0.06982422
291,0.122558594
292,-0.05883789
293,0.0006790161
294,-0.021850586
295,-0.18554688
296,-0.36523438
297,-0.22558594
298,0.23828125
299,0.26757812
