,Dominican_Republic
0,-0.13183594
1,0.0055236816
2,0.18457031
3,-0.2109375
4,-0.15625
5,0.10888672
6,-0.039794922
7,-0.15429688
8,-0.037597656
9,-0.18359375
10,0.06689453
11,-0.34765625
12,0.119628906
13,-0.057128906
14,0.30859375
15,-0.0065612793
16,-0.067871094
17,0.3828125
18,0.037597656
19,0.15234375
20,0.21289062
21,-0.104003906
22,0.19140625
23,0.16796875
24,0.12695312
25,0.061035156
26,-0.08691406
27,-0.0048828125
28,-0.2890625
29,0.26171875
30,0.11376953
31,-0.06298828
32,0.016479492
33,0.0073547363
34,-0.15917969
35,-0.051513672
36,-0.28125
37,-0.40039062
38,0.029663086
39,-0.060302734
40,0.06347656
41,0.17382812
42,0.35351562
43,0.061035156
44,0.02746582
45,0.15429688
46,-0.076171875
47,0.064453125
48,0.15332031
49,0.14941406
50,0.14453125
51,0.08154297
52,0.26171875
53,-0.20800781
54,-0.03125
55,0.27148438
56,-0.17773438
57,0.20703125
58,-0.24511719
59,0.013977051
60,0.22753906
61,-0.0012359619
62,0.22363281
63,0.11767578
64,0.3359375
65,-0.014770508
66,-0.12060547
67,-0.19433594
68,0.13671875
69,-0.100097656
70,-0.11279297
71,0.056884766
72,-0.072265625
73,0.13085938
74,0.020874023
75,0.06689453
76,0.1328125
77,-0.123046875
78,-0.12792969
79,-0.004699707
80,-0.27539062
81,-0.05517578
82,-0.39257812
83,-0.32617188
84,-0.061279297
85,-0.30859375
86,-0.103515625
87,0.1328125
88,0.3203125
89,-0.025512695
90,-0.008239746
91,0.22070312
92,-0.43164062
93,-0.09765625
94,-0.24902344
95,0.02709961
96,0.19628906
97,0.041015625
98,-0.095703125
99,-0.0043945312
100,-0.060302734
101,0.16113281
102,-0.02331543
103,-0.083984375
104,0.34960938
105,-0.061767578
106,0.18164062
107,-0.31054688
108,0.0032043457
109,0.31445312
110,0.0703125
111,0.17871094
112,-0.15136719
113,-0.18847656
114,-0.026733398
115,0.546875
116,-0.04321289
117,-0.13378906
118,0.33789062
119,0.26367188
120,-0.20410156
121,-0.35546875
122,0.017822266
123,-0.02709961
124,0.2890625
125,0.14746094
126,-0.109375
127,0.08935547
128,-0.40234375
129,0.17578125
130,-0.09716797
131,0.17089844
132,-0.125
133,-0.14648438
134,0.010192871
135,-0.24707031
136,-0.36914062
137,-0.1015625
138,-0.049560547
139,-0.009094238
140,-0.37695312
141,-0.061279297
142,0.28320312
143,0.095703125
144,0.38671875
145,0.05859375
146,0.056884766
147,-0.09814453
148,0.021850586
149,-0.022827148
150,0.18261719
151,-0.40429688
152,-0.27539062
153,0.055908203
154,0.27539062
155,-0.16308594
156,-0.328125
157,0.06298828
158,0.14257812
159,0.20019531
160,-0.15136719
161,0.059570312
162,0.14257812
163,0.18652344
164,0.064453125
165,-0.15429688
166,-0.011169434
167,-0.028198242
168,0.16894531
169,-0.1484375
170,-0.022094727
171,0.375
172,0.07861328
173,-0.17773438
174,0.00065612793
175,0.15625
176,0.36328125
177,-0.06542969
178,-0.10839844
179,0.095214844
180,-0.22167969
181,-0.17578125
182,-0.13671875
183,0.08203125
184,0.11328125
185,-0.050048828
186,-0.055664062
187,-0.2265625
188,0.19921875
189,-0.05053711
190,0.25585938
191,-0.048828125
192,0.14550781
193,-0.16699219
194,-0.030273438
195,0.453125
196,0.051757812
197,-0.30664062
198,0.032714844
199,-0.24804688
200,0.38671875
201,-0.09814453
202,-0.10595703
203,-0.16894531
204,-0.37304688
205,-0.11376953
206,0.29296875
207,0.0036468506
208,-0.23339844
209,-0.038330078
210,0.119628906
211,-0.23535156
212,-0.24609375
213,0.19921875
214,-0.007232666
215,0.20996094
216,-0.14941406
217,-0.009521484
218,-0.15234375
219,-0.15722656
220,-0.21582031
221,0.020996094
222,-0.22851562
223,0.060058594
224,0.06640625
225,-0.22070312
226,0.20800781
227,0.24023438
228,0.375
229,0.060791016
230,-0.16601562
231,0.09277344
232,0.17871094
233,-0.040039062
234,-0.037109375
235,0.06225586
236,0.026123047
237,-0.20214844
238,0.22070312
239,-0.061279297
240,-0.421875
241,-0.13378906
242,0.071777344
243,0.00680542
244,-0.18359375
245,0.09667969
246,-0.005340576
247,-0.0859375
248,0.08251953
249,-0.234375
250,0.16894531
251,0.14160156
252,0.19335938
253,-0.09375
254,0.13964844
255,0.024536133
256,0.1875
257,-0.00970459
258,-0.02368164
259,0.011779785
260,0.44726562
261,0.088378906
262,0.17871094
263,0.114746094
264,0.2265625
265,-0.09326172
266,-0.15429688
267,-0.22460938
268,-0.11035156
269,-0.033447266
270,-0.25585938
271,0.21484375
272,0.14648438
273,-0.140625
274,0.111328125
275,0.12890625
276,-0.23828125
277,0.14257812
278,-0.107421875
279,0.0049438477
280,0.28710938
281,-0.16601562
282,-0.057861328
283,0.25
284,-0.10546875
285,0.24707031
286,-0.21484375
287,0.24707031
288,-0.26171875
289,-0.07763672
290,0.034423828
291,-0.00079345703
292,-0.08935547
293,-0.1640625
294,0.15820312
295,0.36328125
296,-0.2109375
297,-0.103027344
298,0.30664062
299,-0.045654297
