,New_Zealand
0,-0.037353516
1,-0.28125
2,-0.16015625
3,-0.037597656
4,-0.0625
5,-0.15429688
6,-0.0032043457
7,-0.12988281
8,0.08544922
9,0.044921875
10,0.044921875
11,-0.07861328
12,0.3359375
13,-0.1171875
14,0.12988281
15,-0.018432617
16,-0.041259766
17,0.27539062
18,0.08935547
19,0.12988281
20,0.002456665
21,-0.06201172
22,-0.14746094
23,-0.125
24,0.07324219
25,0.23242188
26,-0.23730469
27,0.071777344
28,-0.050048828
29,0.0018005371
30,0.10107422
31,-0.2421875
32,-0.33007812
33,-0.045410156
34,0.34765625
35,0.09716797
36,-0.27539062
37,-0.06933594
38,0.18261719
39,0.023803711
40,-0.010009766
41,-0.10058594
42,0.122558594
43,0.16601562
44,-0.122558594
45,0.38671875
46,-0.027709961
47,0.03857422
48,0.15332031
49,0.021728516
50,-0.22363281
51,-0.14941406
52,0.10986328
53,-0.17285156
54,-0.1484375
55,-0.015319824
56,-0.36328125
57,-0.14160156
58,-0.1640625
59,-0.11035156
60,-0.25976562
61,0.044189453
62,-0.106933594
63,-0.14648438
64,-0.1171875
65,0.12988281
66,0.21289062
67,-0.07763672
68,0.140625
69,-0.23828125
70,-0.38085938
71,-0.21777344
72,-0.17480469
73,-0.001663208
74,-0.02734375
75,-0.13183594
76,0.23242188
77,0.10644531
78,0.23242188
79,0.12988281
80,-0.08496094
81,-0.013793945
82,-0.10253906
83,0.056396484
84,-0.033203125
85,-0.13085938
86,-0.19921875
87,-0.09863281
88,0.0146484375
89,0.27929688
90,0.24707031
91,0.32421875
92,-0.26367188
93,-0.00020503998
94,-0.0005264282
95,-0.020019531
96,0.1328125
97,-0.30078125
98,0.16210938
99,-0.30859375
100,-0.08105469
101,0.10546875
102,-0.026489258
103,0.1796875
104,0.15625
105,-0.13671875
106,0.05908203
107,-0.024902344
108,0.092285156
109,0.119628906
110,-0.02709961
111,0.008056641
112,0.020385742
113,0.25
114,0.21875
115,-0.111328125
116,-0.24414062
117,-0.21679688
118,0.25585938
119,0.1328125
120,-0.25976562
121,-0.076660156
122,-0.0072631836
123,0.17871094
124,-0.045410156
125,0.033203125
126,0.049316406
127,0.087402344
128,-0.23925781
129,0.28320312
130,-0.0040283203
131,0.26953125
132,-0.09033203
133,-0.033691406
134,-0.25
135,-0.111816406
136,0.05078125
137,0.06298828
138,-0.1328125
139,0.25976562
140,0.33007812
141,-0.18457031
142,0.33203125
143,-0.051513672
144,0.13476562
145,0.12109375
146,0.030029297
147,-0.106933594
148,-0.07714844
149,0.25390625
150,0.16992188
151,-0.26367188
152,0.20898438
153,0.06542969
154,0.030029297
155,-0.26953125
156,-0.25585938
157,-0.47070312
158,0.013916016
159,0.1171875
160,-0.1953125
161,0.05419922
162,0.2109375
163,-0.15429688
164,0.15332031
165,-0.51953125
166,0.29492188
167,0.020141602
168,-0.14550781
169,-0.09716797
170,-0.06933594
171,0.28515625
172,0.13574219
173,-0.13378906
174,-0.030761719
175,-0.040527344
176,0.22363281
177,-0.15234375
178,0.114746094
179,0.20703125
180,0.34375
181,-0.40039062
182,-0.09033203
183,-0.09375
184,-0.109375
185,-0.15820312
186,0.036865234
187,-0.2890625
188,0.060546875
189,0.21875
190,-0.18652344
191,-0.14550781
192,-0.04248047
193,-0.13671875
194,0.06298828
195,0.234375
196,0.18457031
197,0.03515625
198,-0.076171875
199,-0.42578125
200,0.22949219
201,-0.20996094
202,-0.087890625
203,-0.125
204,-0.12597656
205,0.23046875
206,-0.35742188
207,-0.22460938
208,0.026977539
209,-0.23632812
210,0.048339844
211,-0.13671875
212,0.24316406
213,0.053222656
214,-0.13085938
215,-0.27148438
216,0.05053711
217,0.014465332
218,0.028320312
219,-0.19726562
220,-0.030639648
221,-0.07910156
222,-0.23046875
223,-0.119628906
224,-0.20117188
225,0.09375
226,0.10498047
227,0.14160156
228,0.1953125
229,0.06347656
230,-0.20800781
231,-0.03173828
232,0.27148438
233,0.12792969
234,0.05810547
235,0.17675781
236,0.12890625
237,0.23925781
238,0.06298828
239,-0.026245117
240,0.04248047
241,0.063964844
242,-0.026489258
243,-0.03515625
244,0.03112793
245,-0.11376953
246,-0.234375
247,-0.03515625
248,0.016357422
249,-0.21582031
250,-0.11279297
251,0.05078125
252,0.14648438
253,-0.1796875
254,0.08935547
255,0.06298828
256,0.17871094
257,0.0087890625
258,-0.05029297
259,-0.068359375
260,0.26953125
261,0.1640625
262,-0.012451172
263,0.1875
264,-0.0062561035
265,-0.45507812
266,-0.26757812
267,0.05859375
268,0.30664062
269,-0.22949219
270,-0.26367188
271,0.03564453
272,0.22949219
273,0.07861328
274,0.078125
275,-0.053222656
276,0.15917969
277,0.05517578
278,0.096191406
279,0.07324219
280,-0.1796875
281,-0.045898438
282,0.20996094
283,-0.0011978149
284,0.09033203
285,0.26953125
286,0.15917969
287,0.068847656
288,-0.05859375
289,0.47070312
290,0.111816406
291,0.021240234
292,0.024291992
293,0.16796875
294,-0.25
295,-0.0017929077
296,0.110839844
297,0.05908203
298,0.13378906
299,-0.09326172
