,Brunei
0,-0.125
1,-0.103515625
2,-0.019165039
3,0.07763672
4,-0.203125
5,-0.13671875
6,-0.08105469
7,-0.125
8,-0.08154297
9,0.20410156
10,-0.02331543
11,-0.092285156
12,0.057861328
13,0.16015625
14,-0.13769531
15,-0.055908203
16,-0.122558594
17,0.034423828
18,0.07080078
19,0.34375
20,0.05126953
21,-0.36914062
22,0.080078125
23,0.12890625
24,0.06982422
25,0.19238281
26,-0.09082031
27,0.06542969
28,0.087890625
29,0.10595703
30,-0.21289062
31,-0.28515625
32,0.049316406
33,0.087402344
34,0.19726562
35,-0.0625
36,0.05444336
37,-0.104003906
38,0.064941406
39,-0.028320312
40,-0.16503906
41,0.22753906
42,-0.22558594
43,0.140625
44,0.234375
45,0.05834961
46,-0.3046875
47,-0.012634277
48,-0.095703125
49,-0.004760742
50,-0.19628906
51,-0.25
52,0.26757812
53,-0.01977539
54,0.20996094
55,0.24609375
56,-0.26757812
57,-0.06933594
58,0.19238281
59,-0.37695312
60,-0.078125
61,-0.06689453
62,0.13671875
63,0.09326172
64,0.12988281
65,-0.02355957
66,0.053466797
67,-0.234375
68,0.14746094
69,0.013671875
70,-0.609375
71,-0.23632812
72,0.29296875
73,0.23144531
74,-0.16894531
75,-0.45507812
76,0.107910156
77,0.099121094
78,0.27734375
79,0.19433594
80,-0.31054688
81,-0.16699219
82,0.10498047
83,0.22363281
84,-0.29101562
85,-0.12988281
86,-0.19628906
87,-0.021850586
88,0.038330078
89,0.06982422
90,0.50390625
91,-0.3203125
92,-0.2265625
93,0.031982422
94,-0.01940918
95,-0.028808594
96,0.15136719
97,0.030517578
98,0.30273438
99,-0.045166016
100,0.19140625
101,0.1796875
102,-0.19824219
103,0.16210938
104,0.012878418
105,0.044189453
106,0.023925781
107,-0.20410156
108,0.43359375
109,0.234375
110,-0.067871094
111,0.265625
112,-0.1875
113,-0.07324219
114,0.19433594
115,0.20898438
116,-0.06347656
117,-0.22558594
118,0.030029297
119,-0.17089844
120,-0.08300781
121,0.12597656
122,-0.18457031
123,0.059570312
124,-0.08203125
125,0.08642578
126,-0.37695312
127,0.041015625
128,-0.2109375
129,-0.057128906
130,-0.099121094
131,0.23242188
132,0.08496094
133,-0.21679688
134,-0.26953125
135,0.044921875
136,-0.25
137,-0.022827148
138,-0.06933594
139,0.12597656
140,0.14453125
141,-0.004058838
142,-0.087402344
143,-0.10888672
144,0.23144531
145,-0.0034179688
146,-0.33789062
147,-0.12597656
148,-0.16894531
149,-0.056884766
150,0.15429688
151,-0.017089844
152,0.0069274902
153,-0.076660156
154,0.37890625
155,-0.033691406
156,-0.05908203
157,-0.21386719
158,0.10498047
159,0.13085938
160,-0.5390625
161,-0.05053711
162,0.12988281
163,-0.12792969
164,0.12792969
165,-0.14550781
166,0.28320312
167,-0.014282227
168,-0.19335938
169,0.27929688
170,-0.100097656
171,0.25585938
172,-0.029541016
173,-0.08300781
174,-0.15527344
175,0.09326172
176,0.34179688
177,-0.06689453
178,0.36328125
179,-0.17480469
180,0.12402344
181,-0.08251953
182,-0.07470703
183,-0.25585938
184,-0.31640625
185,0.08935547
186,0.1484375
187,-0.25
188,-0.13769531
189,0.14453125
190,-0.6171875
191,-0.18554688
192,0.010681152
193,0.09082031
194,-0.0018997192
195,0.39257812
196,0.0072021484
197,0.12011719
198,-0.34375
199,-0.30664062
200,0.22851562
201,-0.11230469
202,-0.125
203,-0.36132812
204,-0.0036010742
205,-0.1484375
206,-0.26367188
207,-0.296875
208,-0.1640625
209,0.1796875
210,0.04711914
211,-0.2578125
212,-0.104003906
213,-0.05078125
214,0.36328125
215,0.35742188
216,0.087402344
217,0.2265625
218,0.18164062
219,-0.037109375
220,-0.20019531
221,-0.421875
222,-0.083496094
223,-0.29101562
224,-0.13085938
225,-0.23730469
226,-0.13476562
227,0.10986328
228,0.20996094
229,-0.16992188
230,-0.05859375
231,0.03466797
232,0.24121094
233,-0.28515625
234,0.203125
235,0.27148438
236,-0.01184082
237,0.19921875
238,0.11035156
239,0.111816406
240,0.28710938
241,0.063964844
242,0.06591797
243,0.20996094
244,-0.19140625
245,-0.42773438
246,-0.17773438
247,-0.043701172
248,0.15136719
249,-0.31445312
250,0.15332031
251,0.15039062
252,-0.08251953
253,-0.095214844
254,0.11376953
255,0.20410156
256,-0.12695312
257,-0.14160156
258,-0.359375
259,-0.071777344
260,0.50390625
261,0.36523438
262,0.05517578
263,-0.20800781
264,0.34375
265,-0.20019531
266,-0.09033203
267,-0.08154297
268,0.26953125
269,0.23339844
270,-0.067871094
271,0.21289062
272,0.14453125
273,0.35546875
274,0.29101562
275,0.14746094
276,0.09716797
277,-0.11230469
278,-0.33007812
279,0.3359375
280,0.03881836
281,-0.37695312
282,0.27148438
283,-0.20019531
284,0.203125
285,-0.15429688
286,-0.24023438
287,0.13574219
288,-0.014404297
289,0.2109375
290,0.053222656
291,-0.08544922
292,0.025878906
293,-0.28710938
294,-0.18164062
295,0.09033203
296,-0.30664062
297,-0.06933594
298,-0.10205078
299,0.24511719
