,Andorra
0,-0.05102539
1,-0.44921875
2,-0.13964844
3,0.20410156
4,0.106933594
5,-0.060302734
6,0.15527344
7,-0.061767578
8,-0.10839844
9,0.33203125
10,0.10595703
11,0.22949219
12,-0.15039062
13,0.29492188
14,-0.0054626465
15,0.21484375
16,0.06982422
17,0.25390625
18,0.16015625
19,0.4375
20,0.234375
21,-0.21191406
22,0.017456055
23,0.23535156
24,0.16894531
25,0.014587402
26,-0.40234375
27,-0.40429688
28,0.12158203
29,0.3828125
30,-0.111816406
31,0.10107422
32,0.06591797
33,-0.048828125
34,-0.11621094
35,-0.06225586
36,-0.10595703
37,-0.0029449463
38,0.033447266
39,-0.11816406
40,-0.009643555
41,0.17382812
42,0.43945312
43,0.23144531
44,0.056640625
45,0.23144531
46,-0.02746582
47,-0.05517578
48,-0.16210938
49,0.20898438
50,-0.12890625
51,0.28710938
52,-0.07714844
53,0.091308594
54,-0.0038146973
55,0.15429688
56,-0.41796875
57,0.080566406
58,-0.018554688
59,-0.064453125
60,-0.05053711
61,0.015136719
62,0.024047852
63,-0.37109375
64,0.12060547
65,-0.24902344
66,0.19140625
67,0.034179688
68,-0.036376953
69,-0.0146484375
70,-0.09326172
71,-0.33984375
72,0.06689453
73,-0.20019531
74,-0.13378906
75,-0.12207031
76,0.015625
77,-0.32617188
78,-0.106933594
79,0.12695312
80,-0.06640625
81,-0.20703125
82,-0.15332031
83,-0.012023926
84,-0.07324219
85,0.19824219
86,0.24609375
87,-0.011291504
88,0.4453125
89,-0.021362305
90,0.578125
91,-0.31835938
92,-0.47265625
93,0.115722656
94,-0.37695312
95,-0.48242188
96,-0.07861328
97,-0.5625
98,0.114746094
99,-0.01953125
100,0.17382812
101,-0.025878906
102,-0.1796875
103,0.15039062
104,0.20898438
105,-0.16699219
106,0.20800781
107,-0.1953125
108,0.46289062
109,-0.23925781
110,-0.036132812
111,0.025268555
112,0.19433594
113,-0.47265625
114,-0.33398438
115,-0.15820312
116,-0.061279297
117,0.07080078
118,0.546875
119,0.18945312
120,-0.21289062
121,-0.15136719
122,0.0072631836
123,0.029296875
124,0.14941406
125,0.09277344
126,0.13671875
127,0.0034332275
128,-0.29882812
129,0.033935547
130,-0.29296875
131,0.41601562
132,-0.10205078
133,-0.08105469
134,0.030395508
135,-0.18359375
136,-0.21875
137,0.106933594
138,-0.13671875
139,0.028076172
140,-0.012145996
141,0.18554688
142,0.25
143,-0.19238281
144,0.37695312
145,0.017578125
146,-0.16503906
147,-0.23828125
148,-0.17089844
149,0.35351562
150,0.16601562
151,0.006286621
152,0.119628906
153,0.15234375
154,0.33789062
155,-0.12011719
156,-0.17871094
157,0.23339844
158,-0.06933594
159,0.29492188
160,0.033691406
161,-0.08203125
162,0.31835938
163,-0.18164062
164,0.17285156
165,0.0059814453
166,-0.087402344
167,0.1796875
168,-0.40429688
169,0.04638672
170,-0.31054688
171,0.17285156
172,0.11035156
173,0.4453125
174,-0.18261719
175,0.42578125
176,0.09277344
177,0.02722168
178,-0.171875
179,0.0625
180,0.35742188
181,-0.44335938
182,0.042236328
183,-0.08642578
184,-0.038330078
185,0.072753906
186,-0.23046875
187,-0.22363281
188,0.02734375
189,0.12988281
190,-0.17089844
191,0.11328125
192,0.24316406
193,0.029418945
194,0.38476562
195,0.32226562
196,-0.26367188
197,0.5
198,-0.33789062
199,0.119140625
200,0.22363281
201,0.14648438
202,-0.20703125
203,0.056152344
204,0.17285156
205,-0.16113281
206,-0.14941406
207,0.048583984
208,-0.30664062
209,-0.05078125
210,0.25
211,0.008361816
212,-0.45898438
213,0.10058594
214,-0.47265625
215,0.09765625
216,0.23730469
217,-0.12988281
218,-0.23144531
219,-0.3046875
220,-0.24804688
221,-0.13867188
222,-0.24511719
223,-0.16503906
224,-0.546875
225,0.14550781
226,0.41210938
227,0.018188477
228,0.375
229,-0.125
230,-0.58203125
231,-0.049316406
232,0.10058594
233,0.26953125
234,-0.027709961
235,0.15234375
236,-0.07470703
237,0.20214844
238,0.28320312
239,-0.2265625
240,0.29882812
241,-0.29296875
242,0.18457031
243,-0.009216309
244,0.07910156
245,-0.032958984
246,-0.22753906
247,-0.083496094
248,-0.42773438
249,0.05493164
250,0.25976562
251,-0.018554688
252,0.15820312
253,0.4375
254,-0.003768921
255,0.42382812
256,0.087402344
257,-0.29296875
258,0.1796875
259,-0.15429688
260,0.19042969
261,0.12988281
262,0.5390625
263,0.34375
264,0.57421875
265,0.107910156
266,-0.3125
267,-0.38671875
268,-0.2890625
269,-0.34375
270,0.09033203
271,0.026367188
272,0.032226562
273,0.21679688
274,-0.0134887695
275,-0.052734375
276,0.2734375
277,0.12792969
278,-0.091308594
279,0.0051574707
280,-0.36328125
281,0.14941406
282,0.32226562
283,0.21777344
284,-0.29101562
285,0.060058594
286,0.21875
287,0.1171875
288,0.04736328
289,0.3046875
290,0.15429688
291,0.26171875
292,-0.27929688
293,-0.056152344
294,-0.14550781
295,0.02319336
296,-0.15234375
297,0.060302734
298,0.36914062
299,0.46484375
