,Senegal
0,0.104003906
1,0.23046875
2,0.21972656
3,0.19824219
4,0.04736328
5,-0.0022888184
6,-0.1953125
7,-0.46484375
8,-0.42382812
9,-0.15722656
10,0.006011963
11,-0.10205078
12,0.14648438
13,-0.09472656
14,0.24707031
15,0.26953125
16,-0.17089844
17,-0.08203125
18,0.06225586
19,0.24023438
20,-0.021118164
21,-0.23046875
22,0.072753906
23,-0.06689453
24,0.12451172
25,-0.10839844
26,0.16015625
27,-0.3359375
28,0.15917969
29,0.21386719
30,-0.23339844
31,-0.08886719
32,-0.265625
33,-0.28125
34,-0.12695312
35,-0.07470703
36,-0.203125
37,0.13476562
38,0.04248047
39,-0.07128906
40,-0.036865234
41,0.09472656
42,-0.013061523
43,0.296875
44,0.05834961
45,0.064941406
46,-0.14941406
47,-0.17089844
48,0.04711914
49,0.044677734
50,0.12451172
51,-0.30273438
52,-0.15820312
53,-0.17578125
54,-0.21777344
55,0.18457031
56,-0.5625
57,-0.01965332
58,-0.17285156
59,0.049316406
60,0.08544922
61,-0.036865234
62,0.027709961
63,-0.06689453
64,-0.09667969
65,-0.12597656
66,0.083984375
67,-0.16992188
68,-0.0625
69,0.05053711
70,-0.14746094
71,-0.032714844
72,-0.06298828
73,0.08105469
74,-0.110839844
75,-0.13476562
76,-0.16894531
77,-0.11279297
78,-0.04321289
79,0.21191406
80,-0.26367188
81,-0.24902344
82,-0.013793945
83,-0.16308594
84,0.10644531
85,-0.104003906
86,-0.080078125
87,0.064453125
88,0.08154297
89,0.20703125
90,-0.087402344
91,0.06933594
92,-0.36328125
93,-0.056396484
94,0.25195312
95,-0.26171875
96,0.099121094
97,-0.18359375
98,0.02709961
99,0.024414062
100,0.05126953
101,-0.078125
102,-0.21777344
103,-0.08251953
104,-0.32421875
105,0.019897461
106,0.22070312
107,-0.49023438
108,-0.036132812
109,-0.0059509277
110,-0.0063171387
111,0.23632812
112,-0.025390625
113,-0.064453125
114,-0.17675781
115,-0.1640625
116,0.011962891
117,0.36328125
118,0.30273438
119,-0.0015106201
120,-0.057373047
121,0.020263672
122,-0.28515625
123,-0.056640625
124,0.1015625
125,0.030883789
126,-0.3125
127,-0.044921875
128,-0.26757812
129,-0.13183594
130,-0.13574219
131,0.21386719
132,0.026855469
133,-0.13476562
134,-0.038085938
135,0.057861328
136,-0.18066406
137,-0.031982422
138,0.020385742
139,0.12890625
140,0.09277344
141,-0.13183594
142,0.08691406
143,-0.061767578
144,0.06591797
145,0.22070312
146,-0.17480469
147,0.045654297
148,0.25585938
149,-0.12158203
150,-0.0009651184
151,-0.15917969
152,-0.3203125
153,0.14257812
154,0.5078125
155,-0.18457031
156,-0.2734375
157,0.119140625
158,0.16796875
159,-0.17675781
160,-0.30273438
161,0.33007812
162,0.29296875
163,0.080566406
164,0.28710938
165,-0.10253906
166,-0.026367188
167,-0.079589844
168,-0.12109375
169,0.0050354004
170,-0.22753906
171,0.43359375
172,-0.16503906
173,0.025756836
174,0.103515625
175,-0.04663086
176,0.084472656
177,-0.31835938
178,0.17285156
179,-0.14355469
180,0.013244629
181,-0.19335938
182,-0.07324219
183,0.03955078
184,-0.0034179688
185,-0.013061523
186,-0.067871094
187,0.019165039
188,0.040527344
189,0.18652344
190,0.08496094
191,-0.19921875
192,-0.044921875
193,-0.13671875
194,-0.20703125
195,0.47460938
196,-0.034423828
197,0.057861328
198,-0.23242188
199,-0.1640625
200,-0.018554688
201,-0.063964844
202,0.12988281
203,-0.234375
204,0.24316406
205,-0.09375
206,0.25976562
207,-0.041259766
208,-0.23535156
209,0.10253906
210,-0.13085938
211,-0.07910156
212,-0.11230469
213,0.17382812
214,-0.09667969
215,-0.0859375
216,0.02319336
217,-0.15234375
218,0.05493164
219,-0.203125
220,-0.31640625
221,-0.041015625
222,-0.076171875
223,0.09082031
224,0.0390625
225,0.110839844
226,0.29882812
227,0.25
228,0.4765625
229,0.011047363
230,0.060058594
231,0.12890625
232,0.17480469
233,-0.049804688
234,0.125
235,0.08691406
236,0.046875
237,0.19140625
238,-0.3828125
239,0.013549805
240,0.12792969
241,-0.26953125
242,0.099609375
243,0.05029297
244,-0.00982666
245,-0.07763672
246,-0.40820312
247,-0.13867188
248,-0.01184082
249,-0.42578125
250,0.27734375
251,0.32617188
252,0.087890625
253,-0.07373047
254,0.16210938
255,-0.000114917755
256,0.072753906
257,-0.052001953
258,0.036621094
259,0.08154297
260,0.1640625
261,0.16699219
262,0.11328125
263,0.203125
264,0.28710938
265,-0.006072998
266,-0.34375
267,-0.07128906
268,-0.05419922
269,0.25195312
270,-0.036132812
271,0.06640625
272,0.0703125
273,-0.123046875
274,0.19824219
275,0.140625
276,-0.17773438
277,-0.123046875
278,-0.234375
279,-0.25
280,-0.234375
281,-0.3984375
282,0.057128906
283,-0.104003906
284,-0.265625
285,0.15234375
286,-0.087402344
287,0.0075683594
288,-0.13378906
289,-0.018188477
290,-0.095214844
291,0.23242188
292,-0.008117676
293,-0.171875
294,-0.09423828
295,0.23925781
296,-0.15917969
297,-0.056152344
298,0.14941406
299,0.14648438
