,Tuvalu
0,0.18359375
1,-0.28125
2,0.34765625
3,0.25976562
4,-0.22070312
5,-0.25
6,-0.03857422
7,-0.0107421875
8,0.12695312
9,0.39257812
10,-0.012573242
11,0.11669922
12,-0.031982422
13,0.17089844
14,0.12695312
15,0.09765625
16,-0.14257812
17,0.21386719
18,-0.26367188
19,0.2421875
20,0.106933594
21,-0.16503906
22,0.21582031
23,-7.343292e-05
24,-0.06201172
25,-0.16992188
26,-0.016845703
27,-0.041015625
28,0.21289062
29,-0.114746094
30,-0.19140625
31,-0.061035156
32,-0.16210938
33,-0.26367188
34,0.15234375
35,-0.359375
36,-0.26757812
37,0.44726562
38,-0.092285156
39,-0.013977051
40,-0.013061523
41,0.421875
42,0.037841797
43,0.3671875
44,-0.0028839111
45,-0.020507812
46,-0.63671875
47,0.30859375
48,-0.038085938
49,0.056640625
50,0.036132812
51,-0.32421875
52,0.078125
53,-0.39257812
54,-0.4609375
55,-0.12207031
56,-0.8671875
57,0.30273438
58,0.16992188
59,-0.071777344
60,0.0011978149
61,-0.075683594
62,-0.083984375
63,-0.033447266
64,0.37890625
65,-0.26367188
66,0.107421875
67,0.14160156
68,0.17480469
69,-0.23730469
70,-0.29101562
71,-0.25390625
72,-0.21972656
73,0.004180908
74,-0.62109375
75,-0.16894531
76,-0.015197754
77,-0.014526367
78,0.22363281
79,0.08154297
80,0.099609375
81,0.16113281
82,-0.3515625
83,-0.25976562
84,-0.01928711
85,-0.0030822754
86,-0.16796875
87,-0.21875
88,0.13671875
89,0.25195312
90,0.25195312
91,-0.11425781
92,-0.5390625
93,0.040771484
94,-0.26367188
95,-0.16113281
96,0.096191406
97,-0.010559082
98,0.29296875
99,0.06640625
100,0.041015625
101,0.27148438
102,-0.043701172
103,-0.1328125
104,-0.020141602
105,0.18945312
106,0.08691406
107,-0.22167969
108,0.09667969
109,0.35546875
110,-0.1640625
111,-0.0015335083
112,-0.18652344
113,0.32617188
114,-0.10595703
115,-0.029296875
116,0.30859375
117,-0.17285156
118,0.115722656
119,0.016723633
120,-0.546875
121,-0.19921875
122,-0.25585938
123,0.067871094
124,-0.30078125
125,0.22949219
126,-0.140625
127,0.21777344
128,-0.14453125
129,0.546875
130,0.36132812
131,0.375
132,-0.071777344
133,0.038085938
134,-0.15820312
135,0.2734375
136,-0.3671875
137,-0.04663086
138,-0.076660156
139,0.13378906
140,-0.072265625
141,-0.32421875
142,0.21386719
143,-0.47070312
144,0.40234375
145,0.17773438
146,-0.021972656
147,-0.022583008
148,-0.20019531
149,0.09082031
150,0.33007812
151,-0.21582031
152,0.26367188
153,-0.078125
154,0.40429688
155,-0.041992188
156,0.15917969
157,-0.43945312
158,0.103515625
159,0.0022583008
160,-0.15625
161,0.13769531
162,0.46484375
163,-0.2890625
164,-0.10205078
165,-0.21972656
166,0.26757812
167,0.21972656
168,-0.055419922
169,0.24121094
170,0.103027344
171,0.32617188
172,0.43554688
173,0.031982422
174,-0.18554688
175,-0.099609375
176,-0.01965332
177,0.20507812
178,0.076171875
179,0.31445312
180,0.26757812
181,-0.12207031
182,-0.16699219
183,0.203125
184,-0.055664062
185,0.43554688
186,-0.48828125
187,-0.07128906
188,0.15429688
189,-0.032958984
190,-0.072265625
191,0.08935547
192,-0.22363281
193,0.046875
194,0.47265625
195,0.3359375
196,0.13964844
197,0.08984375
198,-0.032714844
199,-0.45117188
200,0.32226562
201,-0.1796875
202,0.044921875
203,-0.15527344
204,-0.10595703
205,0.25
206,0.115722656
207,-0.41992188
208,-0.4375
209,0.02746582
210,0.26367188
211,-0.04638672
212,0.19628906
213,-0.0018310547
214,-0.36328125
215,0.040283203
216,0.31640625
217,-0.14355469
218,0.08935547
219,-0.26171875
220,0.20703125
221,0.296875
222,0.041259766
223,0.09716797
224,-0.23632812
225,-0.16601562
226,0.32617188
227,0.25585938
228,0.24316406
229,0.023803711
230,-0.23339844
231,0.12695312
232,0.16796875
233,-0.37109375
234,0.125
235,0.29882812
236,0.13671875
237,0.21582031
238,0.21875
239,0.18847656
240,0.37890625
241,-0.17578125
242,-0.05810547
243,0.083496094
244,0.19921875
245,-0.17480469
246,0.068359375
247,-0.1015625
248,0.14941406
249,-0.09277344
250,-0.32226562
251,0.03491211
252,0.26171875
253,0.21289062
254,-0.047607422
255,-0.018188477
256,0.19042969
257,-0.23535156
258,0.41601562
259,0.110839844
260,0.11230469
261,0.17675781
262,0.049072266
263,0.020263672
264,-0.15527344
265,0.029296875
266,-0.29296875
267,0.091796875
268,0.09716797
269,-0.75390625
270,-0.4765625
271,0.27734375
272,0.36328125
273,0.26171875
274,-0.017089844
275,0.2734375
276,-0.578125
277,-0.09277344
278,-0.022338867
279,0.328125
280,-0.09082031
281,-0.29101562
282,0.2578125
283,0.265625
284,0.06225586
285,-0.022216797
286,-0.10888672
287,-0.22070312
288,-0.050048828
289,0.609375
290,-0.13183594
291,0.023071289
292,-0.17773438
293,-0.49414062
294,0.2578125
295,0.25585938
296,-0.024536133
297,0.18457031
298,0.1875
299,0.58203125
