,Kuwait
0,-0.1328125
1,0.16113281
2,-0.22558594
3,-0.111328125
4,-0.21875
5,-0.22851562
6,-0.123535156
7,-0.20117188
8,-0.046875
9,0.140625
10,-0.03125
11,-0.13964844
12,0.28125
13,-0.03491211
14,-0.064941406
15,-0.041503906
16,-0.10546875
17,-0.044677734
18,-0.0018310547
19,-0.034423828
20,-0.20898438
21,-0.27148438
22,0.2421875
23,0.11376953
24,0.15136719
25,0.1953125
26,-0.023071289
27,0.01586914
28,-0.025512695
29,0.20898438
30,-0.19335938
31,-0.2578125
32,-0.19335938
33,-0.022460938
34,-0.21191406
35,-0.1875
36,0.12597656
37,-0.036865234
38,0.026611328
39,-0.09667969
40,0.020751953
41,0.010253906
42,0.18164062
43,0.060058594
44,-0.08886719
45,0.12988281
46,-0.119140625
47,0.029296875
48,-0.049804688
49,0.08154297
50,-0.110839844
51,-0.079589844
52,0.16015625
53,0.375
54,-0.34765625
55,0.14355469
56,-0.23632812
57,0.3359375
58,-0.02355957
59,-0.31640625
60,-0.06591797
61,-0.12451172
62,0.123046875
63,0.24707031
64,-0.012817383
65,0.011230469
66,0.22851562
67,-0.3203125
68,-0.087890625
69,-0.06738281
70,-0.16210938
71,-0.06298828
72,-0.13085938
73,0.10595703
74,0.06201172
75,-0.5078125
76,-0.15332031
77,0.026123047
78,-0.016601562
79,-0.1796875
80,-0.25976562
81,-0.27734375
82,-0.052490234
83,0.10498047
84,-0.0703125
85,-0.0005760193
86,-0.24707031
87,0.12402344
88,-0.0126953125
89,0.15625
90,0.16601562
91,-0.10888672
92,-0.44335938
93,-0.067871094
94,0.053955078
95,-0.07373047
96,0.046875
97,0.19140625
98,0.0107421875
99,-0.021240234
100,0.2109375
101,0.12890625
102,-0.03466797
103,0.16601562
104,-0.06933594
105,-0.10253906
106,0.17578125
107,-0.23242188
108,0.15234375
109,-0.008972168
110,0.14941406
111,-0.13085938
112,-0.035888672
113,-0.11035156
114,0.012329102
115,-0.0234375
116,-0.030883789
117,0.18261719
118,0.22558594
119,-0.019042969
120,-0.10205078
121,-0.041259766
122,0.10839844
123,0.09667969
124,-0.0859375
125,-0.051513672
126,-0.20996094
127,-0.22851562
128,-0.23242188
129,0.05493164
130,-0.26367188
131,0.053466797
132,-0.09326172
133,-0.4375
134,0.040527344
135,-0.18457031
136,-0.068359375
137,-0.22363281
138,-0.15136719
139,0.16503906
140,0.15136719
141,0.076171875
142,0.10986328
143,-0.08544922
144,0.14160156
145,0.09472656
146,-0.41992188
147,0.0047302246
148,0.20898438
149,0.18359375
150,0.25976562
151,0.05102539
152,0.14746094
153,-0.13574219
154,0.13378906
155,-0.26953125
156,-0.29296875
157,-0.01550293
158,-0.083496094
159,0.04345703
160,-0.203125
161,0.15234375
162,0.20117188
163,-0.017333984
164,0.265625
165,0.103515625
166,-0.08984375
167,0.11669922
168,0.17773438
169,0.29492188
170,-0.123535156
171,0.0119018555
172,-0.1875
173,-0.15332031
174,0.064941406
175,-0.22167969
176,0.5078125
177,-0.375
178,0.1171875
179,-0.27734375
180,0.075683594
181,-0.12597656
182,-0.17285156
183,-0.008117676
184,-0.16601562
185,-0.11279297
186,0.14746094
187,0.06933594
188,-0.011657715
189,0.25
190,-0.095703125
191,0.087402344
192,0.07080078
193,-0.16210938
194,-0.15429688
195,0.28125
196,0.02758789
197,-0.11230469
198,0.14941406
199,-0.28515625
200,0.24023438
201,-0.08642578
202,-0.033203125
203,-0.2109375
204,0.0095825195
205,-0.03173828
206,-0.022949219
207,-0.33789062
208,-0.051513672
209,-0.05834961
210,0.18847656
211,0.12792969
212,0.020141602
213,0.049316406
214,0.123046875
215,0.34765625
216,-0.0625
217,0.22753906
218,-0.06542969
219,0.050048828
220,-0.17578125
221,-0.265625
222,0.115722656
223,-0.30273438
224,-0.10595703
225,-0.008178711
226,-0.12158203
227,0.19140625
228,0.20898438
229,-0.390625
230,-0.14355469
231,-0.027709961
232,-0.10058594
233,-0.25
234,0.18359375
235,0.064453125
236,0.20410156
237,0.14746094
238,-0.0859375
239,-0.01574707
240,0.2734375
241,-0.046142578
242,-0.37109375
243,0.122558594
244,-0.059814453
245,0.21875
246,0.045898438
247,0.043701172
248,-0.107421875
249,0.05908203
250,0.1171875
251,-0.036865234
252,-0.2578125
253,0.014038086
254,0.21191406
255,-0.265625
256,0.046875
257,0.07861328
258,0.036132812
259,0.17675781
260,0.18847656
261,0.08251953
262,0.18066406
263,-0.022949219
264,0.421875
265,-0.08935547
266,-0.16210938
267,-0.36523438
268,0.17578125
269,0.515625
270,-0.14257812
271,0.15527344
272,-0.028808594
273,-0.33203125
274,0.25585938
275,0.17675781
276,-0.09765625
277,-0.025024414
278,0.028686523
279,-0.046142578
280,0.30078125
281,-0.0028686523
282,-0.07861328
283,0.16601562
284,0.011413574
285,-0.05859375
286,-0.032226562
287,-0.14257812
288,0.06982422
289,0.21484375
290,-0.032226562
291,-0.21875
292,0.0703125
293,-0.17382812
294,-0.11035156
295,0.20996094
296,-0.29492188
297,0.21289062
298,0.038330078
299,0.20117188
