,Lesotho
0,-0.045898438
1,-0.021240234
2,-0.17285156
3,-0.21875
4,0.0045776367
5,0.04711914
6,0.045898438
7,-0.09863281
8,-0.390625
9,-0.24902344
10,0.32226562
11,0.20019531
12,0.017578125
13,0.1640625
14,-0.09277344
15,0.12988281
16,-0.15136719
17,0.34765625
18,-0.29882812
19,0.33203125
20,0.234375
21,-0.12695312
22,0.21972656
23,0.0099487305
24,0.36132812
25,0.1875
26,-0.16503906
27,-0.19042969
28,0.09814453
29,-0.022949219
30,-0.13671875
31,-0.48828125
32,-0.06347656
33,0.0035247803
34,-0.265625
35,0.040527344
36,-0.296875
37,0.104003906
38,0.265625
39,0.045654297
40,-0.21386719
41,-0.088378906
42,-0.02709961
43,0.14550781
44,0.13671875
45,0.15722656
46,-0.08251953
47,-0.17578125
48,0.009643555
49,-0.021362305
50,-0.012084961
51,-0.40234375
52,-0.032226562
53,-0.10888672
54,-0.068359375
55,-0.10449219
56,-0.484375
57,-0.00793457
58,-0.33203125
59,-0.14355469
60,-0.33789062
61,-0.20800781
62,0.083496094
63,0.0057373047
64,0.21289062
65,-0.064453125
66,0.036132812
67,-0.34960938
68,0.123046875
69,0.13964844
70,-0.20800781
71,-0.5078125
72,-0.12792969
73,0.19824219
74,0.1953125
75,-0.35742188
76,0.24414062
77,0.07910156
78,0.09667969
79,0.22851562
80,-0.1328125
81,-0.37304688
82,-0.4375
83,-0.036621094
84,-0.13769531
85,-0.07763672
86,0.15136719
87,-0.10058594
88,0.025390625
89,-0.3125
90,0.080566406
91,-0.030883789
92,-0.4140625
93,0.055908203
94,-0.028076172
95,-0.33398438
96,0.18847656
97,-0.15332031
98,0.28125
99,0.2265625
100,0.020996094
101,-0.0061950684
102,-0.099121094
103,-0.33398438
104,-0.20117188
105,0.28125
106,0.09033203
107,-0.2265625
108,0.08300781
109,-0.1796875
110,0.20898438
111,0.2265625
112,-0.16992188
113,0.032958984
114,0.11035156
115,-0.28320312
116,0.17675781
117,-0.23242188
118,0.37304688
119,0.09765625
120,-0.18457031
121,-0.035888672
122,-0.14941406
123,-0.07714844
124,-0.064453125
125,0.359375
126,-0.12988281
127,-0.18847656
128,-0.19824219
129,0.072265625
130,-0.028686523
131,0.030639648
132,-0.203125
133,0.34960938
134,-0.15917969
135,0.055908203
136,-0.40429688
137,0.15917969
138,-0.12988281
139,0.15039062
140,0.083496094
141,-0.125
142,0.16015625
143,0.0859375
144,0.036132812
145,0.011413574
146,-0.029907227
147,-0.38671875
148,0.15917969
149,-0.15429688
150,0.051513672
151,-0.24414062
152,0.05126953
153,-0.09082031
154,0.24902344
155,-0.16894531
156,-0.34570312
157,0.38867188
158,-0.10888672
159,0.068847656
160,-0.40234375
161,0.16015625
162,0.040039062
163,-0.16699219
164,-0.14941406
165,-0.13671875
166,-0.064941406
167,-0.23828125
168,-0.32226562
169,0.12060547
170,0.21875
171,0.53515625
172,-0.17089844
173,0.057617188
174,-0.17382812
175,-0.14550781
176,0.32421875
177,-0.44726562
178,0.28710938
179,-0.18457031
180,-0.28320312
181,-0.11425781
182,-0.20800781
183,0.22265625
184,-0.21972656
185,-0.04663086
186,0.05053711
187,-0.12695312
188,-0.13085938
189,0.18945312
190,-0.17285156
191,-0.18945312
192,-0.41210938
193,-0.12988281
194,0.06201172
195,0.56640625
196,0.1953125
197,-0.041748047
198,-0.115722656
199,-0.1640625
200,0.19628906
201,-0.25
202,0.15820312
203,-0.18847656
204,-0.17089844
205,-0.19433594
206,-0.0071411133
207,-0.029907227
208,-0.38671875
209,-0.018676758
210,-0.10595703
211,-0.21777344
212,0.052978516
213,0.15332031
214,-0.15820312
215,-0.09472656
216,0.13574219
217,-0.140625
218,-0.16308594
219,0.22949219
220,-0.16796875
221,-0.15039062
222,-0.19433594
223,0.02758789
224,0.01940918
225,0.2734375
226,0.22460938
227,0.119140625
228,0.4609375
229,0.048828125
230,-0.12011719
231,0.25585938
232,0.0014190674
233,-0.123046875
234,-0.11279297
235,0.21484375
236,-0.075683594
237,0.22753906
238,0.039794922
239,0.10205078
240,-0.029663086
241,-0.23730469
242,0.016479492
243,-0.12060547
244,-0.076660156
245,-0.092285156
246,-0.43164062
247,-0.21289062
248,-0.11621094
249,-0.16015625
250,0.13769531
251,0.31835938
252,0.32421875
253,0.051757812
254,0.22265625
255,-0.022216797
256,0.28515625
257,0.07763672
258,-0.15820312
259,0.059814453
260,-0.12890625
261,0.1015625
262,0.48828125
263,0.44921875
264,0.068847656
265,0.011230469
266,-0.34179688
267,0.14550781
268,0.028442383
269,0.4609375
270,0.018188477
271,0.11230469
272,0.104003906
273,0.13769531
274,0.38085938
275,-0.31835938
276,0.22070312
277,-0.43164062
278,-0.041015625
279,0.0010757446
280,0.08251953
281,-0.34960938
282,0.36132812
283,0.10839844
284,-0.03466797
285,-0.2578125
286,0.08935547
287,-0.07763672
288,-0.071777344
289,-0.03540039
290,-0.23632812
291,0.024169922
292,-0.46875
293,-0.25976562
294,-0.19140625
295,0.13964844
296,-0.22949219
297,-0.049560547
298,0.0011901855
299,-0.06201172
