,Iran
0,-0.12695312
1,0.16503906
2,0.21386719
3,0.32421875
4,0.044677734
5,-0.036865234
6,-0.15527344
7,-0.16796875
8,-0.22851562
9,0.18457031
10,-0.34765625
11,-0.111328125
12,-0.17285156
13,0.08642578
14,-0.08935547
15,-0.03149414
16,-0.1796875
17,0.05029297
18,0.37890625
19,-0.25390625
20,-0.046142578
21,-0.15039062
22,0.080078125
23,0.19433594
24,0.1875
25,0.25195312
26,0.084472656
27,-0.1484375
28,0.13769531
29,-0.08105469
30,-0.2578125
31,-0.061279297
32,-0.30664062
33,0.030151367
34,0.09765625
35,-0.07910156
36,-0.08203125
37,0.14941406
38,0.16894531
39,0.004211426
40,0.35351562
41,0.2578125
42,-0.05908203
43,-0.080566406
44,-0.024047852
45,0.2734375
46,-0.1796875
47,0.06640625
48,-0.26953125
49,0.041259766
50,-0.1953125
51,-0.21191406
52,-0.08984375
53,0.103515625
54,-0.15332031
55,0.076660156
56,-0.27148438
57,0.15722656
58,0.07128906
59,-0.22460938
60,0.21191406
61,0.06689453
62,0.091796875
63,0.09033203
64,-0.079589844
65,-0.028564453
66,0.24707031
67,-0.030395508
68,-0.11328125
69,-0.036376953
70,-0.21972656
71,0.171875
72,0.13574219
73,0.063964844
74,-0.037597656
75,-0.24414062
76,0.05444336
77,0.35546875
78,0.09277344
79,0.055908203
80,-0.22265625
81,-0.3046875
82,-0.029296875
83,0.17480469
84,0.296875
85,-0.13574219
86,0.020751953
87,-0.05883789
88,0.064941406
89,0.23730469
90,-0.14160156
91,-0.18261719
92,-0.43164062
93,0.07128906
94,-0.0107421875
95,-0.2890625
96,0.12988281
97,0.1328125
98,0.056640625
99,-0.057617188
100,0.17773438
101,0.024780273
102,-0.067871094
103,-0.125
104,-0.115234375
105,0.24609375
106,-0.06298828
107,-0.06689453
108,-0.107910156
109,-0.008911133
110,-0.27539062
111,-0.111328125
112,0.19042969
113,0.15722656
114,-0.12402344
115,-0.033935547
116,0.095703125
117,0.34179688
118,0.20507812
119,-0.018432617
120,-0.19824219
121,0.052246094
122,0.017456055
123,0.080566406
124,-0.21582031
125,0.016723633
126,0.18457031
127,-0.078125
128,-0.58203125
129,0.032470703
130,-0.045410156
131,0.099121094
132,0.1484375
133,-0.25
134,-0.020629883
135,-0.12597656
136,0.11425781
137,-0.33789062
138,0.22167969
139,0.13964844
140,0.18066406
141,-0.19140625
142,0.041748047
143,0.061767578
144,-0.12890625
145,0.15039062
146,0.096191406
147,0.20507812
148,-0.34570312
149,-0.03491211
150,0.48046875
151,-0.2421875
152,0.10449219
153,-0.18066406
154,0.1328125
155,-0.26171875
156,-0.27148438
157,0.0023498535
158,-0.0087890625
159,0.33007812
160,-0.18554688
161,0.17285156
162,0.26953125
163,-0.17089844
164,0.06738281
165,-0.12060547
166,-0.041503906
167,0.375
168,0.118652344
169,0.375
170,-0.09326172
171,0.14550781
172,-0.016235352
173,-0.27929688
174,0.16796875
175,-0.19921875
176,0.23242188
177,-0.44921875
178,-0.29492188
179,-0.24804688
180,-0.060546875
181,-0.15527344
182,-0.28515625
183,-0.23730469
184,0.171875
185,0.15527344
186,0.13671875
187,0.12402344
188,-0.091308594
189,0.083496094
190,-0.18066406
191,0.37109375
192,0.10498047
193,-0.15917969
194,-0.12207031
195,0.011047363
196,-0.18847656
197,-0.067871094
198,-0.072753906
199,-0.16113281
200,-0.09082031
201,-0.23730469
202,-0.23046875
203,-0.05053711
204,0.15917969
205,-0.045166016
206,-0.119628906
207,-0.13574219
208,-0.12792969
209,-0.12597656
210,-0.007659912
211,0.068359375
212,-0.110839844
213,-0.20507812
214,-0.07714844
215,-0.013793945
216,-0.1953125
217,0.265625
218,-0.1015625
219,-0.5390625
220,-0.18359375
221,-0.00044631958
222,0.087890625
223,-0.0040893555
224,-0.13964844
225,-0.19238281
226,0.1484375
227,0.16308594
228,0.36523438
229,0.020019531
230,-0.19726562
231,0.17382812
232,0.17382812
233,0.021850586
234,0.1875
235,0.01574707
236,-0.021484375
237,0.16699219
238,0.19628906
239,-0.056640625
240,0.34960938
241,0.10058594
242,-0.33203125
243,-0.21289062
244,0.07763672
245,-0.13378906
246,-0.27539062
247,-0.19824219
248,-0.19140625
249,-0.16894531
250,0.14550781
251,-0.2890625
252,0.041259766
253,0.12158203
254,0.31640625
255,0.24511719
256,0.09863281
257,-0.30273438
258,-0.30273438
259,0.25390625
260,-0.061279297
261,0.12158203
262,-0.051757812
263,0.20214844
264,0.17773438
265,0.12597656
266,-0.47265625
267,-0.46679688
268,-0.18945312
269,0.025146484
270,-0.18261719
271,0.375
272,0.087402344
273,-0.051757812
274,0.019897461
275,0.20019531
276,0.17089844
277,-0.13476562
278,-0.055664062
279,0.07519531
280,0.0011291504
281,0.29882812
282,-0.052490234
283,0.002609253
284,-0.0018539429
285,-0.32226562
286,-0.18261719
287,0.1484375
288,0.37890625
289,0.07763672
290,0.24609375
291,0.02331543
292,0.0050354004
293,-0.07519531
294,0.16699219
295,0.045166016
296,0.044677734
297,-0.02734375
298,0.063964844
299,0.15625
