,Aruba
0,-0.23535156
1,-0.23535156
2,-0.18847656
3,0.21484375
4,-0.053466797
5,0.21679688
6,-0.10253906
7,-0.18945312
8,0.3203125
9,0.123046875
10,0.20507812
11,-0.08105469
12,-0.072265625
13,-0.28320312
14,0.20117188
15,0.11816406
16,-0.2109375
17,0.036621094
18,0.052734375
19,0.140625
20,0.23339844
21,-0.16015625
22,-0.01586914
23,0.37695312
24,0.063964844
25,0.05908203
26,0.111328125
27,-0.10058594
28,0.03149414
29,0.19335938
30,0.61328125
31,0.087890625
32,0.10107422
33,0.099609375
34,-0.07861328
35,-0.375
36,-0.36132812
37,-0.30664062
38,0.027832031
39,-0.06640625
40,-0.22070312
41,0.11767578
42,0.33007812
43,0.022338867
44,-0.016235352
45,-0.3359375
46,-0.4609375
47,-0.096191406
48,0.37304688
49,0.32226562
50,-0.019165039
51,-0.01171875
52,-0.05810547
53,0.22460938
54,-0.26757812
55,0.14746094
56,-0.375
57,-0.00579834
58,0.06591797
59,-0.01184082
60,0.091308594
61,-0.003768921
62,-0.21386719
63,-0.08154297
64,0.22167969
65,-0.02368164
66,-0.03149414
67,-0.15234375
68,0.0134887695
69,-0.16992188
70,-0.21582031
71,0.043945312
72,-0.02331543
73,-0.053955078
74,0.32421875
75,-0.12695312
76,0.484375
77,-0.265625
78,0.59375
79,0.052001953
80,-0.15722656
81,-0.12695312
82,-0.31640625
83,-0.057861328
84,-0.041992188
85,-0.44140625
86,0.13574219
87,0.20019531
88,0.111328125
89,0.1796875
90,0.15136719
91,0.16699219
92,-0.609375
93,0.21777344
94,-0.14550781
95,0.034423828
96,0.33203125
97,0.17480469
98,0.018554688
99,0.33398438
100,-0.075683594
101,-0.024902344
102,0.06201172
103,-0.0859375
104,-0.19824219
105,0.25195312
106,-0.05859375
107,-0.32226562
108,-0.15136719
109,0.2421875
110,-0.119140625
111,0.02722168
112,0.029052734
113,5.3346157e-06
114,-0.2421875
115,0.2578125
116,-0.035888672
117,-0.17675781
118,0.40429688
119,-0.022216797
120,-0.21582031
121,0.10644531
122,0.17675781
123,-0.37695312
124,0.29492188
125,0.09277344
126,-0.05444336
127,-0.007446289
128,-0.17089844
129,0.14941406
130,-0.041748047
131,0.1875
132,0.05908203
133,0.025146484
134,0.025268555
135,-0.38476562
136,0.11621094
137,0.103515625
138,0.122558594
139,-0.13769531
140,-0.34960938
141,-0.12402344
142,0.16992188
143,-0.057128906
144,-0.0625
145,0.19433594
146,0.044189453
147,-0.068847656
148,0.0015945435
149,-0.08642578
150,-0.06225586
151,-0.18847656
152,-0.25976562
153,-0.072753906
154,0.088378906
155,-0.13671875
156,-0.07763672
157,-0.18847656
158,0.40039062
159,0.28125
160,0.19238281
161,0.24902344
162,0.09814453
163,0.11230469
164,0.29296875
165,0.12402344
166,-0.11816406
167,-0.064941406
168,-0.13671875
169,-0.15332031
170,0.16796875
171,0.12695312
172,-0.026367188
173,-0.17773438
174,-0.51953125
175,0.15625
176,0.12695312
177,0.053222656
178,-0.075683594
179,0.19238281
180,-0.18554688
181,0.08642578
182,-0.35351562
183,-0.20019531
184,0.34375
185,-0.21875
186,0.20703125
187,-0.13378906
188,0.4765625
189,0.06298828
190,-0.107421875
191,-0.14941406
192,-0.10205078
193,-0.040527344
194,-0.56640625
195,0.65234375
196,0.08203125
197,-0.041259766
198,0.011657715
199,-0.26171875
200,-0.03955078
201,-0.009887695
202,0.044189453
203,-0.05078125
204,-0.23535156
205,-0.14453125
206,0.071777344
207,0.12792969
208,-0.21777344
209,0.25390625
210,0.049316406
211,0.04272461
212,-0.30664062
213,0.140625
214,-0.1484375
215,0.22070312
216,0.03466797
217,0.032714844
218,0.004180908
219,-0.15527344
220,-0.40625
221,-0.36328125
222,-0.08203125
223,0.30078125
224,-0.375
225,0.13964844
226,0.21582031
227,0.087890625
228,-0.051757812
229,0.04345703
230,-0.19921875
231,-0.26171875
232,-0.2421875
233,-0.51171875
234,0.16796875
235,0.15136719
236,0.3046875
237,0.060302734
238,0.0054626465
239,0.62890625
240,-0.05810547
241,-0.41210938
242,-0.24023438
243,-0.095214844
244,0.16503906
245,0.10058594
246,-0.20996094
247,0.10644531
248,0.14941406
249,0.06933594
250,-0.17578125
251,0.011657715
252,0.050048828
253,0.104003906
254,0.13378906
255,-0.19824219
256,0.17675781
257,0.1875
258,0.17773438
259,-0.123535156
260,0.59765625
261,0.21679688
262,-0.41796875
263,0.21679688
264,0.32226562
265,-0.024291992
266,-0.21191406
267,-0.5390625
268,-0.15527344
269,-0.1484375
270,0.083496094
271,0.31835938
272,-0.31054688
273,0.20605469
274,-0.017822266
275,-0.026000977
276,-0.20800781
277,0.030761719
278,-0.10986328
279,-0.203125
280,0.06982422
281,-0.30273438
282,0.079589844
283,0.07861328
284,-0.11279297
285,-0.00491333
286,-0.11767578
287,0.060546875
288,-0.1953125
289,0.036621094
290,0.26953125
291,-0.095214844
292,0.31445312
293,-0.27929688
294,-0.104003906
295,0.06347656
296,-0.03173828
297,-0.18945312
298,0.29492188
299,0.0022888184
