,Dominica
0,-0.107910156
1,-0.24121094
2,0.15332031
3,-0.004180908
4,-0.06689453
5,0.09472656
6,-0.014953613
7,-0.23632812
8,-0.103515625
9,-0.40625
10,-0.08300781
11,-0.12402344
12,0.34570312
13,0.08544922
14,0.34960938
15,0.0234375
16,0.009338379
17,0.16015625
18,0.092285156
19,0.4921875
20,0.20605469
21,-0.19335938
22,0.32421875
23,0.05810547
24,0.21582031
25,0.04321289
26,0.20117188
27,-0.24902344
28,-0.014404297
29,0.23925781
30,0.028320312
31,-0.22753906
32,-0.00390625
33,-0.0043945312
34,0.13964844
35,-0.14746094
36,-0.25195312
37,0.012084961
38,-0.17578125
39,-0.09277344
40,-0.25
41,0.34375
42,0.390625
43,0.27539062
44,0.083984375
45,-0.27539062
46,-0.20800781
47,-0.18652344
48,-0.103027344
49,0.07373047
50,-0.1171875
51,-0.203125
52,0.34960938
53,-0.20214844
54,-0.061523438
55,0.21582031
56,-0.41210938
57,-0.1796875
58,-0.05419922
59,-0.26953125
60,-0.028808594
61,0.08642578
62,-0.014038086
63,-0.16796875
64,0.22558594
65,-0.12792969
66,-0.14648438
67,-0.051513672
68,-0.056152344
69,-0.19042969
70,-0.26953125
71,0.017333984
72,-0.013671875
73,-0.17773438
74,-0.099609375
75,0.06201172
76,-0.01586914
77,-0.024780273
78,0.12011719
79,0.19921875
80,-0.3671875
81,-0.026733398
82,-0.23339844
83,-0.036376953
84,0.048583984
85,-0.32617188
86,0.07324219
87,0.23242188
88,0.20605469
89,0.0079956055
90,0.08691406
91,0.24414062
92,-0.48632812
93,-0.0107421875
94,-0.13671875
95,0.2890625
96,0.16699219
97,-0.21679688
98,-0.07861328
99,-0.095214844
100,-0.038330078
101,0.32421875
102,0.12451172
103,-0.28515625
104,0.10058594
105,-0.22851562
106,0.10546875
107,-0.40429688
108,0.2578125
109,0.25585938
110,-0.28320312
111,0.29882812
112,-0.11279297
113,0.068847656
114,-0.034423828
115,0.08496094
116,0.15917969
117,-0.15429688
118,0.5234375
119,0.18945312
120,-0.12792969
121,-0.12011719
122,0.04345703
123,-0.025878906
124,-0.4140625
125,0.20117188
126,-0.06982422
127,0.033691406
128,-0.37304688
129,0.45117188
130,-0.40429688
131,0.33398438
132,-0.13476562
133,-0.18359375
134,-0.19335938
135,0.0073242188
136,-0.36914062
137,0.3828125
138,-0.14257812
139,-0.10253906
140,0.080566406
141,0.18945312
142,0.123535156
143,-0.080566406
144,0.26757812
145,0.265625
146,0.0546875
147,0.025634766
148,0.075683594
149,0.13867188
150,-0.04663086
151,-0.35742188
152,0.079589844
153,-0.060058594
154,0.12597656
155,-0.033203125
156,-0.0546875
157,0.107910156
158,0.29882812
159,0.059326172
160,-0.34570312
161,0.25976562
162,-0.041992188
163,-0.0029754639
164,-0.013671875
165,-0.16601562
166,0.026611328
167,0.15429688
168,0.057861328
169,-0.071777344
170,0.038085938
171,0.34570312
172,0.07421875
173,-0.052246094
174,-0.41210938
175,0.13476562
176,0.15332031
177,-0.19726562
178,-0.12890625
179,0.028808594
180,-0.24316406
181,-0.060302734
182,0.10839844
183,-0.17089844
184,-0.31054688
185,-0.25
186,0.08251953
187,-0.33203125
188,0.18164062
189,-0.234375
190,0.10449219
191,-0.080566406
192,-0.19433594
193,0.00074005127
194,-0.071777344
195,0.28515625
196,0.01928711
197,0.0046081543
198,-0.107421875
199,-0.010009766
200,0.25585938
201,-0.008605957
202,-0.018554688
203,-0.16601562
204,-0.28125
205,0.020385742
206,0.0234375
207,0.0035095215
208,-0.25
209,-0.087402344
210,0.0028839111
211,-0.20117188
212,-0.08691406
213,0.09277344
214,-0.16015625
215,0.036132812
216,0.072265625
217,-0.24902344
218,0.0095825195
219,0.15136719
220,0.0072021484
221,-0.056396484
222,-0.07519531
223,-0.07861328
224,-0.09375
225,-0.08935547
226,0.092285156
227,0.30664062
228,0.28125
229,0.11230469
230,0.0115356445
231,0.061523438
232,0.2890625
233,-0.048339844
234,-0.10205078
235,0.15722656
236,0.35742188
237,-0.10498047
238,0.13769531
239,0.23925781
240,0.01940918
241,0.027709961
242,-0.11425781
243,0.014404297
244,0.14257812
245,-0.063964844
246,-0.14941406
247,-0.0030059814
248,0.022583008
249,-0.20703125
250,0.21875
251,-0.10546875
252,0.18945312
253,-0.030761719
254,0.10986328
255,-0.01550293
256,0.13867188
257,0.19433594
258,-0.04345703
259,-0.078125
260,0.3046875
261,0.16015625
262,0.022094727
263,0.07080078
264,0.012268066
265,-0.119140625
266,-0.27929688
267,0.09033203
268,-0.015991211
269,0.09667969
270,-0.12597656
271,0.0115356445
272,0.2265625
273,0.125
274,-0.021850586
275,-0.1171875
276,0.06347656
277,-0.08691406
278,-0.07080078
279,-0.0016326904
280,-0.060302734
281,-0.1015625
282,0.2890625
283,-0.0154418945
284,0.0625
285,-0.32617188
286,-0.16503906
287,0.0625
288,-0.06298828
289,0.17285156
290,-0.021972656
291,-0.08105469
292,-0.35351562
293,-0.265625
294,-0.028564453
295,0.12695312
296,-0.016723633
297,-0.052246094
298,0.31640625
299,0.19238281
