,Northern_Mariana_Islands
0,-0.039794922
1,-0.96875
2,-0.03540039
3,-0.119628906
4,-0.21484375
5,0.016967773
6,-0.6796875
7,0.31054688
8,0.21386719
9,0.25390625
10,0.23242188
11,0.11767578
12,0.36328125
13,0.10595703
14,0.23339844
15,0.31054688
16,0.022583008
17,0.49414062
18,0.27148438
19,0.010375977
20,-0.13671875
21,0.08154297
22,-0.114746094
23,-0.032226562
24,-0.09863281
25,-0.1328125
26,-0.087402344
27,-0.002456665
28,-0.37890625
29,0.19140625
30,0.05126953
31,-0.24414062
32,-0.024291992
33,-0.31835938
34,0.42773438
35,-0.15917969
36,-0.1953125
37,-0.009399414
38,-0.04272461
39,0.10058594
40,-0.26171875
41,0.62109375
42,0.34179688
43,0.06689453
44,-0.053466797
45,-0.16796875
46,0.12792969
47,-0.078125
48,0.19335938
49,0.013183594
50,0.49023438
51,-0.23925781
52,0.01184082
53,-0.14941406
54,-0.2578125
55,0.27539062
56,-0.09375
57,-0.0859375
58,-0.0020446777
59,-0.55078125
60,-0.38476562
61,-0.019897461
62,-0.29882812
63,-0.2109375
64,0.41796875
65,-0.025390625
66,0.3359375
67,-0.18261719
68,-0.110839844
69,0.22753906
70,-0.49609375
71,0.06298828
72,-0.14941406
73,0.019897461
74,-0.3671875
75,-0.46289062
76,-0.07763672
77,0.015197754
78,0.09375
79,0.10888672
80,0.16503906
81,-0.37304688
82,-0.2734375
83,-0.14648438
84,0.12792969
85,-0.09472656
86,-0.33789062
87,-0.140625
88,0.21386719
89,-0.06542969
90,0.040283203
91,0.17675781
92,-0.18945312
93,-0.14648438
94,0.03540039
95,0.123535156
96,0.49023438
97,0.23632812
98,0.38671875
99,0.114746094
100,-0.06542969
101,0.13964844
102,0.56640625
103,0.072753906
104,0.123046875
105,-0.25
106,-0.032470703
107,-0.24902344
108,0.4375
109,0.296875
110,-0.22070312
111,0.23730469
112,-0.20605469
113,0.21484375
114,0.095703125
115,0.123046875
116,0.2734375
117,-0.42773438
118,0.23144531
119,0.19042969
120,-0.53515625
121,-0.28515625
122,0.026611328
123,0.54296875
124,0.6171875
125,0.24804688
126,0.009216309
127,0.24414062
128,-0.16601562
129,-0.039794922
130,-0.021728516
131,-0.021484375
132,-0.114746094
133,0.119140625
134,-0.48828125
135,0.095214844
136,-0.58984375
137,-0.15625
138,-0.25390625
139,-0.22167969
140,-0.29492188
141,0.20800781
142,0.068847656
143,0.29492188
144,0.2109375
145,0.06689453
146,-0.28320312
147,0.030395508
148,0.203125
149,0.18261719
150,-0.00075149536
151,-0.13964844
152,0.24121094
153,-0.19824219
154,0.05419922
155,-0.095703125
156,-0.15722656
157,0.08496094
158,0.18652344
159,0.1015625
160,0.046875
161,-0.19335938
162,0.18066406
163,0.09716797
164,-0.46289062
165,-0.234375
166,0.28515625
167,0.16992188
168,0.40625
169,0.47460938
170,0.15429688
171,0.17089844
172,0.46875
173,0.30078125
174,-0.022705078
175,-0.26757812
176,0.15136719
177,0.38476562
178,0.22363281
179,0.021484375
180,-0.32421875
181,0.010986328
182,0.0154418945
183,-0.31054688
184,-0.24316406
185,0.109375
186,0.3046875
187,-0.16894531
188,-0.014709473
189,0.15722656
190,-0.15429688
191,-0.23925781
192,0.068847656
193,-0.017944336
194,0.078125
195,0.43945312
196,-0.21191406
197,-0.1171875
198,-0.203125
199,-0.6953125
200,0.24902344
201,0.080566406
202,0.34179688
203,-0.20605469
204,-0.0034179688
205,-0.20117188
206,0.064453125
207,-0.07910156
208,-0.25585938
209,-0.0065307617
210,0.0067443848
211,-0.14453125
212,-0.35546875
213,0.09326172
214,0.3984375
215,0.25390625
216,0.140625
217,0.10839844
218,-0.055419922
219,-0.41015625
220,0.043945312
221,-0.2734375
222,-0.26367188
223,-0.29882812
224,-0.23144531
225,0.16015625
226,0.48046875
227,0.30664062
228,0.19921875
229,-0.31054688
230,-0.01586914
231,-0.046142578
232,-0.2890625
233,-0.037841797
234,-0.040283203
235,0.12597656
236,0.22460938
237,-0.03881836
238,-0.08935547
239,-0.16699219
240,-0.103515625
241,-0.08642578
242,0.12695312
243,-0.020629883
244,-0.103515625
245,-0.21289062
246,-0.27734375
247,0.38671875
248,0.045654297
249,0.06542969
250,-0.11816406
251,-0.14648438
252,0.14941406
253,-0.14648438
254,-0.12060547
255,-0.3125
256,0.20507812
257,-0.12695312
258,0.050048828
259,-0.32421875
260,0.29882812
261,-0.123046875
262,-0.20605469
263,-0.5546875
264,-0.0061035156
265,-0.087402344
266,-0.068847656
267,-0.31054688
268,0.53125
269,-0.045898438
270,-0.009521484
271,0.20019531
272,0.09667969
273,0.07763672
274,-0.1484375
275,-0.23242188
276,-0.44140625
277,-0.022949219
278,-0.18847656
279,0.5078125
280,-0.23535156
281,-0.15722656
282,0.32617188
283,0.24902344
284,0.24511719
285,-0.34375
286,-0.09326172
287,0.16503906
288,0.078125
289,0.08203125
290,-0.107421875
291,-0.014831543
292,0.060791016
293,-0.24414062
294,0.07861328
295,-0.19042969
296,-0.13574219
297,-0.14257812
298,0.31445312
299,0.3203125
