,Uganda
0,0.16699219
1,0.13378906
2,-0.001335144
3,0.057861328
4,-0.28320312
5,-0.111328125
6,-0.039794922
7,-0.296875
8,-0.421875
9,-0.14648438
10,0.063964844
11,0.099121094
12,-0.021484375
13,0.118652344
14,0.34179688
15,0.328125
16,-0.28125
17,-0.056884766
18,-0.18457031
19,0.13964844
20,0.28125
21,-0.02709961
22,0.12597656
23,0.056152344
24,0.31445312
25,0.14453125
26,-0.048583984
27,-0.009033203
28,0.106933594
29,0.05908203
30,-0.080566406
31,-0.43554688
32,0.08300781
33,-0.19238281
34,-0.15625
35,-0.034179688
36,-0.43945312
37,-0.06689453
38,0.17382812
39,-0.01574707
40,-0.14648438
41,0.05419922
42,-0.064941406
43,0.25390625
44,-0.24316406
45,-0.02355957
46,-0.21582031
47,0.039794922
48,0.20605469
49,-0.087402344
50,-0.099121094
51,-0.5625
52,-0.12060547
53,-0.2265625
54,0.050048828
55,-0.06933594
56,-0.58984375
57,-0.028320312
58,-0.20117188
59,-0.0234375
60,0.13476562
61,-0.23730469
62,0.084472656
63,0.37304688
64,0.053222656
65,-0.1640625
66,0.24316406
67,-0.15722656
68,0.125
69,0.09033203
70,-0.33789062
71,-0.03173828
72,0.088378906
73,0.122558594
74,-0.12011719
75,-0.13574219
76,0.09423828
77,0.10986328
78,-0.16113281
79,0.095214844
80,-0.36132812
81,-0.06591797
82,-0.22070312
83,0.17089844
84,-0.036865234
85,-0.0859375
86,0.10888672
87,-0.011108398
88,0.00045776367
89,0.04248047
90,-0.0059814453
91,0.13769531
92,-0.27929688
93,-0.103027344
94,0.041748047
95,0.10839844
96,0.28125
97,-0.0146484375
98,0.34765625
99,-0.03955078
100,-0.003692627
101,0.15234375
102,0.12890625
103,-0.21582031
104,-0.09033203
105,0.110839844
106,0.044433594
107,-0.048095703
108,-0.1328125
109,-0.00020694733
110,-0.106933594
111,0.05053711
112,-0.08886719
113,0.032470703
114,0.092285156
115,-0.27148438
116,0.18457031
117,0.029541016
118,0.25585938
119,0.07470703
120,-0.125
121,-0.084472656
122,-0.19335938
123,-0.034423828
124,-0.40625
125,0.1875
126,-0.29101562
127,0.056152344
128,-0.4765625
129,0.10546875
130,0.16210938
131,0.016601562
132,-0.15527344
133,-0.18652344
134,-0.34765625
135,-0.09716797
136,-0.03125
137,0.037841797
138,-0.045898438
139,0.25195312
140,0.16210938
141,-0.080566406
142,0.265625
143,-0.078125
144,0.028930664
145,0.109375
146,0.021484375
147,-0.19824219
148,0.15039062
149,-0.03466797
150,-0.119140625
151,-0.10449219
152,0.064941406
153,-0.17578125
154,0.23730469
155,-0.265625
156,-0.171875
157,0.25585938
158,-0.16113281
159,0.016113281
160,-0.25390625
161,0.26367188
162,-0.075683594
163,0.079589844
164,-0.03466797
165,-0.06982422
166,0.20410156
167,-0.27148438
168,0.10058594
169,0.3125
170,-0.20605469
171,0.2578125
172,0.030639648
173,-0.3125
174,-0.08984375
175,-0.29101562
176,0.19628906
177,-0.40820312
178,0.22558594
179,-0.36328125
180,-0.21972656
181,-0.2421875
182,-0.10644531
183,-0.24707031
184,-0.125
185,-0.104003906
186,0.100097656
187,-0.20214844
188,-0.119628906
189,0.32617188
190,-0.26367188
191,-0.29492188
192,-0.2890625
193,-0.00390625
194,-0.025390625
195,0.48632812
196,0.12158203
197,-0.076660156
198,0.0013198853
199,-0.18847656
200,-0.046142578
201,-0.26367188
202,0.39648438
203,-0.079589844
204,-0.14941406
205,0.19824219
206,0.060546875
207,-0.171875
208,0.0075683594
209,0.11376953
210,-0.42578125
211,0.07128906
212,-0.008239746
213,-0.13378906
214,-0.19335938
215,-0.096191406
216,-0.29882812
217,0.08105469
218,0.08203125
219,0.040771484
220,-0.23535156
221,-0.2265625
222,-0.076171875
223,-0.026611328
224,0.21875
225,-0.0038146973
226,0.08496094
227,-0.16113281
228,0.39453125
229,-0.23632812
230,-0.029174805
231,0.007507324
232,-0.053710938
233,0.19824219
234,-0.021240234
235,0.32617188
236,-0.08496094
237,0.31445312
238,-0.08544922
239,-0.14550781
240,0.091308594
241,-0.115722656
242,0.103515625
243,0.12890625
244,0.1640625
245,0.0047912598
246,-0.29882812
247,-0.010559082
248,-0.0546875
249,-0.14941406
250,0.17773438
251,0.32226562
252,0.3828125
253,-0.0023040771
254,0.23925781
255,-0.0036468506
256,0.18359375
257,0.17285156
258,0.171875
259,-0.25195312
260,-0.08496094
261,0.171875
262,0.17382812
263,0.24902344
264,0.07373047
265,-0.083496094
266,-0.421875
267,0.0134887695
268,-0.028198242
269,0.3515625
270,0.046142578
271,0.21777344
272,0.1171875
273,0.10107422
274,0.27148438
275,-0.08300781
276,0.014099121
277,-0.016479492
278,0.19921875
279,-0.12207031
280,0.2578125
281,-0.23144531
282,0.22167969
283,-0.08544922
284,0.16503906
285,-0.12207031
286,0.061279297
287,-0.140625
288,0.029907227
289,0.087890625
290,-0.071777344
291,0.107421875
292,-0.24511719
293,-0.110839844
294,-0.41015625
295,0.16308594
296,-0.2578125
297,-0.17382812
298,-0.00010442734
299,0.265625
