,Ascension_Island
0,0.059570312
1,0.023925781
2,-0.09033203
3,-0.0018157959
4,-0.030395508
5,-0.3203125
6,-0.19824219
7,-0.0064086914
8,-0.0234375
9,0.08935547
10,0.16210938
11,0.10888672
12,-0.09326172
13,0.046142578
14,0.10546875
15,-0.01574707
16,-0.106933594
17,0.123535156
18,0.18847656
19,0.042236328
20,-0.07519531
21,-0.18164062
22,0.029174805
23,-0.15332031
24,0.19140625
25,-0.03540039
26,-0.096191406
27,0.07519531
28,0.118652344
29,-0.09277344
30,0.18847656
31,-0.084472656
32,-0.12597656
33,-0.140625
34,0.21582031
35,-0.16503906
36,-0.21679688
37,0.015258789
38,-0.24316406
39,0.107421875
40,-0.14453125
41,-0.13183594
42,0.11621094
43,0.140625
44,0.0028686523
45,-0.13671875
46,-0.099609375
47,-0.08544922
48,-0.21777344
49,0.042236328
50,-0.029907227
51,-0.19433594
52,0.25195312
53,-0.056640625
54,-0.17675781
55,-0.123535156
56,-0.15429688
57,0.03881836
58,0.091796875
59,-0.1640625
60,0.026611328
61,-0.06982422
62,0.068847656
63,-0.24707031
64,-0.026977539
65,0.01159668
66,-0.1640625
67,-0.107421875
68,-0.08886719
69,-0.07714844
70,-0.060058594
71,-0.13964844
72,-0.140625
73,-0.083984375
74,0.03173828
75,-0.18554688
76,-0.10058594
77,-0.18066406
78,-0.19140625
79,0.1484375
80,0.018554688
81,-0.038330078
82,0.031982422
83,-0.15332031
84,0.025756836
85,0.103515625
86,-0.061767578
87,-0.11767578
88,0.13671875
89,0.16601562
90,0.10449219
91,-0.016357422
92,-0.15234375
93,-0.012634277
94,-0.036865234
95,0.09423828
96,0.09326172
97,-0.12695312
98,0.24707031
99,-0.072753906
100,0.13964844
101,0.020751953
102,0.15136719
103,-0.0390625
104,0.060546875
105,-0.0146484375
106,0.07763672
107,0.052978516
108,0.09765625
109,-0.06591797
110,-0.052246094
111,-0.11767578
112,0.07421875
113,0.06982422
114,-0.18847656
115,0.04711914
116,0.052246094
117,0.010498047
118,0.020263672
119,0.0390625
120,-0.067871094
121,-0.010253906
122,-0.10595703
123,0.05517578
124,-0.100097656
125,0.140625
126,-0.20214844
127,-0.14257812
128,-0.079589844
129,0.14257812
130,0.09375
131,0.071777344
132,-0.18652344
133,-0.08642578
134,-0.037597656
135,-0.026855469
136,-0.3046875
137,-0.06738281
138,-0.11425781
139,0.106933594
140,0.014770508
141,0.15039062
142,0.064453125
143,0.03491211
144,0.039794922
145,0.16015625
146,-0.09667969
147,0.018432617
148,-0.22558594
149,-0.114746094
150,0.1171875
151,-0.09033203
152,0.015991211
153,0.08935547
154,0.15136719
155,0.00030326843
156,0.115234375
157,0.125
158,0.059814453
159,-0.061523438
160,0.037841797
161,0.24804688
162,0.03857422
163,-0.005706787
164,-0.0074157715
165,-0.08203125
166,-0.095214844
167,0.11035156
168,-0.09716797
169,0.13964844
170,0.008117676
171,0.096191406
172,0.22167969
173,-0.080078125
174,-0.09423828
175,-0.10986328
176,0.0005722046
177,-0.18457031
178,-0.050048828
179,0.07421875
180,-0.076171875
181,-0.10107422
182,-0.104003906
183,0.083496094
184,0.016967773
185,0.15136719
186,0.24023438
187,0.020751953
188,0.14648438
189,0.076660156
190,-0.10058594
191,0.0072021484
192,0.123535156
193,0.22070312
194,0.07470703
195,0.25585938
196,0.1796875
197,-0.07910156
198,0.115234375
199,-0.015319824
200,0.23242188
201,0.11328125
202,-0.18066406
203,0.022460938
204,0.014160156
205,0.18066406
206,0.12695312
207,-0.012756348
208,0.008483887
209,-0.22753906
210,0.09667969
211,-0.14550781
212,-0.07080078
213,0.050048828
214,-0.17480469
215,-0.18945312
216,0.12207031
217,-0.027709961
218,0.14355469
219,-0.022583008
220,0.0625
221,-0.053710938
222,0.011047363
223,0.02709961
224,-0.083984375
225,-0.049560547
226,0.007507324
227,0.14355469
228,0.057617188
229,-0.12792969
230,0.2578125
231,-0.17773438
232,-0.12011719
233,-0.1953125
234,0.0058288574
235,0.012084961
236,0.15625
237,0.125
238,0.012207031
239,-0.08105469
240,-0.18066406
241,0.012390137
242,0.09423828
243,-0.14746094
244,-0.07324219
245,0.02368164
246,-0.03564453
247,0.16113281
248,0.13964844
249,0.1875
250,-0.18359375
251,0.010864258
252,-0.005859375
253,0.099121094
254,0.17675781
255,-0.079589844
256,0.042236328
257,0.13378906
258,0.099609375
259,-0.03466797
260,0.234375
261,0.060546875
262,-0.043945312
263,-0.007537842
264,0.028686523
265,-0.34960938
266,-0.10644531
267,0.059814453
268,-0.104003906
269,-0.07861328
270,-0.125
271,-0.00019168854
272,0.064453125
273,0.1484375
274,0.056884766
275,-0.18261719
276,-0.12890625
277,-0.0036773682
278,-0.20019531
279,0.15722656
280,-0.12451172
281,-0.11425781
282,0.21191406
283,0.10107422
284,0.16503906
285,-0.09423828
286,-0.34765625
287,0.06738281
288,-0.17480469
289,0.27148438
290,0.106933594
291,-0.011962891
292,-0.057128906
293,0.16992188
294,0.19628906
295,0.11669922
296,-0.21679688
297,-0.028442383
298,0.104003906
299,-0.07373047
