,Germany
0,0.25976562
1,0.140625
2,0.24707031
3,0.0095825195
4,-0.25
5,-0.08251953
6,-0.099121094
7,-0.35351562
8,-0.1484375
9,0.1484375
10,-0.03540039
11,-0.052490234
12,0.09277344
13,-0.14257812
14,-0.014831543
15,0.016479492
16,0.037109375
17,0.18847656
18,-0.03955078
19,-0.057861328
20,0.26757812
21,0.106933594
22,-0.04345703
23,0.06738281
24,-0.0017776489
25,0.1328125
26,-0.16308594
27,-0.05908203
28,-0.22558594
29,0.12207031
30,0.107910156
31,-0.19433594
32,-0.16210938
33,-0.14257812
34,0.09033203
35,-0.14648438
36,-0.12109375
37,0.099609375
38,0.26367188
39,0.12695312
40,0.140625
41,0.110839844
42,0.026977539
43,-0.016357422
44,0.0029296875
45,0.14746094
46,-0.06542969
47,-0.16699219
48,0.036621094
49,0.14941406
50,-0.14746094
51,0.068359375
52,-0.092285156
53,0.12207031
54,-0.091796875
55,0.09082031
56,-0.38476562
57,0.030517578
58,-0.21679688
59,-0.12597656
60,-0.08642578
61,-0.26171875
62,-0.08496094
63,-0.13964844
64,-0.028320312
65,-0.203125
66,0.29101562
67,-0.13574219
68,-0.072265625
69,0.16308594
70,-0.19042969
71,0.22265625
72,0.055664062
73,0.21289062
74,0.05053711
75,-0.09814453
76,0.12158203
77,0.010009766
78,0.15234375
79,-0.022338867
80,0.07324219
81,-0.27148438
82,-0.01977539
83,-0.07128906
84,0.13964844
85,-0.06542969
86,0.08886719
87,0.014526367
88,0.033447266
89,0.12158203
90,-0.0703125
91,-0.022827148
92,-0.15332031
93,0.22265625
94,-0.22265625
95,-0.18164062
96,0.08642578
97,-0.26367188
98,-0.037353516
99,0.04321289
100,0.030395508
101,-0.19042969
102,0.07080078
103,0.37695312
104,-0.013183594
105,-0.025268555
106,-0.007751465
107,0.028686523
108,-0.0035095215
109,-0.08203125
110,0.15234375
111,-0.20996094
112,0.16796875
113,0.053222656
114,0.13476562
115,0.05102539
116,0.004547119
117,0.020996094
118,0.37890625
119,0.24707031
120,-0.25585938
121,-0.27148438
122,0.040283203
123,-0.0060424805
124,-0.118652344
125,-0.059570312
126,0.14550781
127,-0.265625
128,-0.47851562
129,0.02709961
130,0.038330078
131,0.024414062
132,-0.1640625
133,-0.19921875
134,-0.08984375
135,-0.16015625
136,-0.060791016
137,-0.03491211
138,0.2109375
139,0.036376953
140,0.20898438
141,-0.0058898926
142,0.015625
143,0.10986328
144,0.08154297
145,0.11328125
146,0.296875
147,0.30664062
148,-0.12890625
149,-0.14550781
150,0.114746094
151,0.022583008
152,-0.029052734
153,-0.08544922
154,-0.06201172
155,-0.087402344
156,-0.21777344
157,0.10986328
158,0.14550781
159,0.21679688
160,0.071777344
161,0.022949219
162,0.13964844
163,-0.15917969
164,0.22265625
165,-0.03515625
166,-0.03515625
167,0.07763672
168,-0.12695312
169,0.25
170,-0.24707031
171,0.04345703
172,0.057861328
173,-0.1171875
174,-0.11425781
175,-0.29492188
176,0.115234375
177,-0.16992188
178,-0.05078125
179,-0.092285156
180,0.041015625
181,-0.3984375
182,-0.24707031
183,-0.19238281
184,0.4375
185,0.12988281
186,0.12890625
187,0.032714844
188,-0.22558594
189,0.20800781
190,0.03564453
191,-0.06982422
192,0.12792969
193,-0.0030059814
194,0.17285156
195,0.15722656
196,0.12890625
197,-0.16210938
198,-0.24121094
199,-0.3984375
200,0.022460938
201,-0.061767578
202,0.12792969
203,0.025268555
204,0.018676758
205,-0.017456055
206,-0.15722656
207,-0.06201172
208,-0.22460938
209,-0.020874023
210,0.0019226074
211,-0.17382812
212,0.095214844
213,0.23046875
214,-0.16992188
215,-0.22363281
216,0.23632812
217,0.05126953
218,0.13867188
219,-0.002380371
220,-0.056640625
221,-0.2890625
222,-0.11767578
223,-0.11767578
224,-0.28710938
225,-0.032470703
226,0.041503906
227,-0.084472656
228,0.1953125
229,-0.24121094
230,-0.19433594
231,-0.044189453
232,0.055908203
233,0.012939453
234,0.05444336
235,0.12988281
236,-0.025024414
237,0.19726562
238,-0.17675781
239,-0.15234375
240,0.21484375
241,0.0051574707
242,0.0126953125
243,0.111328125
244,-0.02722168
245,0.15625
246,-0.20800781
247,-0.024169922
248,-0.11621094
249,-0.087890625
250,-0.020751953
251,0.017822266
252,0.0043945312
253,0.18261719
254,-0.19433594
255,0.26367188
256,0.044677734
257,0.012939453
258,0.15917969
259,0.0859375
260,0.12988281
261,0.0014190674
262,0.024414062
263,0.25976562
264,0.28320312
265,0.11669922
266,-0.03564453
267,-0.25
268,-0.055908203
269,0.29296875
270,0.048339844
271,-0.033935547
272,0.13769531
273,-0.19140625
274,0.21875
275,-0.08300781
276,-0.10058594
277,0.20117188
278,-0.11425781
279,-0.0059509277
280,-0.06982422
281,-0.046875
282,-0.06591797
283,0.024536133
284,-0.27148438
285,0.19628906
286,0.22265625
287,0.024291992
288,0.043945312
289,0.10253906
290,-0.060791016
291,0.11816406
292,-0.064453125
293,0.11376953
294,-0.17285156
295,0.171875
296,-0.19433594
297,0.008178711
298,0.068359375
299,-0.14160156
