,Nicaragua
0,0.0039367676
1,-0.06933594
2,0.2265625
3,0.4453125
4,-0.039794922
5,0.030639648
6,-0.17578125
7,-0.2109375
8,-0.032958984
9,-0.17773438
10,-0.01928711
11,-0.017456055
12,0.08984375
13,0.22070312
14,0.32617188
15,0.034423828
16,-0.080078125
17,0.25
18,0.16015625
19,0.1484375
20,0.23828125
21,-0.12011719
22,0.032470703
23,0.30664062
24,0.22167969
25,-0.025024414
26,-0.055908203
27,-0.06640625
28,-0.26171875
29,0.1875
30,0.17578125
31,-0.15820312
32,-0.15429688
33,-0.04345703
34,-0.053222656
35,-0.15527344
36,-0.30664062
37,-0.12988281
38,0.09863281
39,-0.05834961
40,0.04638672
41,0.17773438
42,0.30078125
43,0.030029297
44,0.048828125
45,0.19335938
46,-0.119140625
47,-0.15820312
48,0.030517578
49,0.36523438
50,-0.20410156
51,-0.37109375
52,0.0057373047
53,-0.12597656
54,-0.09472656
55,0.1171875
56,-0.33398438
57,0.06542969
58,-0.09277344
59,-0.08691406
60,0.08886719
61,0.028198242
62,0.12597656
63,0.041015625
64,0.11669922
65,-0.13867188
66,0.103027344
67,-0.19238281
68,-0.07324219
69,0.10205078
70,-0.084472656
71,0.13671875
72,0.071777344
73,0.096191406
74,-0.19042969
75,-0.07128906
76,0.25585938
77,-0.038085938
78,0.16894531
79,0.20703125
80,-0.24804688
81,0.10449219
82,-0.375
83,-0.17578125
84,-0.115234375
85,-0.44726562
86,-0.11279297
87,0.067871094
88,0.16113281
89,0.080566406
90,-0.04711914
91,0.06640625
92,-0.37695312
93,0.13769531
94,9.775162e-05
95,0.030761719
96,0.16113281
97,-0.037597656
98,0.14746094
99,0.296875
100,-0.17285156
101,0.46679688
102,-0.13183594
103,-0.28515625
104,0.14648438
105,0.11279297
106,0.115234375
107,-0.32617188
108,-0.08691406
109,-0.0065612793
110,-0.12451172
111,0.17773438
112,0.029296875
113,-0.20800781
114,-0.19238281
115,0.1796875
116,-0.029785156
117,0.22949219
118,0.25195312
119,0.11035156
120,0.095703125
121,-0.234375
122,0.009155273
123,-0.08496094
124,-0.115234375
125,0.42382812
126,0.0005493164
127,-0.049316406
128,-0.26171875
129,0.16503906
130,-0.27539062
131,0.016967773
132,0.04272461
133,-0.049072266
134,-0.030639648
135,-0.010498047
136,-0.28320312
137,-0.13183594
138,0.21289062
139,0.020019531
140,-0.28710938
141,-0.076660156
142,0.07080078
143,0.037597656
144,0.19140625
145,0.0146484375
146,-0.023071289
147,-0.04663086
148,-0.07373047
149,0.052490234
150,0.26171875
151,-0.3671875
152,-0.24804688
153,0.09277344
154,0.06542969
155,-0.001373291
156,-0.30078125
157,0.19335938
158,0.096191406
159,0.13183594
160,-0.09423828
161,0.106933594
162,-0.020996094
163,0.0703125
164,0.009399414
165,-0.1328125
166,0.203125
167,0.016967773
168,0.21386719
169,-0.20410156
170,-0.12890625
171,0.24902344
172,0.16113281
173,-0.27929688
174,0.016601562
175,-0.2890625
176,0.029052734
177,-0.10595703
178,-0.024047852
179,0.08251953
180,-0.4921875
181,-0.34960938
182,-0.2734375
183,-0.084472656
184,0.048583984
185,-0.34570312
186,0.024780273
187,-0.106933594
188,0.08105469
189,-0.079589844
190,-0.14941406
191,0.2109375
192,0.1015625
193,-0.34960938
194,0.041015625
195,0.2578125
196,-0.092285156
197,-0.14355469
198,0.053466797
199,-0.1484375
200,0.19042969
201,-0.076660156
202,0.3046875
203,-0.049560547
204,-0.18066406
205,0.03930664
206,0.05859375
207,0.06689453
208,-0.37695312
209,-0.115722656
210,0.22265625
211,-0.08544922
212,-0.22949219
213,0.030273438
214,0.025756836
215,0.015625
216,-0.100097656
217,0.10498047
218,-0.087402344
219,-0.20019531
220,-0.13085938
221,0.018310547
222,0.0050354004
223,0.056884766
224,-0.100097656
225,-0.11035156
226,0.23046875
227,0.5078125
228,0.29492188
229,0.0859375
230,0.110839844
231,0.080078125
232,0.018798828
233,-0.40039062
234,-0.037841797
235,0.1796875
236,-0.26171875
237,-0.024780273
238,0.13867188
239,0.026245117
240,-0.11816406
241,-0.21582031
242,0.019897461
243,-0.034179688
244,0.009399414
245,0.15234375
246,-0.24121094
247,-0.19335938
248,0.015625
249,-0.07128906
250,-0.06542969
251,-0.14160156
252,0.057373047
253,0.061523438
254,0.13769531
255,-0.30078125
256,0.41992188
257,-0.037597656
258,0.15039062
259,0.018432617
260,0.13476562
261,-0.0064086914
262,0.3046875
263,0.03955078
264,0.1015625
265,-0.091796875
266,-0.38476562
267,-0.03173828
268,0.016113281
269,-0.05834961
270,-0.33789062
271,0.3515625
272,0.12792969
273,-0.07373047
274,-0.052001953
275,0.16503906
276,-0.13183594
277,0.095703125
278,-0.057861328
279,0.012451172
280,0.19628906
281,-0.03515625
282,0.25
283,0.052734375
284,-0.12109375
285,-0.10449219
286,-0.37109375
287,0.12988281
288,-0.05126953
289,0.052490234
290,-0.011779785
291,-0.16894531
292,-0.34960938
293,-0.15234375
294,0.21972656
295,0.08935547
296,-0.09716797
297,-0.11279297
298,0.27148438
299,0.099121094
