,Puerto_Rico
0,-0.07861328
1,-0.11767578
2,0.09472656
3,0.024536133
4,0.125
5,-0.11328125
6,-0.41015625
7,-0.0064086914
8,0.03125
9,-0.045410156
10,-0.095703125
11,-0.10839844
12,0.012145996
13,-0.15136719
14,0.421875
15,-0.03564453
16,0.08935547
17,0.41601562
18,-0.05126953
19,0.39453125
20,0.296875
21,-0.1796875
22,0.06982422
23,0.052734375
24,-0.06640625
25,0.17871094
26,-0.13671875
27,-0.18457031
28,-0.19335938
29,0.34765625
30,0.31445312
31,0.1328125
32,0.016113281
33,-0.13769531
34,0.15429688
35,0.016113281
36,-0.21582031
37,-0.17871094
38,-0.111816406
39,-0.16894531
40,0.1640625
41,0.17675781
42,0.39648438
43,0.1015625
44,-0.30273438
45,0.171875
46,-0.003753662
47,-0.04638672
48,0.091796875
49,0.25
50,0.10107422
51,0.20117188
52,0.22949219
53,-0.068847656
54,-0.111816406
55,0.14550781
56,-0.21386719
57,-0.031982422
58,-0.15234375
59,-0.2421875
60,0.091308594
61,-0.16699219
62,0.010864258
63,-0.20898438
64,0.26757812
65,-0.030517578
66,0.037597656
67,0.025390625
68,-0.016601562
69,-0.060302734
70,-0.119628906
71,-0.15136719
72,-0.012756348
73,0.10546875
74,-0.10253906
75,-0.0077819824
76,0.016845703
77,-0.29296875
78,0.10839844
79,0.064941406
80,-0.08886719
81,0.060791016
82,-0.20703125
83,-0.515625
84,-0.24902344
85,-0.3359375
86,-0.11621094
87,0.022338867
88,0.31640625
89,-0.045898438
90,0.28515625
91,0.19921875
92,-0.40820312
93,-0.080078125
94,-0.22167969
95,0.040527344
96,0.24316406
97,0.018798828
98,-0.03100586
99,0.34375
100,-0.08154297
101,0.15722656
102,-0.023071289
103,-0.051757812
104,0.23242188
105,-0.22851562
106,0.22167969
107,-0.21972656
108,0.040039062
109,0.1875
110,-0.07763672
111,0.114746094
112,-0.29296875
113,-0.140625
114,0.040527344
115,0.58203125
116,-0.15820312
117,-0.111816406
118,0.32421875
119,-0.15429688
120,-0.2734375
121,-0.46679688
122,-0.064941406
123,-0.052978516
124,0.36523438
125,0.08154297
126,0.24707031
127,0.15039062
128,-0.27539062
129,0.453125
130,-0.16015625
131,-0.016113281
132,-0.21386719
133,-0.024169922
134,-0.35546875
135,-0.234375
136,-0.48046875
137,-0.096191406
138,-0.03564453
139,-0.31640625
140,-0.3046875
141,-0.06542969
142,-0.049560547
143,-0.080566406
144,0.15820312
145,-0.099121094
146,-0.056884766
147,0.22460938
148,-0.026123047
149,0.27539062
150,0.10449219
151,-0.27539062
152,-0.007019043
153,-0.17773438
154,0.037109375
155,-0.17285156
156,-0.359375
157,-0.0058898926
158,0.27539062
159,0.24511719
160,0.08496094
161,0.060546875
162,0.17871094
163,0.28320312
164,0.17578125
165,-0.07910156
166,-0.115722656
167,0.02368164
168,0.23730469
169,0.008117676
170,-0.09765625
171,0.1953125
172,0.390625
173,0.10986328
174,-0.171875
175,0.09375
176,0.24316406
177,-0.15234375
178,-0.0061035156
179,-0.06591797
180,-0.2890625
181,-0.31640625
182,-0.11425781
183,0.06591797
184,-0.20410156
185,0.015991211
186,-0.06542969
187,0.049072266
188,0.20996094
189,0.19140625
190,0.21679688
191,-0.33398438
192,0.3046875
193,-0.14453125
194,-0.07080078
195,0.42382812
196,0.047851562
197,-0.20703125
198,-0.044921875
199,-0.33007812
200,0.13964844
201,0.05419922
202,-0.078125
203,-0.18359375
204,-0.10888672
205,-0.15234375
206,0.05517578
207,-0.087402344
208,-0.296875
209,-0.04321289
210,0.0058288574
211,0.11328125
212,-0.24121094
213,0.13671875
214,-0.09765625
215,-0.026245117
216,-0.048828125
217,-0.13964844
218,-0.22167969
219,-0.11376953
220,-0.16015625
221,-0.076660156
222,-0.22460938
223,-0.21875
224,-0.14257812
225,-0.087890625
226,0.03930664
227,0.22558594
228,0.1796875
229,0.005584717
230,0.033691406
231,-0.029418945
232,0.09863281
233,0.122558594
234,0.06591797
235,0.01586914
236,0.08251953
237,-0.03466797
238,0.17089844
239,0.17480469
240,-0.24707031
241,-0.22753906
242,0.080566406
243,-0.123535156
244,-0.3828125
245,0.049316406
246,-0.017822266
247,-0.079589844
248,0.044921875
249,-0.016479492
250,0.13378906
251,0.0625
252,0.10595703
253,-0.30078125
254,0.16796875
255,-0.06591797
256,0.15039062
257,-0.0390625
258,-0.09472656
259,-0.21777344
260,0.53515625
261,0.076660156
262,-0.106933594
263,-0.048339844
264,0.16503906
265,-0.12695312
266,0.10058594
267,-0.17675781
268,-0.011413574
269,-0.16894531
270,-0.12792969
271,0.17675781
272,0.19238281
273,-0.15917969
274,0.19824219
275,-0.06689453
276,-0.28125
277,0.18554688
278,-0.046875
279,0.103515625
280,-0.13964844
281,-0.14257812
282,0.06542969
283,0.008666992
284,-0.17675781
285,-0.22460938
286,-0.07080078
287,0.19140625
288,0.099609375
289,-0.15039062
290,0.16894531
291,0.27734375
292,-0.19824219
293,-0.115234375
294,-0.008178711
295,0.25585938
296,-0.04638672
297,-0.020141602
298,0.5
299,-0.016479492
