,Canada
0,-0.13671875
1,-0.15429688
2,0.26953125
3,0.2734375
4,0.08691406
5,-0.076171875
6,-0.018676758
7,0.0062561035
8,0.07763672
9,-0.21191406
10,-0.0095825195
11,-0.064453125
12,0.30859375
13,-0.40820312
14,-0.018920898
15,-0.30078125
16,0.16503906
17,0.125
18,-0.02709961
19,-0.044677734
20,0.13476562
21,0.30078125
22,-0.19726562
23,-0.13964844
24,0.033935547
25,0.14453125
26,-0.123046875
27,-0.02355957
28,-0.14941406
29,0.12011719
30,0.016601562
31,-0.14648438
32,-0.17675781
33,-0.0016555786
34,0.20019531
35,-0.1640625
36,-0.37109375
37,0.031982422
38,0.15625
39,-0.23144531
40,-0.19726562
41,0.00970459
42,0.1640625
43,-0.030395508
44,-0.05126953
45,0.34570312
46,-0.28710938
47,0.2109375
48,0.09033203
49,0.14550781
50,-0.12792969
51,-0.061767578
52,0.063964844
53,0.16601562
54,-0.06689453
55,0.15527344
56,-0.38085938
57,0.05078125
58,-0.15625
59,-0.171875
60,0.11767578
61,-0.012268066
62,0.03100586
63,0.064941406
64,-0.33203125
65,-0.18945312
66,-0.017211914
67,-0.0546875
68,0.03515625
69,-0.16992188
70,-0.056396484
71,0.033447266
72,0.013061523
73,0.022338867
74,0.16894531
75,-0.13476562
76,-0.018554688
77,0.022216797
78,0.25195312
79,0.29101562
80,-0.21386719
81,-0.01928711
82,-0.0138549805
83,-0.15820312
84,-0.19140625
85,-0.20800781
86,-0.16699219
87,0.17089844
88,0.14648438
89,0.05053711
90,0.12158203
91,0.12158203
92,-0.09326172
93,0.016479492
94,-0.125
95,-0.053222656
96,0.20800781
97,-0.1328125
98,0.11035156
99,0.05834961
100,-0.057373047
101,-0.100097656
102,-0.16308594
103,0.05493164
104,0.1640625
105,-0.43554688
106,0.004180908
107,-0.04321289
108,0.13378906
109,0.171875
110,-0.11425781
111,0.028076172
112,-0.12011719
113,0.2578125
114,0.08935547
115,0.04638672
116,-0.07861328
117,-0.076660156
118,0.1328125
119,0.1640625
120,-0.22363281
121,-0.37890625
122,-0.033203125
123,0.07763672
124,0.0016403198
125,-0.13867188
126,0.0703125
127,-0.020996094
128,-0.26953125
129,0.34570312
130,0.024780273
131,0.20019531
132,-0.15722656
133,-0.11767578
134,0.125
135,0.10449219
136,-0.033447266
137,0.016723633
138,0.07470703
139,0.21875
140,0.27148438
141,0.09716797
142,0.18164062
143,0.015991211
144,0.23828125
145,0.17382812
146,0.20898438
147,0.06640625
148,-0.012817383
149,0.18359375
150,0.025268555
151,-0.30078125
152,-0.072753906
153,-0.17480469
154,0.12988281
155,-0.26953125
156,-0.05029297
157,0.026733398
158,0.033691406
159,0.22070312
160,-0.0390625
161,0.03955078
162,0.1796875
163,-0.083496094
164,0.14355469
165,-0.15820312
166,-0.30078125
167,-0.05419922
168,0.15429688
169,0.030029297
170,-0.12890625
171,-0.021850586
172,0.06347656
173,-0.23632812
174,0.03125
175,-0.079589844
176,0.14648438
177,-0.06347656
178,-0.16210938
179,-0.15527344
180,-0.095703125
181,-0.34179688
182,0.06201172
183,-0.18359375
184,-0.1484375
185,0.020629883
186,0.05517578
187,-0.021484375
188,0.025634766
189,0.44335938
190,0.125
191,-0.265625
192,-0.01373291
193,-0.13378906
194,-0.12890625
195,0.19335938
196,0.10498047
197,-0.01928711
198,-0.06201172
199,-0.16894531
200,0.052978516
201,0.061279297
202,0.15234375
203,-0.19921875
204,-0.171875
205,0.40429688
206,-0.099121094
207,-0.0054016113
208,-0.18359375
209,0.14746094
210,0.11376953
211,-0.15625
212,0.03149414
213,0.34179688
214,-0.23632812
215,-0.009765625
216,0.03491211
217,0.11279297
218,-0.19433594
219,-0.14746094
220,-0.15429688
221,-0.09716797
222,-0.107421875
223,-0.067871094
224,-0.23144531
225,0.0859375
226,0.0107421875
227,-0.044189453
228,0.13183594
229,-0.09033203
230,-0.03515625
231,-0.044677734
232,0.30664062
233,-0.03112793
234,0.014465332
235,-0.025878906
236,-0.05810547
237,-0.0546875
238,0.15039062
239,-0.06640625
240,-0.0025482178
241,0.01928711
242,0.024291992
243,-0.16894531
244,0.091308594
245,0.096191406
246,-0.040771484
247,-0.16015625
248,0.064453125
249,-0.13769531
250,0.080078125
251,-0.020263672
252,0.17871094
253,-0.030273438
254,0.22558594
255,0.2578125
256,-0.008117676
257,-0.13964844
258,0.010864258
259,-0.24414062
260,0.34375
261,-0.08105469
262,0.16894531
263,-0.045898438
264,0.29882812
265,-0.23828125
266,-0.17285156
267,-0.033691406
268,0.15820312
269,-0.025634766
270,-0.17480469
271,0.19433594
272,0.20898438
273,-0.2578125
274,0.09082031
275,-0.20507812
276,-0.04296875
277,0.29296875
278,0.07470703
279,0.20605469
280,-0.056152344
281,-0.31445312
282,0.16699219
283,-0.014282227
284,-0.007659912
285,-0.08105469
286,-0.111328125
287,-0.068847656
288,0.083496094
289,0.078125
290,0.10546875
291,0.030761719
292,-0.03930664
293,0.18359375
294,-0.11767578
295,0.19140625
296,0.07421875
297,0.020996094
298,0.28515625
299,-0.2578125
