,Philippines
0,0.11669922
1,-0.1328125
2,0.107421875
3,0.14648438
4,-0.079589844
5,-0.15429688
6,-0.041992188
7,-0.16699219
8,-0.04711914
9,0.19726562
10,0.076660156
11,-0.14453125
12,0.32421875
13,-0.0012207031
14,0.32226562
15,-0.026489258
16,-0.01550293
17,-0.008544922
18,-0.016845703
19,0.19824219
20,0.28320312
21,-0.20996094
22,-0.003753662
23,0.13476562
24,0.033691406
25,-0.26171875
26,-0.014587402
27,0.07373047
28,-0.23925781
29,0.16601562
30,-0.015625
31,-0.140625
32,-0.055664062
33,-0.0546875
34,0.0625
35,-0.0859375
36,-0.23144531
37,0.087890625
38,0.15722656
39,-0.1640625
40,-0.03930664
41,0.119140625
42,-0.013061523
43,0.10546875
44,-0.17285156
45,0.33007812
46,-0.119628906
47,0.19433594
48,0.20019531
49,0.14746094
50,-0.07910156
51,-0.061523438
52,0.016479492
53,-0.004211426
54,-0.080566406
55,0.38476562
56,-0.13378906
57,-0.17480469
58,0.10986328
59,0.052246094
60,-0.072753906
61,-0.095214844
62,-0.025390625
63,0.29296875
64,0.091796875
65,0.008850098
66,0.34570312
67,-0.3125
68,0.2734375
69,0.05493164
70,-0.32617188
71,0.07910156
72,-0.005340576
73,0.2890625
74,-0.007873535
75,-0.29101562
76,-0.09326172
77,-0.19824219
78,0.15625
79,0.25390625
80,-0.12109375
81,0.21484375
82,0.038085938
83,-0.12890625
84,-0.3828125
85,-0.31445312
86,-0.17382812
87,-0.123535156
88,0.13378906
89,-0.16503906
90,0.21289062
91,-0.0005302429
92,-0.1328125
93,-0.21582031
94,-0.171875
95,0.17675781
96,0.23535156
97,0.030639648
98,0.49609375
99,0.011047363
100,-0.30273438
101,0.15917969
102,0.07128906
103,0.026977539
104,0.067871094
105,-0.08251953
106,-0.05444336
107,-0.28125
108,0.08251953
109,0.27148438
110,0.12060547
111,0.08154297
112,-0.10107422
113,-0.03100586
114,-0.029052734
115,0.328125
116,-0.111816406
117,-0.32421875
118,0.41210938
119,0.21679688
120,-0.096191406
121,-0.084472656
122,-0.1484375
123,-0.05126953
124,-0.30273438
125,0.20996094
126,-0.24707031
127,-0.14648438
128,-0.30078125
129,0.17382812
130,-0.12890625
131,-0.10107422
132,0.009765625
133,-0.07421875
134,-0.096191406
135,-0.052734375
136,-0.27539062
137,-0.009155273
138,-0.057128906
139,-0.20800781
140,0.026733398
141,-0.2734375
142,0.075683594
143,0.28515625
144,0.24414062
145,0.09277344
146,-0.12597656
147,0.09667969
148,0.10546875
149,0.16992188
150,0.22753906
151,-0.095214844
152,-0.010253906
153,-0.060791016
154,0.0063171387
155,-0.38867188
156,-0.24511719
157,0.04736328
158,0.21972656
159,-0.024536133
160,0.10888672
161,-0.13867188
162,-0.044433594
163,0.022583008
164,0.009765625
165,-0.16992188
166,0.20117188
167,0.20703125
168,0.30859375
169,0.19140625
170,-0.09863281
171,0.3203125
172,0.047851562
173,-0.08251953
174,-0.16210938
175,-0.031982422
176,0.31054688
177,-0.018310547
178,0.25585938
179,-0.046142578
180,-0.30859375
181,-0.296875
182,-0.052001953
183,-0.08691406
184,0.14746094
185,-0.31054688
186,0.12402344
187,-0.12988281
188,0.056152344
189,0.048583984
190,-0.34179688
191,-0.27539062
192,0.119140625
193,-0.04663086
194,-0.009643555
195,0.40234375
196,0.15527344
197,-0.33203125
198,0.021606445
199,-0.24902344
200,0.23730469
201,0.09765625
202,0.111328125
203,-0.009155273
204,-0.23925781
205,-0.040771484
206,-0.14550781
207,-0.35351562
208,0.05029297
209,0.0146484375
210,-0.040771484
211,0.025634766
212,0.05810547
213,0.14941406
214,0.18066406
215,0.119628906
216,-0.25
217,0.017089844
218,-0.091308594
219,0.24511719
220,-0.23632812
221,-0.19238281
222,-0.114746094
223,-0.26757812
224,0.051757812
225,-0.075683594
226,-0.15136719
227,0.14160156
228,0.40625
229,-0.2890625
230,-0.064453125
231,-0.09716797
232,-0.022949219
233,-0.08496094
234,0.022460938
235,0.3828125
236,0.019897461
237,0.12451172
238,0.033691406
239,-0.068847656
240,-0.13769531
241,-0.096191406
242,-0.060546875
243,0.06347656
244,-0.103027344
245,-0.21582031
246,-0.12402344
247,-0.18945312
248,-0.0625
249,-0.12890625
250,0.068359375
251,-0.016967773
252,0.040039062
253,-0.13964844
254,-0.16894531
255,-0.2578125
256,0.14160156
257,0.020507812
258,0.008178711
259,-0.20800781
260,0.2734375
261,-0.023803711
262,0.13183594
263,-0.18359375
264,0.14941406
265,-0.13964844
266,-0.33398438
267,-0.12402344
268,0.057128906
269,-0.064453125
270,-0.18652344
271,0.21777344
272,0.22265625
273,-0.03149414
274,0.20019531
275,0.083984375
276,-0.32421875
277,0.18164062
278,-0.26953125
279,0.21875
280,-0.109375
281,-0.06298828
282,-0.021728516
283,-0.044921875
284,-0.07128906
285,-0.22070312
286,0.060546875
287,0.045166016
288,-0.08935547
289,0.091796875
290,0.09277344
291,0.03857422
292,-0.16015625
293,-0.10498047
294,-0.05859375
295,0.106933594
296,-0.34179688
297,-0.06689453
298,0.20214844
299,0.23144531
