,Mozambique
0,-0.006378174
1,0.08203125
2,-0.020141602
3,0.15332031
4,0.02709961
5,-0.18261719
6,0.0030517578
7,-0.28710938
8,-0.14355469
9,-0.38085938
10,0.18945312
11,-0.13378906
12,0.063964844
13,0.07714844
14,0.17773438
15,0.20019531
16,-0.084472656
17,0.18164062
18,-0.18261719
19,0.19335938
20,0.30859375
21,-0.20117188
22,0.06591797
23,0.19238281
24,0.40429688
25,0.0115356445
26,0.009460449
27,-0.13085938
28,-0.18261719
29,0.1640625
30,-0.06982422
31,-0.33984375
32,-0.20214844
33,-0.24316406
34,-0.1015625
35,0.08154297
36,-0.4140625
37,0.13671875
38,0.06689453
39,0.09082031
40,-0.20507812
41,-0.034423828
42,0.14648438
43,0.36523438
44,0.08496094
45,0.045654297
46,-0.24609375
47,0.06591797
48,-0.122558594
49,0.099121094
50,-0.03491211
51,-0.24121094
52,0.17675781
53,-0.38671875
54,-0.06933594
55,0.06640625
56,-0.45117188
57,-0.024169922
58,-0.21972656
59,0.05859375
60,-0.19921875
61,-0.15136719
62,0.19433594
63,0.080078125
64,0.084472656
65,0.08203125
66,0.15332031
67,-0.44921875
68,-0.024169922
69,-0.140625
70,-0.34570312
71,-0.08935547
72,0.030029297
73,0.21875
74,-0.09423828
75,-0.099121094
76,0.17578125
77,0.10205078
78,-0.20800781
79,0.30859375
80,-0.18847656
81,0.010131836
82,-0.29296875
83,-0.13085938
84,0.04272461
85,-0.104003906
86,-0.019165039
87,-0.08105469
88,0.025878906
89,-0.036865234
90,-0.00062942505
91,0.13476562
92,-0.47265625
93,0.31835938
94,-0.23242188
95,-0.296875
96,0.10498047
97,-0.1640625
98,0.125
99,0.21484375
100,-0.12060547
101,0.05883789
102,0.05126953
103,-0.19042969
104,-0.27148438
105,0.09033203
106,0.025756836
107,-0.34179688
108,-0.13964844
109,0.07421875
110,0.09082031
111,-0.09472656
112,0.03857422
113,-0.25
114,-0.0018157959
115,0.20410156
116,0.03564453
117,-0.25390625
118,0.14453125
119,0.016357422
120,0.09423828
121,-0.060546875
122,-0.19140625
123,-0.0038604736
124,-0.27929688
125,0.15625
126,-0.234375
127,0.041503906
128,-0.49804688
129,0.08496094
130,0.1328125
131,0.037353516
132,-0.039794922
133,-0.15722656
134,-0.265625
135,0.040771484
136,-0.12695312
137,0.09033203
138,0.16113281
139,0.35546875
140,-0.0017547607
141,-0.18652344
142,0.084472656
143,0.23730469
144,0.011169434
145,-0.091796875
146,0.0047912598
147,-0.037597656
148,0.087402344
149,-0.18164062
150,0.21289062
151,-0.17578125
152,-0.14453125
153,0.203125
154,0.37109375
155,-0.15625
156,-0.421875
157,0.3203125
158,0.01574707
159,0.018188477
160,-0.11621094
161,0.21972656
162,-0.10058594
163,0.008605957
164,0.045898438
165,-0.026123047
166,0.0008430481
167,-0.0013504028
168,0.13476562
169,0.07763672
170,-0.25195312
171,0.46875
172,0.037597656
173,-0.05517578
174,-0.14648438
175,-0.0859375
176,0.076660156
177,-0.5703125
178,-0.03955078
179,-0.12109375
180,-0.06542969
181,0.026855469
182,-0.30664062
183,0.13867188
184,-0.10449219
185,-0.15722656
186,0.072753906
187,-0.13183594
188,0.07373047
189,0.036621094
190,-0.30859375
191,-0.13574219
192,-0.18554688
193,-0.22753906
194,0.015319824
195,0.36523438
196,0.16601562
197,-0.03515625
198,-0.28125
199,-0.12158203
200,0.25195312
201,0.0025787354
202,0.038085938
203,-0.22753906
204,-0.21875
205,-0.080566406
206,0.075683594
207,-0.18359375
208,-0.2578125
209,-0.024169922
210,-0.18945312
211,-0.234375
212,-0.03149414
213,0.16601562
214,0.049316406
215,-0.056640625
216,0.25585938
217,-0.02734375
218,-0.010559082
219,-0.07714844
220,0.06298828
221,0.122558594
222,-0.08154297
223,0.13867188
224,-0.016113281
225,-0.10644531
226,0.22167969
227,0.2890625
228,0.5234375
229,-0.13964844
230,-0.041992188
231,0.14550781
232,-0.09423828
233,0.09082031
234,-0.037841797
235,0.2109375
236,0.0028533936
237,0.17382812
238,-0.06542969
239,-0.06640625
240,-0.015075684
241,-0.26757812
242,-0.030151367
243,0.107421875
244,0.056640625
245,-0.0068359375
246,-0.13867188
247,-0.19628906
248,0.11376953
249,-0.25195312
250,0.24707031
251,0.29882812
252,0.15136719
253,0.008544922
254,0.4296875
255,-0.036621094
256,0.24414062
257,0.18261719
258,-0.00032806396
259,-0.026489258
260,-0.0047912598
261,0.122558594
262,0.26367188
263,0.34375
264,0.06689453
265,-0.033691406
266,-0.5390625
267,0.09326172
268,-0.064453125
269,0.18652344
270,-0.06689453
271,-0.048339844
272,0.18554688
273,0.013549805
274,0.26367188
275,-0.03100586
276,-0.059326172
277,-0.01965332
278,0.18261719
279,-0.10986328
280,-0.053955078
281,-0.29882812
282,0.1796875
283,-0.2421875
284,-0.21582031
285,-0.07080078
286,-0.087402344
287,0.0028076172
288,-0.24121094
289,0.13378906
290,-0.023071289
291,0.004486084
292,-0.359375
293,-0.036865234
294,0.030517578
295,0.27929688
296,-0.04272461
297,-0.13476562
298,-0.14355469
299,0.008422852
