,Madagascar
0,0.12109375
1,0.08496094
2,-0.27734375
3,0.11035156
4,-0.075683594
5,-0.15820312
6,-0.059326172
7,-0.359375
8,-0.3046875
9,-0.010498047
10,0.11035156
11,-0.08154297
12,-0.11669922
13,-0.29492188
14,0.043945312
15,0.04663086
16,-0.27734375
17,0.008422852
18,-0.10839844
19,0.2890625
20,0.29101562
21,-0.41796875
22,0.15722656
23,-0.06347656
24,0.1875
25,-0.16699219
26,-0.05834961
27,0.06738281
28,0.15820312
29,0.17382812
30,-0.30859375
31,-0.08203125
32,-0.29101562
33,-0.087402344
34,-0.059570312
35,0.11279297
36,-0.51171875
37,0.056884766
38,-0.16601562
39,0.09814453
40,0.18847656
41,-0.099121094
42,0.028076172
43,0.4765625
44,-0.12060547
45,0.051757812
46,-0.33007812
47,-0.119628906
48,0.16796875
49,0.15625
50,-0.19140625
51,-0.42578125
52,-0.018798828
53,-0.11816406
54,0.016967773
55,0.12207031
56,-0.328125
57,-0.44921875
58,-0.3046875
59,0.04663086
60,-0.12207031
61,0.21484375
62,0.35742188
63,0.24511719
64,-0.06225586
65,-0.29296875
66,-0.118652344
67,-0.33398438
68,0.19433594
69,-0.125
70,-0.044921875
71,0.017578125
72,-0.24316406
73,-0.15332031
74,-0.0067443848
75,0.040771484
76,-0.11816406
77,-0.09472656
78,0.0072021484
79,0.2578125
80,-0.22167969
81,-0.04345703
82,-0.24511719
83,0.017333984
84,0.265625
85,-0.15625
86,-0.34179688
87,-0.20410156
88,-0.34570312
89,0.18945312
90,0.039794922
91,0.18359375
92,-0.15527344
93,0.15722656
94,-0.039794922
95,-0.076171875
96,0.06982422
97,-0.27539062
98,-0.15136719
99,0.022216797
100,0.033203125
101,0.17773438
102,-0.041259766
103,-0.20898438
104,-0.15527344
105,-0.12988281
106,0.28710938
107,-0.33398438
108,-0.02746582
109,-0.068359375
110,-0.20898438
111,0.038085938
112,0.080078125
113,-0.018920898
114,-0.024291992
115,0.0703125
116,0.037597656
117,-0.18359375
118,0.123535156
119,0.0011978149
120,-0.17285156
121,-0.07080078
122,-0.21679688
123,0.20703125
124,-0.23828125
125,0.32226562
126,-0.20117188
127,0.00078582764
128,-0.27929688
129,0.18652344
130,0.17480469
131,0.12597656
132,0.008117676
133,0.16699219
134,-0.29492188
135,-0.030517578
136,-0.16699219
137,-0.17285156
138,-0.16601562
139,0.26171875
140,0.25
141,-0.21191406
142,0.3203125
143,0.123046875
144,0.32617188
145,0.0005874634
146,0.3046875
147,0.21289062
148,0.31835938
149,-0.006011963
150,0.1328125
151,-0.14453125
152,-0.27929688
153,0.26757812
154,0.16015625
155,-0.24511719
156,-0.11669922
157,0.34570312
158,0.15234375
159,0.20019531
160,-0.3359375
161,0.28125
162,0.036621094
163,0.12792969
164,0.080566406
165,-0.099609375
166,0.08984375
167,0.11816406
168,0.16796875
169,0.35742188
170,0.16503906
171,0.3046875
172,0.10205078
173,0.21679688
174,-0.16992188
175,0.12451172
176,-0.16503906
177,-0.265625
178,0.01953125
179,-0.15820312
180,-0.34765625
181,0.0050964355
182,-0.27539062
183,0.14941406
184,-0.060302734
185,0.05419922
186,0.103515625
187,-0.119140625
188,0.19628906
189,-0.01574707
190,-0.1875
191,-0.13671875
192,-0.13964844
193,-0.20117188
194,-0.11376953
195,0.28710938
196,0.075683594
197,-0.21777344
198,-0.06982422
199,-0.40625
200,0.14550781
201,-0.16503906
202,0.0032653809
203,0.08300781
204,-0.265625
205,0.20019531
206,0.17675781
207,-0.09082031
208,-0.35351562
209,0.026367188
210,-0.25976562
211,0.359375
212,0.0138549805
213,0.234375
214,-0.13867188
215,-0.024047852
216,0.13671875
217,-0.34765625
218,0.11328125
219,-0.23535156
220,0.0005874634
221,0.0058898926
222,-0.02355957
223,0.34570312
224,0.030517578
225,0.01159668
226,-0.091308594
227,0.32226562
228,0.41796875
229,0.028686523
230,0.15136719
231,-0.125
232,-0.091308594
233,-0.17382812
234,0.19140625
235,0.36132812
236,0.103515625
237,-0.0076904297
238,0.15136719
239,0.010009766
240,0.083984375
241,-0.07421875
242,0.15234375
243,0.14648438
244,0.2734375
245,0.15234375
246,-0.3671875
247,-0.16015625
248,0.060302734
249,-0.41210938
250,-0.22753906
251,0.34179688
252,0.32226562
253,0.16601562
254,0.19238281
255,-0.17480469
256,0.07324219
257,-0.029785156
258,-0.009033203
259,-0.11767578
260,-0.10449219
261,0.3125
262,0.10253906
263,0.41796875
264,-0.06738281
265,0.083496094
266,-0.45117188
267,0.052490234
268,-0.1171875
269,-0.09277344
270,-0.008117676
271,0.029663086
272,0.09765625
273,-0.13867188
274,0.060791016
275,0.15136719
276,-0.14941406
277,-0.030395508
278,-0.019897461
279,0.09082031
280,0.0003414154
281,-0.28515625
282,0.080566406
283,0.24902344
284,0.060546875
285,-0.026245117
286,-0.14160156
287,-0.07128906
288,-0.12060547
289,-0.0087890625
290,-0.30273438
291,0.20214844
292,-0.22363281
293,-0.12792969
294,0.25585938
295,0.28710938
296,-0.27148438
297,0.14941406
298,0.037841797
299,-0.07910156
