,San_Marino
0,0.022827148
1,0.076171875
2,0.171875
3,-0.09082031
4,-0.06933594
5,-0.20898438
6,-0.030395508
7,-0.06982422
8,-0.14648438
9,0.56640625
10,-0.080078125
11,0.087402344
12,-0.23339844
13,0.2578125
14,-0.014038086
15,0.19628906
16,-0.107421875
17,0.18164062
18,0.033935547
19,0.41210938
20,0.27929688
21,-0.3125
22,-0.10546875
23,0.30859375
24,-0.06591797
25,0.028320312
26,0.15820312
27,-0.16699219
28,0.09814453
29,0.060058594
30,-0.18554688
31,-0.33203125
32,0.099609375
33,-0.17089844
34,0.028564453
35,-0.29492188
36,-0.01940918
37,0.1796875
38,-0.011779785
39,0.24511719
40,-0.08984375
41,0.0146484375
42,0.17382812
43,-0.09472656
44,0.24414062
45,0.13964844
46,-0.20605469
47,0.19824219
48,0.14550781
49,0.15917969
50,0.23632812
51,0.359375
52,-0.20410156
53,0.009521484
54,-0.25195312
55,0.14355469
56,-0.31054688
57,-0.072753906
58,0.045166016
59,0.068847656
60,-0.16894531
61,-0.007507324
62,-0.25
63,-0.30664062
64,-0.087402344
65,-0.038330078
66,0.39453125
67,0.04711914
68,0.109375
69,0.114746094
70,0.09277344
71,-0.27148438
72,-0.26953125
73,-0.1953125
74,0.06982422
75,0.099609375
76,-0.140625
77,-0.546875
78,0.31054688
79,0.095703125
80,-0.045654297
81,-0.45117188
82,-0.1640625
83,0.17675781
84,-0.12158203
85,-0.09765625
86,0.08691406
87,-0.11035156
88,0.15332031
89,0.06933594
90,0.47851562
91,-0.41601562
92,-0.2109375
93,0.044189453
94,-0.24804688
95,-0.28125
96,0.27148438
97,-0.4453125
98,-0.15332031
99,0.44726562
100,-0.15234375
101,-0.12890625
102,-0.04345703
103,0.17675781
104,0.19042969
105,0.044189453
106,-0.009643555
107,-0.075683594
108,0.13964844
109,0.055908203
110,-0.039794922
111,0.049316406
112,-0.12402344
113,-0.46289062
114,-0.06689453
115,0.22558594
116,-0.068847656
117,-0.234375
118,0.54296875
119,0.33984375
120,-0.43164062
121,-0.037109375
122,0.12060547
123,-0.044433594
124,0.12109375
125,0.28710938
126,0.07421875
127,-0.21289062
128,-0.37695312
129,0.24804688
130,0.006713867
131,-0.38476562
132,-0.31640625
133,-0.027709961
134,-0.079589844
135,-0.13769531
136,-0.19921875
137,0.5078125
138,0.12207031
139,0.007873535
140,0.15234375
141,0.025024414
142,0.22167969
143,-0.13476562
144,0.6015625
145,0.046875
146,-0.044677734
147,0.22363281
148,-0.014709473
149,0.103027344
150,0.38867188
151,0.20996094
152,-0.12109375
153,0.12890625
154,0.234375
155,-0.123535156
156,-0.14160156
157,0.25585938
158,-0.17773438
159,-0.03149414
160,-0.031982422
161,0.008056641
162,0.15820312
163,-0.088378906
164,-0.035888672
165,-0.2578125
166,0.22363281
167,0.41992188
168,-0.19335938
169,0.034423828
170,-0.34960938
171,0.28710938
172,0.061035156
173,0.31054688
174,-0.09375
175,-0.091308594
176,0.005859375
177,0.16601562
178,0.056640625
179,0.18066406
180,-0.09716797
181,-0.23632812
182,0.37109375
183,0.091308594
184,0.328125
185,-0.06738281
186,-0.009887695
187,-0.040527344
188,-0.23535156
189,-0.12695312
190,-0.0065307617
191,0.0071411133
192,-0.040527344
193,0.16503906
194,0.040771484
195,0.091796875
196,0.11816406
197,0.20800781
198,-0.042236328
199,0.1875
200,0.12597656
201,-0.13964844
202,-0.3125
203,0.051513672
204,0.14550781
205,-0.34375
206,-0.4921875
207,-0.03149414
208,-0.32226562
209,-0.23730469
210,-0.13964844
211,-0.13183594
212,0.071777344
213,-0.037353516
214,-0.003112793
215,0.12207031
216,0.07128906
217,-0.17578125
218,0.16894531
219,-0.13964844
220,0.014282227
221,-0.3671875
222,-0.18457031
223,-0.37109375
224,-0.13476562
225,-0.092285156
226,0.1484375
227,0.004211426
228,0.17382812
229,0.022705078
230,-0.37695312
231,-0.00015544891
232,0.048828125
233,-0.08984375
234,0.0020751953
235,0.36523438
236,-0.21582031
237,0.10546875
238,0.265625
239,-0.17480469
240,0.25195312
241,-0.29296875
242,-0.048095703
243,0.19238281
244,-0.28320312
245,-0.17773438
246,0.0625
247,0.2109375
248,0.045898438
249,-0.00047302246
250,0.28710938
251,-0.4140625
252,0.11035156
253,0.31054688
254,-0.068359375
255,0.22460938
256,-0.083496094
257,-0.15722656
258,0.084472656
259,0.2421875
260,0.3125
261,0.28320312
262,0.40039062
263,0.11230469
264,0.58203125
265,0.36523438
266,-0.15429688
267,-0.045166016
268,-0.33007812
269,-0.28710938
270,0.09765625
271,-0.15625
272,-0.15625
273,0.26757812
274,0.072753906
275,0.31445312
276,0.14648438
277,-0.17089844
278,-0.05102539
279,0.15039062
280,-0.075683594
281,0.032470703
282,-0.00970459
283,0.16210938
284,-0.111816406
285,-0.107421875
286,-0.022338867
287,0.016235352
288,-0.18652344
289,0.20214844
290,-0.037597656
291,0.29101562
292,-0.16308594
293,0.15136719
294,-0.064453125
295,-0.059326172
296,-0.27734375
297,-0.06591797
298,-0.10839844
299,-0.064453125
