,Azerbaijan
0,-0.0625
1,-0.06542969
2,-0.010986328
3,0.26953125
4,-0.012329102
5,0.03857422
6,0.1640625
7,-0.22167969
8,-0.26367188
9,-0.005004883
10,-0.21484375
11,0.15625
12,-0.24316406
13,0.12451172
14,-0.061767578
15,-0.19824219
16,-0.4765625
17,0.043945312
18,0.16601562
19,0.033447266
20,0.34570312
21,-0.30273438
22,-0.04272461
23,0.25585938
24,0.20214844
25,0.18261719
26,-0.16113281
27,-0.048095703
28,-0.15039062
29,0.36132812
30,-0.34179688
31,-0.24804688
32,-0.20800781
33,0.008911133
34,0.029296875
35,-0.107421875
36,-0.3046875
37,0.19921875
38,0.25
39,-0.19335938
40,0.28710938
41,0.20019531
42,0.19140625
43,-0.12988281
44,0.18554688
45,-0.20703125
46,-0.07421875
47,-0.11816406
48,-0.16992188
49,0.056396484
50,-0.0625
51,-0.020385742
52,-0.064453125
53,0.11230469
54,-0.36523438
55,0.05810547
56,-0.53125
57,0.20800781
58,-0.014526367
59,-0.30664062
60,0.13769531
61,-0.30273438
62,0.16210938
63,0.009338379
64,0.18554688
65,-0.021118164
66,0.17285156
67,-0.09863281
68,0.022583008
69,0.050048828
70,-0.3828125
71,-0.20898438
72,-0.038330078
73,-0.025024414
74,-0.25976562
75,-0.29296875
76,0.24609375
77,0.20117188
78,0.107421875
79,0.20703125
80,-0.27539062
81,-0.43945312
82,0.08154297
83,-0.16113281
84,0.14355469
85,-0.28515625
86,-0.11425781
87,-0.11767578
88,-0.10498047
89,0.37304688
90,0.25976562
91,-0.27148438
92,-0.26171875
93,-0.02746582
94,-0.359375
95,-0.26757812
96,-0.029418945
97,0.07080078
98,0.15722656
99,-0.11035156
100,-0.18652344
101,0.16113281
102,-0.02709961
103,0.05493164
104,0.19726562
105,0.14355469
106,0.111328125
107,-0.012207031
108,-0.1171875
109,0.12109375
110,0.0022277832
111,0.006652832
112,-0.080078125
113,-0.123535156
114,0.059326172
115,-0.09472656
116,0.041259766
117,0.21191406
118,0.24121094
119,0.038330078
120,-0.14453125
121,-0.06542969
122,-0.0859375
123,0.033447266
124,-0.10449219
125,0.18652344
126,-0.15234375
127,0.2578125
128,-0.75390625
129,0.080078125
130,-0.14355469
131,0.2734375
132,-0.1953125
133,-0.103027344
134,-0.19042969
135,-0.099609375
136,-0.14160156
137,0.005065918
138,-0.078125
139,-0.16210938
140,-0.064453125
141,0.01977539
142,-0.17480469
143,0.30273438
144,-0.38671875
145,0.009338379
146,-0.21972656
147,0.12695312
148,-0.33984375
149,0.08496094
150,0.23828125
151,-0.024536133
152,0.125
153,-0.18359375
154,0.31640625
155,-0.021484375
156,-0.2109375
157,0.037109375
158,0.0037231445
159,-0.008972168
160,-0.36914062
161,0.34375
162,-0.031982422
163,-0.18554688
164,0.38671875
165,0.14746094
166,-0.029541016
167,0.34765625
168,0.018188477
169,0.390625
170,-0.55078125
171,0.22070312
172,0.06591797
173,0.0099487305
174,0.08642578
175,-0.21289062
176,0.075683594
177,-0.40234375
178,-0.012145996
179,-0.43359375
180,0.21972656
181,-0.28320312
182,-0.19628906
183,0.095703125
184,-0.029174805
185,0.22753906
186,0.11230469
187,-0.096191406
188,0.10107422
189,0.30273438
190,-0.375
191,0.08251953
192,-0.17480469
193,0.26367188
194,0.09863281
195,-0.06542969
196,-0.30078125
197,0.009094238
198,-0.06591797
199,-0.28320312
200,0.072265625
201,0.08203125
202,-0.078125
203,-0.033203125
204,0.043945312
205,-0.19042969
206,-0.05053711
207,-0.08496094
208,-0.12158203
209,0.07080078
210,0.0039367676
211,-0.01586914
212,-0.25585938
213,0.14257812
214,-0.11328125
215,0.049560547
216,-0.07128906
217,0.1484375
218,0.12988281
219,-0.25390625
220,-0.31445312
221,-0.16308594
222,0.045410156
223,-0.22265625
224,0.14257812
225,-0.10986328
226,0.17871094
227,-0.006652832
228,0.38085938
229,-0.62890625
230,0.0099487305
231,0.026245117
232,0.125
233,-0.14550781
234,0.010009766
235,0.31835938
236,-0.09472656
237,-0.06640625
238,0.15234375
239,-0.08496094
240,0.15820312
241,-0.007537842
242,-0.15917969
243,-0.05834961
244,-0.006652832
245,0.19921875
246,-0.056152344
247,0.11767578
248,0.011779785
249,-0.104003906
250,0.04638672
251,-0.09814453
252,0.109375
253,-0.08935547
254,0.2421875
255,0.36523438
256,-0.03955078
257,0.0703125
258,0.32226562
259,0.010498047
260,0.029663086
261,0.17285156
262,0.018920898
263,0.171875
264,0.515625
265,-0.036865234
266,-0.24023438
267,-0.24121094
268,-0.1953125
269,0.13964844
270,-0.040771484
271,0.3046875
272,0.04736328
273,-0.036376953
274,-0.15234375
275,0.24121094
276,0.20996094
277,-0.044921875
278,-0.18359375
279,0.03930664
280,0.036132812
281,0.3515625
282,-0.115234375
283,0.08935547
284,-0.13476562
285,-0.34570312
286,-0.15722656
287,0.042236328
288,0.25585938
289,0.25585938
290,-0.25976562
291,-0.016113281
292,-0.125
293,-0.20898438
294,0.22949219
295,0.13867188
296,-0.20898438
297,-0.08642578
298,0.06689453
299,0.51171875
