,Maldives
0,0.16113281
1,0.1015625
2,0.017211914
3,0.21875
4,-0.16796875
5,-0.07128906
6,-0.140625
7,-0.27734375
8,0.014526367
9,0.11035156
10,-0.10205078
11,-0.04736328
12,-0.05126953
13,-0.10253906
14,0.10546875
15,-0.099609375
16,-0.19628906
17,0.0234375
18,-0.106933594
19,0.15820312
20,0.10888672
21,-0.1796875
22,0.119140625
23,-0.09277344
24,0.080078125
25,-0.08691406
26,0.08984375
27,-0.057128906
28,0.32421875
29,0.04321289
30,-0.31445312
31,-0.07373047
32,-0.3671875
33,0.07324219
34,-0.017333984
35,-0.20214844
36,-0.375
37,-0.12158203
38,0.0051879883
39,0.020751953
40,-0.05444336
41,0.18847656
42,0.045166016
43,0.50390625
44,0.1640625
45,-0.31835938
46,-0.36523438
47,-0.18164062
48,-0.008056641
49,-0.13574219
50,0.25585938
51,0.0053710938
52,0.32226562
53,-0.09277344
54,-0.06982422
55,0.037597656
56,-0.20605469
57,0.17578125
58,-0.19921875
59,-0.10595703
60,-0.13476562
61,-0.13378906
62,-0.021850586
63,-0.016967773
64,0.3203125
65,0.091308594
66,0.107910156
67,0.028564453
68,0.10986328
69,-0.14746094
70,-0.421875
71,0.016479492
72,0.024169922
73,0.26757812
74,-0.13671875
75,-0.38476562
76,0.12158203
77,-0.0039367676
78,0.10888672
79,0.07080078
80,-0.26757812
81,-0.3125
82,-0.17578125
83,-0.15234375
84,-0.15332031
85,-0.12695312
86,-0.076171875
87,-0.2265625
88,0.10449219
89,0.43359375
90,0.33398438
91,-0.11621094
92,-0.50390625
93,0.3359375
94,-0.056152344
95,-0.22460938
96,0.24316406
97,-0.24902344
98,0.19824219
99,0.16699219
100,-0.15234375
101,0.36132812
102,0.17871094
103,0.21679688
104,0.025024414
105,0.27929688
106,0.1640625
107,-0.27539062
108,0.08496094
109,0.18652344
110,-0.111328125
111,0.07861328
112,-0.04663086
113,0.036132812
114,0.0625
115,-0.04663086
116,0.12207031
117,-0.3046875
118,0.12890625
119,0.08496094
120,0.03149414
121,0.059326172
122,0.18945312
123,0.06933594
124,-0.044921875
125,0.23535156
126,-0.080078125
127,-0.06347656
128,-0.14355469
129,0.35742188
130,0.140625
131,0.23632812
132,-0.05102539
133,-0.18359375
134,-0.10839844
135,-0.43554688
136,-0.103515625
137,0.053466797
138,-0.0027618408
139,0.042236328
140,0.040527344
141,-0.24511719
142,0.07324219
143,0.10644531
144,0.035888672
145,0.014709473
146,-0.27148438
147,0.13769531
148,0.27929688
149,0.18261719
150,0.22167969
151,-0.10595703
152,-0.021118164
153,-0.15820312
154,0.4609375
155,-0.51171875
156,-0.16601562
157,-0.3125
158,0.31445312
159,-0.020263672
160,-0.41015625
161,0.078125
162,-0.096191406
163,0.0034942627
164,-0.23632812
165,-0.3125
166,-0.09423828
167,0.11279297
168,-0.09375
169,0.099121094
170,0.23730469
171,0.22363281
172,-0.080078125
173,-0.01586914
174,-0.19238281
175,0.032226562
176,0.32617188
177,-0.28710938
178,-0.18164062
179,-0.07470703
180,0.104003906
181,-0.016967773
182,-0.33203125
183,0.06542969
184,-0.14550781
185,0.072753906
186,0.20019531
187,-0.22949219
188,0.2890625
189,0.015014648
190,-0.15820312
191,-0.16503906
192,-0.34765625
193,0.17773438
194,0.125
195,0.39648438
196,0.12451172
197,-0.03857422
198,-0.05029297
199,-0.58984375
200,0.20703125
201,0.06347656
202,-0.11425781
203,-0.21875
204,-0.014892578
205,-0.10058594
206,0.013916016
207,-0.18554688
208,-0.29296875
209,-0.15820312
210,-0.13378906
211,0.025878906
212,-0.036621094
213,-0.12988281
214,0.16503906
215,0.09375
216,0.17480469
217,0.10595703
218,0.041259766
219,-0.18261719
220,0.32617188
221,0.08300781
222,-0.359375
223,-0.15722656
224,-0.056884766
225,0.092285156
226,0.35742188
227,0.18554688
228,0.13964844
229,-0.076171875
230,0.067871094
231,0.14453125
232,0.18164062
233,-0.30859375
234,0.390625
235,0.45507812
236,0.17871094
237,0.30664062
238,-0.024291992
239,0.10888672
240,0.296875
241,-0.002166748
242,0.14160156
243,0.024291992
244,0.030517578
245,0.05517578
246,0.072265625
247,-0.13378906
248,0.29296875
249,-0.19238281
250,-0.04736328
251,0.12060547
252,0.059570312
253,0.13671875
254,-0.1328125
255,0.057617188
256,0.10546875
257,0.22558594
258,0.10595703
259,-0.36914062
260,0.11816406
261,0.3203125
262,0.05883789
263,-0.1328125
264,0.07470703
265,0.087402344
266,-0.38671875
267,-0.034179688
268,0.31640625
269,-0.071777344
270,-0.24707031
271,-0.021972656
272,0.08154297
273,0.12988281
274,-0.16503906
275,0.111328125
276,0.0015640259
277,-0.203125
278,-0.28515625
279,-0.19042969
280,-0.083984375
281,-0.29101562
282,-0.020751953
283,0.17871094
284,0.064453125
285,0.076660156
286,-0.15039062
287,-0.024291992
288,0.026855469
289,0.40820312
290,-0.038085938
291,-0.03930664
292,-0.1875
293,-0.053955078
294,-0.09326172
295,0.041015625
296,-0.22460938
297,0.13183594
298,0.08886719
299,0.40625
